task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
1,1.0,2.3051204681396484,0.08642578125,,,1.1484362153443348,1.323867984802832,0.9813503863471464,0.008571713910585466,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
2,1.0,0.303051233291626,0.9091796875,0.9999999999990835,0.0,1.368503035005968,1.8833450124673923,0.23861324695768496,0.2820055670666791,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
3,1.0,0.2411874532699585,0.927978515625,1.0000000000010771,0.0,1.551660857887174,2.4242229171247103,0.2221318986055212,0.24204100301217135,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
4,1.0,0.22845600545406342,0.93115234375,1.0000000000000808,0.0,1.686776449313594,2.8683894865050807,0.19580009074875462,0.1735832048867456,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
5,1.0,0.19518183171749115,0.939208984375,1.0000000000001161,0.0,1.8242828868834595,3.359415449023946,0.1993043323143732,0.18676267738845084,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
6,1.0,0.1747005432844162,0.94482421875,1.0000000000007043,0.0,1.9420293463053238,3.810100804118598,0.16199367063119688,0.19047540304541857,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
7,1.0,0.17039041221141815,0.949462890625,0.9999999999999282,0.0,2.0411800287344617,4.212243003612293,0.16036475723936414,0.14879898416005244,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
8,1.0,0.15625666081905365,0.951904296875,1.000000000000265,0.0,2.147411171930541,4.665148910188482,0.17186520625378365,0.16006681047870405,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
9,1.0,0.1505822241306305,0.958251953125,1.0000000000007865,0.0,2.251930699042176,5.13020556314009,0.18125126815651188,0.1514127093594413,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
10,1.0,0.13300424814224243,0.95849609375,0.999999999999739,0.0,2.335285777959415,5.5153416667829696,0.18073860081934318,0.1051652228765181,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
11,1.0,0.12024450302124023,0.96484375,1.0000000000002014,0.0,2.4256379925251617,5.953959251804208,0.16253855901076059,0.14076200384113038,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
12,1.0,0.10729612410068512,0.968994140625,0.9999999999990197,0.0,2.5128660533346476,6.3862879769861385,0.1816559178775311,0.12016432282843845,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
13,1.0,0.10111483186483383,0.9677734375,0.999999999999411,0.0,2.599101959484946,6.830636820686181,0.16940863884308768,0.12991372618365546,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
14,1.0,0.08913908898830414,0.971923828125,1.0000000000007867,0.0,2.674634414200784,7.235576224596851,0.15988746141402238,0.11358495572756895,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
15,1.0,0.10492084175348282,0.966064453125,0.999999999999842,0.0,2.7619507639004386,7.711908952734205,0.18592868393165246,0.12354351024197953,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
16,1.0,0.09839008003473282,0.968017578125,0.9999999999995022,0.0,2.83001094987039,8.093859621951685,0.16262475538291812,0.09687769028201842,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
17,1.0,0.0752054750919342,0.9775390625,0.9999999999998878,0.0,2.910705844560624,8.560870000530121,0.18927973085713973,0.11072863121000853,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
18,1.0,0.07771558314561844,0.97509765625,0.9999999999999482,0.0,2.9813382604889376,8.982251885470617,0.15695711331780107,0.11099917130003313,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
19,1.0,0.07784324884414673,0.975830078125,0.9999999999998926,0.0,3.0393677250633515,9.330949120963988,0.15477140461456565,0.08196163538583544,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
20,1.0,0.08056521415710449,0.9736328125,1.0000000000004547,0.0,3.1248795785540886,9.862409479660847,0.19492142248734803,0.12313094774913026,K000_LR03,0.0,leaky,0.3,2,LR03,0.0002177777358905947,0.35897928838309195,1.1896852586504913e-05,0.6561781051610507,77.71239090345888,0.04283188039879275,0.3878375448115681,1.0,1.7763568394002505e-15,0.017016846987572755,11.454614514057587,2.5243167941827966,-1.1343367046147563,1.0,0.9672999978065491
