task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
1,1.0,2.3073487281799316,0.115234375,,,1.0943684881015576,1.2024588737854018,0.8609409127233226,0.007808532944811132,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
2,0.9030612244897959,0.3418048024177551,0.9033203125,0.9801568319963075,0.032398429875672964,1.3584296611073623,1.8544610162123811,0.30121228474339323,0.28898744111429986,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
3,0.9030612244897959,0.34738919138908386,0.894775390625,0.9719779212847705,0.05817842722673957,1.5607512128748817,2.4529890510248755,0.26546026494740815,0.2326437605319704,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
4,0.9030612244897959,0.2832489013671875,0.913330078125,0.9761324877797112,0.06096266032777828,1.7422006382542445,3.062838280281868,0.24738347057736196,0.2257857677570039,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
5,0.9005102040816326,0.21948352456092834,0.93603515625,0.9668669473071129,0.07821198329966865,1.8902142186461341,3.6116208001737222,0.23131751372241693,0.18127787765475945,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
6,0.9017857142857143,0.20332659780979156,0.939697265625,0.9666979543601206,0.08416215710839939,2.027066505792184,4.159006192651128,0.24593101195585998,0.1532330592391001,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
7,0.9005102040816326,0.18678079545497894,0.945068359375,0.9665919998315571,0.09080341965382535,2.165807369829719,4.750907338629572,0.27636350112990465,0.14241412878746332,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
8,0.9017857142857143,0.18585063517093658,0.94091796875,0.9597229352819915,0.10082655807690385,2.294116719057617,5.332478644716993,0.24929025399122812,0.1481812556473484,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
9,0.9030612244897959,0.23683898150920868,0.9267578125,0.9632008270881257,0.10667084525235464,2.3978852904284595,5.829965791188122,0.22065058471877932,0.12260841350806938,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
10,0.9043367346938775,0.20325084030628204,0.935791015625,0.9634188331739268,0.10647678567521175,2.5101823246921393,6.3907826006033135,0.23628231127792396,0.134439899464417,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
