task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.1505792128162935,1.3522593915646979,1.004892115093904,0.014912099241866286,0.010478315750476884,0.002224953962146721,0.01264321078255307,R,relu,0.0,2,,,,,,,,,,,,,
2,1.4875189422796753,2.2805174479132417,1.009747273474771,-0.08148921712622773,-0.031590547727024826,-0.00021932899421417775,0.014829778640996666,R,relu,0.0,2,,,,,,,,,,,,,
3,1.6918956578006845,2.9845833881507415,0.8159882955311911,-0.11192235529369082,nan,-0.0024050250570155753,0.014157316237542546,R,relu,0.0,2,,,,,,,,,,,,,
4,1.855865695148176,3.6132649972028434,0.7665159455089694,-0.1378343364568679,nan,-0.004344772249238856,0.01354245665599592,R,relu,0.0,2,,,,,,,,,,,,,
5,1.9976745011745323,4.202992194712388,0.7400657328869681,-0.15033853537742334,nan,-0.006419276595857476,0.011985642276122234,R,relu,0.0,2,,,,,,,,,,,,,
6,2.1094088175468126,4.701364627902226,0.6441344128621941,-0.14576197967235602,nan,-0.007956315236937881,0.011625637506658676,R,relu,0.0,2,,,,,,,,,,,,,
7,2.204561566246361,5.154359909843853,0.5958018288639007,-0.14280654692227387,nan,-0.009208341602488188,0.010297691042069346,R,relu,0.0,2,,,,,,,,,,,,,
8,2.2866543513870274,5.56990040919442,0.5795486751955565,-0.16400817584498825,nan,-0.010101104796117867,0.009551399826887064,R,relu,0.0,2,,,,,,,,,,,,,
9,2.3671376671289286,5.983692588140375,0.5462626868306111,-0.13247050788465706,nan,-0.011330004862552971,0.008493072641431353,R,relu,0.0,2,,,,,,,,,,,,,
10,2.440650867906937,6.384639687320914,0.54403187059072,-0.1430847714101811,nan,-0.012324712386500805,0.007785827570041874,R,relu,0.0,2,,,,,,,,,,,,,
11,2.5309347402371354,6.847539827672526,0.59143706256953,-0.12853692221791715,nan,-0.012909171045358294,0.007892271642340347,R,relu,0.0,2,,,,,,,,,,,,,
12,2.581372837497337,7.155830037477233,0.46744084023766547,-0.1591506304329587,nan,-0.013860321776280604,0.007162016956426669,R,relu,0.0,2,,,,,,,,,,,,,
13,2.6582376168403106,7.583774661953973,0.5608541934484116,-0.13290956897167255,nan,-0.014289034905599827,0.007927289922372438,R,relu,0.0,2,,,,,,,,,,,,,
14,2.7154365007746617,7.930939108477316,0.5074550514611329,-0.1602906049377898,nan,-0.015100737531963195,0.005312594508286566,R,relu,0.0,2,,,,,,,,,,,,,
