task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,0.9863357221844118,0.9776006256018382,0.6397543942077659,0.00510136860715295,0.00548944874773445,3.623760737777159e-05,0.007920720219553914,SN06,snake,0.6,1,,,,,,,,,,,,,
2,1.3347583851987448,1.7948866404799093,0.9097198607781398,-0.09243384590006848,-0.04871272318995678,-0.0019325683659570322,0.0051815235633694105,SN06,snake,0.6,1,,,,,,,,,,,,,
3,1.5618772644797136,2.464151792534875,0.8112245793180546,-0.14195942726308922,-0.05869976477754923,-0.003851984507195344,0.001822817172796931,SN06,snake,0.6,1,,,,,,,,,,,,,
4,1.7367953826523177,3.045385350108814,0.740328051755306,-0.15909449418136673,-0.05940666065640096,-0.004992130192743119,0.00034044915024423973,SN06,snake,0.6,1,,,,,,,,,,,,,
5,1.870570080948501,3.534220550151125,0.6687898539963026,-0.17995465395399113,-0.06541607280571794,-0.005512331712162302,0.0018244730326114223,SN06,snake,0.6,1,,,,,,,,,,,,,
6,2.0003917026988454,4.03771502485638,0.6576355507470673,-0.1541410760418132,-0.05202616982307692,-0.00582652475740345,0.002187720979709411,SN06,snake,0.6,1,,,,,,,,,,,,,
7,2.109873493631469,4.486849615980133,0.6297680119428047,-0.18063342081905098,-0.060171777848963666,-0.006338933239451609,0.0009540923440363258,SN06,snake,0.6,1,,,,,,,,,,,,,
8,2.208395092114414,4.911275206649221,0.618663070460607,-0.19423747979151823,-0.06261325126088943,-0.007184321008045613,0.0014869361947057768,SN06,snake,0.6,1,,,,,,,,,,,,,
9,2.304714092754013,5.338265855711155,0.6384687589136125,-0.21147810985167925,-0.06488542682178512,-0.006877042425101223,0.004482506429776549,SN06,snake,0.6,1,,,,,,,,,,,,,
10,2.3913856713004584,5.7411796649503275,0.5959983463705755,-0.1930845371314029,-0.05795782912026647,-0.007099815344566773,0.00519616739009507,SN06,snake,0.6,1,,,,,,,,,,,,,
11,2.472031675169958,6.129160813659739,0.5749431487324353,-0.1869620000230234,-0.05601861313381305,-0.007397719998795935,0.005413784687989392,SN06,snake,0.6,1,,,,,,,,,,,,,
12,2.5453621791759997,6.495812365402114,0.5904185927986068,-0.22376704105623296,-0.061797498623011905,-0.007201435223417086,0.007159645098727197,SN06,snake,0.6,1,,,,,,,,,,,,,
