task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
1,1.0530080353770532,1.1120215520528358,0.7706275048175215,0.008170454149056537,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
2,1.330935907630536,1.7744912886825017,0.8363903785425881,-0.09015463808943808,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
3,1.5590453557574824,2.4348748699577523,0.8511420380926441,-0.0777761551599672,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
4,1.715462088976347,2.949389313202179,0.7976169491006551,-0.1011981584803448,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
5,1.8504884092676084,3.4348937026282194,0.7768272895307023,-0.09672391301920012,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
6,1.9774854559776087,3.921776064066437,0.734347306980438,-0.07876274014020083,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
7,2.0899602595491387,4.381098870523994,0.6765895427554649,-0.06828323472904378,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
8,2.1912545793923712,4.81752921399132,0.7644853426344899,-0.08968446812995046,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
9,2.284902847852733,5.238212612917109,0.7103549502303865,-0.07828749661849527,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
10,2.381848597866428,5.690548513689996,0.7137993337052212,-0.06699888832043309,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
11,2.4822526115580272,6.178721157906887,0.7671711672023841,-0.06796304952817384,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
12,2.5659187133615817,6.600685869747056,0.7180133565050357,-0.07047146983995733,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
13,2.651744532306576,7.049156924226614,0.7636433910463478,-0.07069572090129098,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
14,2.7390791054545427,7.518590070130428,0.7364153441982181,-0.059001756806675604,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
15,2.8139366613998287,7.935747950591159,0.6856014136347802,-0.060110567231226805,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
