task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.1225056206397601,1.2670121033606714,0.9297331279566269,0.004273911352820018,0.7508405799317437,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
2,1.511832745255587,2.307376135078,1.1564753397632865,-0.04739317237148935,0.8181529468229809,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
3,1.7791937156819957,3.204598071947503,1.0829095832198732,-0.06037261490119803,0.8728537497391933,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
4,1.9709546434623726,3.9442958126479857,0.9349179962302361,-0.05984567663466187,0.9203158789375067,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
5,2.1358781845828987,4.634920103163946,0.9153105066941544,-0.06424052821460782,0.969323230287178,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
6,2.2944908232312433,5.340040812849099,0.895286683861223,-0.048668642722658785,1.0124826057379386,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
7,2.421413465571305,5.954089807536136,0.8192971862249897,-0.05496258434852924,1.0528376021663803,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
8,2.5316665028064795,6.50496699392285,0.7794946677504089,-0.06052381326340561,1.0833339789352163,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
9,2.647490193086861,7.1159339918522315,0.8863641500621491,-0.061875726526782665,1.1206767370108048,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
10,2.7576626012115377,7.711110198678292,0.827771775159953,-0.05554180115725708,1.159722369641214,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
11,2.8598240513606186,8.28051888320449,0.7850630374220299,-0.04769927616088036,1.1988069972614372,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
12,2.9660322784268347,8.893918742482422,0.8301009278998518,-0.044999743758558475,1.237775161897587,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
13,3.083233083743973,9.582160832421787,0.9126143800236952,-0.04299075225754875,1.2776040963506945,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
14,3.177462735828582,10.17277080835848,0.854773756173743,-0.04980328068006668,1.3078984218910845,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
15,3.276304817615205,10.804033878018343,0.889909060732448,-0.04611004008242585,1.3392215998151789,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
16,3.361738447663848,11.36498483120345,0.8077467047571796,-0.04529520419124905,1.3625745890506102,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
17,3.4429732757984346,11.915789745556536,0.8496791905612504,-0.05319778073738753,1.3855625234875668,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
18,3.5278166213330615,12.500523748648456,0.849191494233376,-0.04306195242402464,1.4115592464189126,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
19,3.6111956449627574,13.092706504213863,0.8372964381199336,-0.04091942517607574,1.440039542956219,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
20,3.6793031313774587,13.588865904202946,0.8495681804587637,-0.05746208914730954,1.45930574953683,HP03,0.03,1,0.0013641645956220757,0.054169096018869545,0.00047326680810321815,0.686784299109931,77.4798517448586,0.0823555348259198,0.2042658395031712,1.0,4.440892098500626e-15,0.024167228171439622,35.153728612649395,0.2173657891890489,2.207274100785083,-1.9168752250662795,0.1744140625,-0.013104044450816912,-0.006520919138778836,0.9185000061988831,0.00032695348205861313,0.00032695508366742095,0.03972573208379075,0.03939877860173214,11.106515819493378
21,3.7455545049883665,14.084887645627417,0.8692669640684058,-0.058215375118529096,1.481413527064932,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
22,3.823746331138647,14.669302472100066,0.8591591138665534,-0.041644200817088146,1.5077096553899885,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
23,3.900407619016064,15.254946480406877,0.9181398539550869,-0.04670996093916146,1.5293367053494415,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
24,3.9780055327251693,15.863487646255981,0.9164686351331607,-0.04376856504976658,1.5476787607842548,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
25,4.052097289735634,16.454309102630244,0.9749919587552001,-0.05039210274620613,1.5732676385049058,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
26,4.119941709466971,17.01125015814405,0.8742604455357406,-0.04475777426577024,1.5931436359100903,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
27,4.185816804521291,17.55692343674797,0.8912251013364656,-0.046809102851912865,1.6063320704583155,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
28,4.247133754534428,18.078736004073544,0.9212873317554869,-0.052594205624497056,1.6236223750987477,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
29,4.314006691038617,18.650869093189584,0.9081838666071818,-0.04184430744637944,1.6457666182617678,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
30,4.371728314406542,19.15376384937508,0.8910812038528233,-0.04912303780234705,1.6637502672208415,HP03,0.03,1,0.0013982160558726258,0.05308162819717048,0.0005293950491469503,0.6423220693900143,77.4635381589367,0.07663306442255222,0.1907513344451083,1.0,4.440892098500626e-15,0.02360383944451928,37.7515363950558,0.2011410409753183,2.451877091231907,-2.2830491797813064,0.16078125,-0.010019821188876309,-0.001594992728393677,0.9128000140190125,,,,,
