task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,KKA,1,0.6648160219192505,0.8772468719959259,0.7684,0.6269601112365722,0.748,0.6827483825683593,62500,500,0.6642720103263855,0.7684,0.748,33.95579527900554,36.53163465700345,"[0.4838399887084961, 0.604479968547821, 0.7061600089073181, 0.7531999945640564, 0.7763999700546265]"
2,KKA,1,0.677951991558075,0.815680208278656,0.7756,0.5903730258941651,0.724,0.7041276245117187,62500,500,0.6775199770927429,0.7756,0.724,31.873767749988474,33.775265217991546,"[0.5540800094604492, 0.6637600064277649, 0.6998400092124939, 0.7228800058364868, 0.7491999864578247]"
3,KKA,1,0.6835520267486572,0.8387147803001404,0.81,0.5399536666870117,0.732,0.7280556335449219,62500,500,0.6832320094108582,0.81,0.732,31.87652358796913,33.74660316697555,"[0.5423200130462646, 0.670479953289032, 0.715999960899353, 0.7387199997901917, 0.7502399682998657]"
4,KKA,1,0.7734879851341248,0.6145205672321319,0.8588,0.3597772075653076,0.808,0.5773311157226563,62500,500,0.7731199860572815,0.8588,0.808,31.888565747998655,33.76675814099144,"[0.6843999624252319, 0.7631999850273132, 0.7915199995040894, 0.8032000064849854, 0.8251199722290039]"
5,KKA,1,0.7584800124168396,0.6568837424907684,0.8472,0.4271340217590332,0.76,0.69793310546875,62500,500,0.7580000162124634,0.8472,0.76,31.889968005008996,33.87376465299167,"[0.6660799980163574, 0.7478399872779846, 0.7742399573326111, 0.792639970779419, 0.8115999698638916]"
6,KKA,1,0.7263680100440979,0.7061134932670593,0.83,0.4758110773086548,0.708,0.7731416015625,62500,500,0.7260159850120544,0.83,0.708,31.88067422399763,33.75990515900776,"[0.6181600093841553, 0.7181599736213684, 0.7361599802970886, 0.7651999592781067, 0.794160008430481]"
7,KKA,1,0.8182079792022705,0.5059714386310578,0.88,0.3219659797668457,0.796,0.5794148406982422,62500,500,0.8177599906921387,0.88,0.796,31.888679992000107,33.78462305199355,"[0.7301599979400635, 0.8021599650382996, 0.8354399800300598, 0.8568799495697021, 0.8664000034332275]"
8,KKA,1,0.7078719735145569,0.772126556526184,0.8448,0.4448136070251465,0.72,0.8440079040527344,62500,500,0.707472026348114,0.8448,0.72,31.8783530779765,33.762652517994866,"[0.5796799659729004, 0.688319981098175, 0.7228800058364868, 0.7643199563026428, 0.7841599583625793]"
9,KKA,1,0.6432639956474304,0.8622026359691619,0.7444,0.6313326904296875,0.596,0.9531384887695312,62500,500,0.6428639888763428,0.7444,0.596,31.88908417202765,33.77777863497613,"[0.5473600029945374, 0.6243999600410461, 0.653439998626709, 0.6839999556541443, 0.7071200013160706]"
10,KKA,1,0.7388160228729248,0.6864342801055908,0.8528,0.40727377452850344,0.68,0.8343235168457032,62500,500,0.7383679747581482,0.8528,0.68,31.893836354021914,33.782228154013865,"[0.6126399636268616, 0.7219199538230896, 0.7623199820518494, 0.7930399775505066, 0.8041599988937378]"
11,KKA,1,0.854416012763977,0.4031827523117065,0.9452,0.15837554817199706,0.844,0.46088226318359377,62500,500,0.8539360165596008,0.9452,0.844,31.893672368023545,33.778086649021134,"[0.7555199861526489, 0.8424800038337708, 0.8682399988174438, 0.8944000005722046, 0.9114399552345276]"
12,KKA,1,0.8107200264930725,0.5073465087108612,0.9052,0.25534668850898745,0.824,0.5696369018554688,62500,500,0.8102560043334961,0.9052,0.824,31.882538517995272,33.864959179016296,"[0.7008799910545349, 0.8002399802207947, 0.8307999968528748, 0.8527199625968933, 0.8689599633216858]"
13,KKA,1,0.8045120239257812,0.5321472624464034,0.8844,0.3173803806304932,0.692,0.9047664794921875,62500,500,0.8040800094604492,0.8844,0.692,31.892171474988572,33.7706513919984,"[0.6971200108528137, 0.7989599704742432, 0.8237599730491638, 0.8382399678230286, 0.8644799590110779]"
14,KKA,1,0.8854399919509888,0.33238544268512726,0.9576,0.12153716831207276,0.848,0.5315776977539063,62500,500,0.8850719928741455,0.9576,0.848,31.882563079998363,33.7687694390188,"[0.7987200021743774, 0.8758399486541748, 0.9012799859046936, 0.9231199622154236, 0.9282400012016296]"
15,KKA,1,0.8279359936714172,0.46417239338874816,0.878,0.33126854648590087,0.776,0.6815986938476563,62500,500,0.8275359869003296,0.878,0.776,31.88608543004375,33.77590056200279,"[0.727679967880249, 0.8228799700737, 0.8454399704933167, 0.8675999641418457, 0.8760799765586853]"
16,KKA,1,0.8479840159416199,0.4209355595521927,0.934,0.1945923264503479,0.848,0.38192512512207033,62500,500,0.8476319909095764,0.934,0.848,31.87955279200105,33.777336533006746,"[0.7469599843025208, 0.8443999886512756, 0.8652799725532532, 0.8874399662017822, 0.8958399891853333]"
17,KKA,1,0.8568159937858582,0.41193002890014646,0.9264,0.19940845227241516,0.8,0.661496337890625,62500,500,0.8565599918365479,0.9264,0.8,31.895537907956168,33.79364273598185,"[0.761199951171875, 0.8530399799346924, 0.8727999925613403, 0.8912000060081482, 0.9058399796485901]"
18,KKA,1,0.7832159996032715,0.5638205713253021,0.8848,0.3188497383117676,0.724,0.8016463012695313,62500,500,0.782863974571228,0.8848,0.724,31.900698683981318,33.8815573239699,"[0.6467199921607971, 0.7727999687194824, 0.8097599744796753, 0.8298400044441223, 0.8569599986076355]"
