act,env,lo,hi,n,early,eP,eB,eV,early_updown,late,lP,lB,lV,late_updown
GELU,RL,0.0,3.0,229,-2.7440214715532014,-0.9903379605047996,-1.4166415014352889,-0.33704178293762266,0.5582644568279767,0.18147400739146743,5.71826195292691,-7.564449876929175,2.027661833089728,1.0172325636476012
GELU,RL,-1.0,0.0,101,-2.397272449457617,-0.7921454797943517,-1.158265704232748,-0.4468609752608371,0.6063018322789961,0.15419289437049163,3.2325585274226745,-7.440920408679217,4.362554908927117,1.013224438316513
GELU,RL,-2.0,-1.0,138,-2.6465591183164245,-1.1178835661029674,0.00028420627983327836,-1.5289598856457893,0.5671685409433268,0.33142287738029036,-0.10222066650182338,-8.61376618789441,9.047409633869867,1.0215650931874516
GELU,RL,-3.0,-2.0,166,-2.4201376296114177,-1.348399077859951,-0.1036109065953469,-0.9681275839572323,0.5852072540160892,0.47819447694910855,-1.2646720368973603,-8.842465722564075,10.585332255646659,1.0293448361078321
GELU,RL,-6.0,-3.0,716,-2.1405583161035717,-0.8062191782675913,0.485366443907307,-1.8197056903966122,0.5675451366606142,0.8167673858014033,-1.2466637433528072,-7.080677128787433,9.144107666140762,1.0533269108668972
GELU,RL,-12.0,-6.0,4266,-1.7867094049376517,-0.6122174609970016,0.6295235208766524,-1.8040168352078312,0.5356759737637286,0.7412425874667078,-0.9640974697043329,-3.069095934090386,4.774429032086307,1.0781307316830953
GELU,RL,-inf,-12.0,39081,-0.688860309271419,-0.5156141561016138,0.2961013041071862,-0.4693542453346267,0.6931340796248162,0.6701928988473042,-0.6192592925200334,-1.277116547895006,2.5665361146366,1.1406412949010827
GELU,PM,0.0,3.0,1770,-1.4804763851125198,-1.5001272689994083,0.15348234280858247,-0.13383133243773962,0.6723023848265053,0.15575335341822677,0.4004515404171798,-0.24664732282628624,0.001949211942086162,1.1756503323903416
GELU,PM,-1.0,0.0,1319,-1.369998296577502,-1.362869363659163,-0.10158271756843118,0.09445373354882054,0.6841792286148113,0.1331435532299595,0.43647041089256655,-0.3668163297401655,0.06348906167677792,1.1337217016844718
GELU,PM,-2.0,-1.0,2033,-1.3536991264579035,-1.473859152357331,-0.29655779728862663,0.4167177982431146,0.6800417059640746,0.12824133646288913,0.22971969036328402,-0.6356511551649366,0.5341732166826988,1.089875338440716
GELU,PM,-3.0,-2.0,2679,-1.2797287261440675,-1.6523480640903436,-0.48456324912892473,0.8571823624843281,0.6913545736138836,0.15196540093847524,-0.09235886402375276,-1.0624706648832138,1.306794148650514,1.0827156810213485
