seed,env,act,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,zmean_l1,gate_mean_l1,lowgate_l1,tinygate_l1,neggate_l1,zmed_l1,zmean_l2,gate_mean_l2,lowgate_l2,tinygate_l2,neggate_l2,zmed_l2,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1
0,RL,LR,1,0.1166667,0.8567396,0.4328807,True,1,0.003140997,-0.3634099,0.4725775,0,0,0,-0.2916917,0.8998147,0.8074,0,0,0,0.956233,3.022515,1.650563,2.462571,3.014975
0,RL,ELU1,1,0.1166667,0.7906354,0.6097195,True,1,0.008020378,-0.6805965,0.586346,0.04721667,0,0,-0.6835297,0.2252614,0.7774797,0.009491666,0,0,0.2279108,3.46952,1.613421,2.430487,3.462552
0,RL,R,1,0.1166667,0.8619479,0.4157385,True,1,0.001563243,-0.3148754,0.3730417,0.6269584,0.6269584,0,-0.4055053,1.442954,0.8869001,0.1131,0.1131,0,1.589277,2.260042,1.603713,2.710978,2.25088
0,RL,GELU,1,0.1166667,0.8679583,0.3884047,True,1,0.001218608,-0.0842915,0.5143332,0.1215417,0.000925,0.2915417,-0.06750285,1.600899,0.9414888,0.013,2.5e-05,0.02699167,1.583071,2.975735,1.634312,2.220731,2.967904
0,RL,SILU,1,0.1166667,0.8331146,0.4839001,True,1,0.002976532,-0.05770493,0.5141441,0.08512499,0,0.1971083,-0.1144579,1.690064,0.9062945,0.01253333,0,0.01754167,1.691247,3.35517,1.722089,2.263604,3.347243
0,PM,LR,1,0.1191667,0.9883021,0.04333531,True,1,5.462984e-05,0.9964697,0.79312,0,0,0,1.126856,3.010074,0.8674301,0,0,0,2.867125,1.608235,1.075464,1.370513,1.589615
0,PM,ELU1,1,0.1191667,0.9897604,0.03957858,True,1,4.956246e-05,0.8265517,0.8881114,0.003633333,0,0,0.8162358,1.86617,0.8010666,0.0581,0,0,1.900391,1.517451,1.130471,1.429259,1.50559
0,PM,R,1,0.1191667,0.9883229,0.04540274,True,1,3.976514e-05,1.137324,0.7201751,0.279825,0.279825,0,1.227418,2.526862,0.7371,0.2629,0.2629,0,3.113943,1.557532,1.058601,1.422235,1.537086
0,PM,GELU,1,0.1191667,0.9889792,0.04127524,True,1,5.591432e-05,1.498485,0.894765,0.023725,0.0001666667,0.055925,1.450099,3.136671,0.8672308,0.04123333,0.003225,0.08344167,3.063692,1.594779,1.032287,1.33768,1.576444
0,PM,SILU,1,0.1191667,0.9880937,0.04436573,True,1,5.468468e-05,1.912552,0.9268866,0.01283334,0,0.02356667,1.96986,3.718577,0.8823094,0.03245,0,0.06545833,3.68638,1.665737,1.04309,1.331164,1.640806
1,RL,LR,1,0.1241667,0.8613333,0.4136801,True,1,0.001649264,-0.07435566,0.544375,0,0,0,-0.08506502,1.325367,0.8851299,0,0,0,1.310852,2.778154,1.599712,2.449395,2.771496
1,RL,ELU1,1,0.1241667,0.800052,0.5881906,True,1,0.005554294,-0.5599329,0.6190147,0.03724167,0,0,-0.5417952,0.2657018,0.7831277,0.009625,0,0,0.2609884,3.343224,1.612986,2.46771,3.33772
