arm,seed,t_half_arm,t_half_ref,compare
cap1,0,14.0,7,later
cap1,1,15.0,7,later
cap1,2,14.0,7,later
cap1,3,14.0,7,later
cap1,4,16.0,7,later
cap1,5,13.0,5,later
cap1,6,17.0,8,later
cap1,7,16.0,7,later
cap1,8,16.0,7,later
cap1,9,14.0,8,later
cap2,0,11.0,7,later
cap2,1,12.0,7,later
cap2,2,11.0,7,later
cap2,3,11.0,7,later
cap2,4,11.0,7,later
cap2,5,8.0,5,later
cap2,6,13.0,8,later
cap2,7,13.0,7,later
cap2,8,11.0,7,later
cap2,9,11.0,8,later
cap12,0,,7,later
cap12,1,,7,later
cap12,2,,7,later
cap12,3,,7,later
cap12,4,,7,later
cap12,5,,5,later
cap12,6,,8,later
cap12,7,,7,later
cap12,8,,7,later
cap12,9,,8,later
cap12_bfix,0,,7,later
cap12_bfix,1,,7,later
cap12_bfix,2,,7,later
cap12_bfix,3,,7,later
cap12_bfix,4,,7,later
cap12_bfix,5,,5,later
cap12_bfix,6,,8,later
cap12_bfix,7,,7,later
cap12_bfix,8,,7,later
cap12_bfix,9,,8,later
