act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2,pen_wt_total,pen_rest_total
LR,l2wt,0,0.001,4,1,0.93975,1,1,0,0,-0.2595489621,0.636280179,-1.449604869,0.3954999447,52.03324232,0,0,0.4209560156,0.2117198706,0.154460609,0.9842500687,22.84796031,1.017994285,0.6508617997,8.403493881,0.1379447663,0.046937407,1.016281259,1.543718326,1.631305691,1.760448794,0.003554072968,-0.007637536619,0,0.44,nan,nan,nan,0.4731555797,0.5856625627,0.692537744,0.8046924763,1.028775688,0.0270066465,0.09684079513,0,0,nan,nan,nan,0.1379447663,0.7311528331
LR,l2wt,0,0.001,4,2,0.9318541667,1,1,0,0,-0.4520144165,0.6335015893,-1.923942685,0.2919999957,49.80980501,0,0,0.3163386583,0.18138282,0.07239313424,0.9745000005,28.81306514,0.8944435716,0.6845540404,13.1527071,0.1091954094,0.02851501169,0.891727855,1.377402012,1.717430636,1.539693992,0.004196478842,-0.05763794668,0.38,0.29,nan,nan,nan,0.3474889309,0.5380018686,0.6994146839,0.7818356726,0.933636092,0.03349895584,0.09964379296,0.43,0,nan,nan,nan,0.1091954094,1.789098314
LR,l2wt,0,0.001,4,3,0.9380583333,1,1,0,0,-0.5382513404,0.6570398211,-1.660450101,0.2567499578,46.95313557,0,0,0.234733656,0.2152762413,-0.2186344713,0.8814999461,36.32169167,0.8257323503,0.7650859356,16.5675106,0.1112945199,0.05320308155,0.8059924827,1.435136125,1.696679268,1.390614085,0.00491961845,-0.09977275133,0.49,0.31,nan,nan,nan,0.1721109783,0.5468224736,0.7804108857,0.8624259802,0.9431140462,0.04871925081,0.07030085847,0.44,0,nan,nan,nan,0.1112945199,2.788968196
LR,l2wt,0,0.001,4,4,0.9366395833,1,1,0,0,-0.4906894565,0.5143188238,-1.921841264,0.2589999735,50.58743363,0,0,0.2125277966,0.1667101383,-0.4208181798,0.9002500176,31.48577737,0.7723791003,0.8228520155,18.8517704,0.08999611286,0.03383479671,0.7702712655,1.288062623,1.61366317,1.325685626,0.004703451619,-0.1054309048,0.38,0.17,nan,nan,nan,0.1073601155,0.3879928068,0.8059962905,0.9281320371,0.6540134223,0.05603811071,0.01214762451,0.29,0,nan,nan,nan,0.08999611286,3.672765234
LR,l2wt,0,0.001,4,5,0.9359354167,1,1,0,0,-0.5701687336,0.6619425416,-1.731044769,0.2529999912,57.21329395,0,0,0.1877200752,0.2021366507,-0.4014565647,0.8109999299,35.01329557,0.9444930553,0.9154917002,20.80025673,0.1234320937,0.1349930878,0.9322740496,1.493542781,1.715860343,1.604491661,0.004673472258,-0.1518752277,0.51,0.38,nan,nan,nan,0.08682308652,0.3383220923,0.9114022953,1.133704301,0.5946357623,0.06990572572,-0.04444898106,0.37,0.01,nan,nan,nan,0.1234320937,4.492085076
LR,l2wt,0,0.001,4,6,0.92863125,1,1,0,0,-0.6456125379,0.6768229008,-1.89516151,0.2139999717,63.09519364,0,0,-0.04824844375,0.2406155765,-0.5313513279,0.4720000327,37.19644695,1.018305659,0.9637332559,22.31863022,0.1374920997,0.2168831789,0.9634401143,1.485564108,2.06906052,1.671731244,0.005270629397,-0.195603855,0.54,0.37,nan,nan,nan,0.111384717,0.339029285,0.9128835462,1.064311111,0.5894938638,0.07065769698,-0.1081988774,0.35,0,nan,nan,nan,0.1374920997,5.17446641
LR,l2wt,0,0.001,4,7,0.9306666667,1,1,0,0,-0.6691593528,0.7362558842,-1.761640429,0.1959999651,58.9090179,0,0,-0.2039855868,0.2572291791,-0.5672734976,0.2282499671,35.81868945,1.038297772,0.997426331,23.99786377,0.1504495518,0.1550216979,1.03531977,1.683793188,1.974608998,1.789868159,0.00486662933,-0.2266176194,0.64,0.41,nan,nan,nan,0.09840787353,0.2617337719,1.013463126,1.203529254,0.4671701874,0.06777474797,-0.1630901173,0.32,0.01,nan,nan,nan,0.1504495518,5.841430498
LR,l2wt,0,0.001,4,8,0.9280041667,1,1,0,0,-0.714302659,0.7089361548,-1.793614864,0.2297499776,60.77878535,0,0,-0.2661801577,0.2472555488,-0.672192812,0.1832499951,34.27373514,0.9950476885,1.007972717,25.33823776,0.1399697724,0.2634276587,0.9817963401,1.587075566,1.979295494,1.687263565,0.005479183916,-0.2921210378,0.59,0.42,nan,nan,nan,0.1352647304,0.2963585024,0.9548904458,1.117671567,0.5199476653,0.06791518309,-0.1641047001,0.31,0.01,nan,nan,nan,0.1399697724,6.48182051
LR,l2wt,0,0.001,4,9,0.9274958333,1,1,0,0,-0.649946928,0.5991385579,-1.7623173,0.2259999812,53.06417711,0,0,-0.06621146947,0.1887994707,-0.5657594204,0.3909999728,33.4552838,0.740758121,0.9297973514,26.64731789,0.1128047176,0.1102187362,0.7257559483,1.506283983,1.735644137,1.251339301,0.00436489581,-0.3033339232,0.52,0.3,nan,nan,nan,0.05169555272,0.1820521021,0.9079834663,1.046086405,0.3154516988,0.05868895956,-0.1636004522,0.34,0,nan,nan,nan,0.1128047176,7.124233952
LR,l2wt,0,0.001,4,10,0.9315895833,0.9866666794,0.9866666794,0,0,-0.784933269,0.7430448532,-1.913929701,0.1757499874,61.52431839,0,0,-0.3871697187,0.2795526981,-0.9940266013,0.1082500219,31.5951041,1.047443271,0.9935157299,28.13767242,0.1504362572,0.3094562775,1.054563951,1.63741078,2.031554476,1.842303558,0.006074873682,-0.3296904415,0.62,0.46,nan,nan,nan,0.1808777061,0.2888123947,0.9418709408,1.099289905,0.4841667659,0.06673653426,-0.1836349592,0.34,0.01,nan,nan,nan,0.1504362572,7.722119866
LR,l2wt,0,0.001,4,11,0.9300666667,1,1,0,0,-0.7197446227,0.6445051432,-1.598150492,0.2312499732,54.2519282,0,0,-0.1973508596,0.2126690745,-0.8329568505,0.1697499752,29.84425218,0.8330993652,0.9517909288,29.1656723,0.1195545279,0.1106375661,0.8871867652,1.518731377,1.923082158,1.520945553,0.004732808792,-0.3329328001,0.52,0.33,nan,nan,nan,0.03761402645,0.1394060327,0.9816087891,1.177486464,0.2434934049,0.06647609128,-0.1823537499,0.3,0.01,nan,nan,nan,0.1195545279,8.360112761
LR,l2wt,0,0.001,4,12,0.93291875,0.9791666865,0.9791666865,0,0,-0.7515118122,0.7396649718,-1.615467787,0.1967500001,59.03932653,0,0,-0.3349992633,0.2678551972,-1.131018519,0.1112500131,32.00539816,0.9721874595,1.020001888,29.87911034,0.1535703915,0.2511059183,0.9721439358,1.716832564,1.964398714,1.682946653,0.004066869616,-0.3292824626,0.63,0.42,nan,nan,nan,0.1334432035,0.2582112944,0.9824016159,1.103654493,0.4528187512,0.06097351508,-0.1862298772,0.34,0,nan,nan,nan,0.1535703915,8.895591849
LR,l2wt,0,0.001,4,13,0.9293895833,1,1,0,0,-0.6211212277,0.5929270387,-1.978445053,0.2334999591,50.94131198,0,0,-0.1488917172,0.1760728508,-0.8768267035,0.225249961,28.94830855,0.7186055779,0.9668874145,31.02775383,0.1081291815,0.08033089463,0.7406768507,1.439121581,1.788506606,1.310698838,0.004513191819,-0.3476499319,0.5,0.29,nan,nan,nan,0.02715378456,0.130113402,0.9433870471,1.087647536,0.2286496731,0.05829413906,-0.1837982982,0.27,0,nan,nan,nan,0.1081291815,9.452219083
LR,l2wt,0,0.001,4,14,0.9317166667,1,1,0,0,-0.6709253788,0.6035785675,-2.289869308,0.2319999635,48.41241168,0,0,-0.1284592152,0.1657923013,-0.5847962499,0.1929999739,28.56072304,0.710174799,0.9352229238,31.66644096,0.1085932809,0.05925937523,0.6906727404,1.511612771,1.752682228,1.200767232,0.005254937993,-0.325743556,0.49,0.33,nan,nan,nan,0.02186737696,0.1358719506,0.9449845188,1.124656991,0.2383838226,0.06190521963,-0.1572977901,0.27,0,nan,nan,nan,0.1085932809,9.973810566
LR,l2wt,0,0.001,4,15,0.9342916667,0.9741666913,0.9741666913,0,0,-0.7610610723,0.724878788,-1.491375685,0.1877499819,63.43250598,0,0,-0.3264569342,0.2538228631,-1.224867344,0.1090000123,28.53322428,1.056754112,0.9963697195,32.85691833,0.1466831722,0.2467507,1.025765944,1.638076921,1.85657615,1.768199121,0.003553969932,-0.325956583,0.63,0.43,nan,nan,nan,0.1067043036,0.2277397928,0.9789519464,1.221105197,0.4104323082,0.0578706624,-0.1264931299,0.3,0.03,nan,nan,nan,0.1466831722,10.46892069
LR,l2wt,0,0.001,4,16,0.93576875,0.9808333516,0.9808333516,0,0,-0.9514810443,0.7610382438,-2.324427843,0.1689999849,63.79236503,0,0,-0.412553221,0.2809326649,-1.447747707,0.1067500189,27.82769392,0.9603362083,1.016897678,33.35584641,0.1566505272,0.3302400674,0.9510916046,1.677899782,1.964665909,1.622980263,0.004072780105,-0.313083753,0.59,0.42,nan,nan,nan,0.1559617656,0.267895073,0.9919973394,1.121517988,0.4886030928,0.05868979794,-0.0945960097,0.29,0.01,nan,nan,nan,0.1566505272,10.91143046
LR,l2wt,0,0.001,4,17,0.93173125,1,1,0,0,-0.7169520259,0.7000342011,-1.675551057,0.2229999751,59.97311583,0,0,-0.1073242202,0.2081872225,-0.7518413067,0.2237499505,31.37264396,0.9604589343,0.9638546109,33.89876175,0.1313538279,0.1508206871,0.9380263956,1.506043242,1.895804802,1.619142016,0.004951359178,-0.3317773044,0.56,0.39,nan,nan,nan,0.05330200328,0.2406715246,0.9315736111,1.191142294,0.4205148404,0.06708261856,-0.1115970686,0.31,0,nan,nan,nan,0.1313538279,11.40864103
