act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
LR,none,0,5,0,W1,2,78400,33.17433953,5.759716966,5.759716966,1,1,0,0.03317433953,0,0,0,0,l2wt
LR,none,0,5,0,b1,1,100,0.04622852544,0.2150081985,0.2150081985,1,1,0,4.622852544e-05,0,0,1.026479467e-20,0,l2wt
LR,none,0,5,0,W2,2,10000,33.71072114,5.806093449,5.806093449,1,1,0,0.03371072114,0,0,0,0,l2wt
LR,none,0,5,0,b2,1,100,0.3141346433,0.5604771568,0.5604771568,1,1,0,0.0003141346433,0,0,-1.395038055e-19,0,l2wt
LR,none,0,5,0,W3,2,1000,3.217392057,1.793709022,1.793709022,1,1,0,0.003217392057,0,0,-1.428809096e-18,0,l2wt
LR,none,0,5,0,b3,1,10,0.02491611894,0.1578484049,0.1578484049,1,1,0,2.491611894e-05,0,0,0,0,l2wt
LR,none,0,5,1,W1,2,78400,105.9469612,10.29305403,5.759716966,1.787076359,0.03002673424,11.64306773,0.1059469612,0.1355610262,0.02055114491,0.1150098813,0,l2wt
LR,none,0,5,1,b1,1,100,0.8809502842,0.9385895185,0.2150081985,4.365366181,0.2610944516,0.9065311741,0.0008809502842,0.0008217987697,0.0005235699266,0.0002982288431,0,l2wt
LR,none,0,5,1,W2,2,10000,47.95489171,6.924947055,5.806093449,1.192703341,0.1218927158,8.477249488,0.04795489171,0.07186375889,0.001251833391,0.07061192549,0,l2wt
LR,none,0,5,1,b2,1,100,1.508796279,1.228330688,0.5604771568,2.191580287,0.2832638472,1.197039765,0.001508796279,0.001432904199,0.0004460283392,0.0009868758602,0,l2wt
LR,none,0,5,1,W3,2,1000,794.1523535,28.18070889,1.793709022,15.71085864,0.7663660835,26.83082579,0.7941523535,0.7198932126,0.696273762,0.02361945059,0,l2wt
LR,none,0,5,1,b3,1,10,0.09335285684,0.3055369975,0.1578484049,1.935635635,0.4662749334,0.2707276652,9.335285684e-05,7.32934687e-05,2.181192037e-05,5.148154833e-05,0,l2wt
LR,none,0,5,2,W1,2,78400,98.81018938,9.940331452,5.759716966,1.725836792,0.002789929028,11.47453975,0.09881018938,0.1316650625,0.01747753748,0.1141875251,0,l2wt
LR,none,0,5,2,b1,1,100,1.939061259,1.392501799,0.2150081985,6.476505585,0.1313170427,1.380817628,0.001939061259,0.001906657323,0.001386491178,0.0005201661443,0,l2wt
LR,none,0,5,2,W2,2,10000,54.84641866,7.405836797,5.806093449,1.27552835,0.04591588214,9.19828612,0.05484641866,0.08460846755,0.002559178778,0.08204928878,0,l2wt
LR,none,0,5,2,b2,1,100,2.10675796,1.451467519,0.5604771568,2.58969969,0.08297610224,1.511915374,0.00210675796,0.002285888097,0.0007938638261,0.001492024271,0,l2wt
LR,none,0,5,2,W3,2,1000,1955.367722,44.21954005,1.793709022,24.65257157,0.7578363589,42.8761766,1.955367722,1.83836652,1.799951139,0.03841538121,0,l2wt
LR,none,0,5,2,b3,1,10,0.223726051,0.4729968826,0.1578484049,2.99652621,0.31052582,0.4497480788,0.000223726051,0.0002022733344,9.931856298e-05,0.0001029547714,0,l2wt
LR,none,0,5,3,W1,2,78400,118.6661394,10.89339889,5.759716966,1.89130802,0.001116748727,12.31666931,0.1186661394,0.1517003429,0.02635469013,0.1253456528,0,l2wt
LR,none,0,5,3,b1,1,100,3.137157455,1.771202263,0.2150081985,8.237835927,-0.02046117854,1.788566509,0.003137157455,0.003198970156,0.002421739965,0.0007772301906,0,l2wt
LR,none,0,5,3,W2,2,10000,73.55332835,8.576323708,5.806093449,1.477124642,0.01622290128,10.27854138,0.07355332835,0.1056484128,0.00767417569,0.09797423711,0,l2wt
LR,none,0,5,3,b2,1,100,2.47996807,1.574791437,0.5604771568,2.809733489,0.1174943676,1.608320092,0.00247996807,0.002586693519,0.001028833459,0.00155786006,0,l2wt
LR,none,0,5,3,W3,2,1000,2904.675839,53.89504466,1.793709022,30.04670434,0.7481651759,52.56652872,2.904675839,2.763239942,2.714549175,0.04869076626,0,l2wt
LR,none,0,5,3,b3,1,10,0.153294804,0.3915288035,0.1578484049,2.480410262,0.2897169317,0.3773600894,0.000153294804,0.0001424006371,5.460652867e-05,8.77941084e-05,0,l2wt
LR,none,0,5,4,W1,2,78400,87.09327663,9.332377866,5.759716966,1.620284108,-0.001527399651,10.97414312,0.08709327663,0.1204318173,0.0127639059,0.1076679114,0,l2wt
LR,none,0,5,4,b1,1,100,4.965404321,2.228318721,0.2150081985,10.36387792,-0.0562029988,2.250663752,0.004965404321,0.005065487324,0.004053419259,0.001012068065,0,l2wt
LR,none,0,5,4,W2,2,10000,81.98784506,9.054713969,5.806093449,1.559519158,0.01872226594,10.66442746,0.08198784506,0.113730013,0.01055353528,0.1031764777,0,l2wt
LR,none,0,5,4,b2,1,100,3.183423991,1.784215231,0.5604771568,3.183386173,0.1483054139,1.789118298,0.003183423991,0.003200944283,0.001497534874,0.001703409408,0,l2wt
LR,none,0,5,4,W3,2,1000,3769.502063,61.39627076,1.793709022,34.22866808,0.7349053818,60.0903781,3.769502063,3.61085354,3.552465366,0.0583881738,0,l2wt
LR,none,0,5,4,b3,1,10,0.1566099069,0.3957396959,0.1578484049,2.507087075,0.3763956757,0.3667444601,0.0001566099069,0.000134501499,5.659226631e-05,7.790923269e-05,0,l2wt
LR,none,0,5,5,W1,2,78400,83.03369484,9.112282636,5.759716966,1.582071253,-0.0006331800706,10.78306534,0.08303369484,0.1162744982,0.01123969657,0.1050348017,0,l2wt
LR,none,0,5,5,b1,1,100,7.593923705,2.755707478,0.2150081985,12.81675535,0.02919889386,2.757816448,0.007593923705,0.007605551559,0.006455152829,0.001150398729,0,l2wt
LR,none,0,5,5,W2,2,10000,90.04601,9.48925761,5.806093449,1.634361846,0.01134455309,11.06827282,0.09004601,0.1225066631,0.01356569824,0.1089409649,0,l2wt
LR,none,0,5,5,b2,1,100,4.421052839,2.102629982,0.5604771568,3.751499871,0.2214989718,2.052589829,0.004421052839,0.004213125005,0.002378235335,0.00183488967,0,l2wt
