act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2,pen_wt_total,pen_rest_total
R,l2rest,0,0.001,4,1,0.9689104167,1,1,0.200000003,0.200000003,-0.4940021634,1.927129388,-3.410221815,0.4166666567,62.61486799,0,0,3.902327538,3.208925009,0.4638214707,0.9024999738,33.19677619,5.634508133,3.388083696,0.6100106239,0.003679840539,0.6047021634,5.643865347,6.32338081,7.595617732,9.738088474,3.746345085e-06,0.0005780894426,0,0.8,nan,nan,nan,3.168603739,3.389676875,3.724981013,4.220016479,5.902272275,2.271384466e-05,0.0007100371586,0,1,nan,nan,nan,3.918918467,0.003679840539
R,l2rest,0,0.001,4,2,0.95744375,1,1,0.2399999946,0.2399999946,-3.129419327,3.595222473,-11.15453815,0.113333337,65.9965005,0,0,2.10111928,6.106678486,-2.129736423,0.6291666627,59.65158018,9.09016037,5.793245792,0.7318880558,0.005451915515,0.6047021634,9.092150716,10.40795062,12.17031287,15.66076091,2.18045037e-06,8.133136287e-42,0.8,0.8,nan,nan,nan,5.280060198,5.807422555,6.299978109,7.118784596,10.17035866,4.282867885e-06,0.001676270738,1,1,nan,nan,nan,10.38801023,0.005451915515
R,l2rest,0,0.001,4,3,0.94299375,1,1,0.2399999946,0.2399999946,-4.962784767,5.127288818,-14.01487923,0.09416666627,62.57986534,0,0,-0.4300640225,11.51716709,-8.51296711,0.4991666675,72.63391442,12.16845512,7.678918362,0.849637866,0.007151518819,0.6047021634,12.17809025,14.37044372,17.18410941,21.16301214,3.203580351e-06,4.67512109e-05,0.8,0.8,nan,nan,nan,7.01955887,7.680874875,8.468935576,9.809315228,13.40108072,8.714497817e-06,0.001145103364,1,1,nan,nan,nan,19.08059769,0.007151518819
R,l2rest,0,0.001,4,4,0.9289770833,0.9991666675,0.9991666675,0.2399999946,0.2399999946,-6.869103909,6.416662693,-17.15024757,0.07916666567,64.38191136,0,0,-2.110771418,15.52817535,-14.89808083,0.4666666687,77.46933985,14.74379826,9.04271698,0.9662110209,0.009585754719,0.6047021634,14.76202969,17.5621628,20.51431905,25.44001045,4.183369889e-06,0.0002704488725,0.8,0.8,nan,nan,nan,8.261140255,9.094444403,9.992996159,11.05920089,15.98243779,8.039805107e-06,0.0004181180557,1,1,nan,nan,nan,27.23388844,0.009585754719
R,l2rest,0,0.001,4,5,0.8882020833,0.9833333492,0.9833333492,0.2399999946,0.2399999946,-9.851539612,7.822315216,-23.75125313,0.05166666582,64.27907997,0,0,-4.24704504,18.30220413,-18.00583649,0.4250000119,79.32194116,16.31920242,10.45179939,1.428503633,0.02360415366,0.6047021634,16.38629384,19.58056173,23.40232489,28.2706418,7.227749903e-06,7.534571648e-41,0.8,0.8,nan,nan,nan,9.441685745,10.46272524,11.4801569,13.1619132,18.21951518,1.82140281e-05,-0.006058939965,1,1,nan,nan,nan,34.86488648,0.02360415366
R,l2rest,0,0.001,4,6,0.78171875,0.9150000215,0.9150000215,0.2399999946,0.2399999946,-13.24199867,8.70977211,-27.31096268,0.02583333291,66.00096184,0,0,-4.720940113,17.06551933,-15.67183304,0.4350000024,79.36068349,17.75091362,11.58796406,1.712740779,0.04945847737,0.6047021634,17.81637826,21.83970158,29.00139737,30.70721277,4.211052254e-06,2.606064819e-41,0.8,0.8,nan,nan,nan,10.28962859,11.61347257,13.00675447,14.70015195,20.10500207,1.061485149e-05,-0.001703538874,1,1,nan,nan,nan,42.39602538,0.04945847737
R,l2rest,0,0.001,4,7,0.611075,0.7191666961,0.7191666961,0.2399999946,0.2399999946,-16.80848694,9.302584648,-31.536129,0.01416666713,67.73506014,0,0,-3.719355822,14.36477852,-12.1213398,0.4575000107,77.7735687,18.67704582,12.50072479,1.934772015,0.06862444447,0.6047021634,18.73914585,22.84231041,31.57155523,32.67414042,4.247998286e-06,-5.549562308e-41,0.8,0.8,nan,nan,nan,11.09049226,12.52130511,14.43734592,15.46054104,21.89596016,1.165813999e-05,-0.0006682930834,1,1,nan,nan,nan,47.86680909,0.06862444447
R,l2rest,0,0.001,4,8,0.4613395833,0.5741666555,0.5741666555,0.2399999946,0.2399999946,-18.38738251,9.842468262,-33.82871246,0.009166666307,66.37965794,0,0,-4.729408264,13.88268566,-15.92111778,0.4466666579,76.20629604,19.30160713,13.1606617,1.737956882,0.05584835821,0.6047021634,19.38433476,23.89691298,32.5376181,33.46726877,3.663357394e-06,-1.229422201e-40,0.8,0.8,nan,nan,nan,11.61512377,13.23761473,15.31690212,16.81252766,22.83642844,1.686858683e-05,-0.001800452475,1,1,nan,nan,nan,52.23103275,0.05584835821
R,l2rest,0,0.001,4,9,0.4193729167,0.5199999809,0.5199999809,0.25,0.25,-20.26479912,10.09222031,-36.6341629,0.006666666828,66.11683729,0,0,-4.841646194,14.65978718,-15.44120312,0.4083333313,75.26498685,20.01110458,13.74509811,1.637989759,0.05167238419,0.6047021634,20.06456057,24.41728039,38.33216121,34.24344543,1.550352659e-06,-3.133303366e-42,0.8,0.8,nan,nan,nan,12.12062214,13.78498026,15.84182111,17.22899429,24.11573086,8.581622969e-06,-0.002647103043,1,1,nan,nan,nan,56.14051967,0.05167238419
R,l2rest,0,0.001,4,10,0.3369354167,0.4058333337,0.4058333337,0.2700000107,0.2700000107,-21.98369789,10.59458065,-40.22106171,0.004999999888,66.5366541,0,0,-3.520976067,13.28809929,-10.78368473,0.3041666746,74.81004696,20.2956028,14.25073051,1.413596272,0.04041483361,0.6047021634,20.38423553,24.90096258,42.14757319,35.04363749,1.133925661e-06,8.133136287e-42,0.8,0.8,nan,nan,nan,12.53694272,14.26815228,16.44247758,17.80541012,24.88637585,1.225928077e-05,-0.001113914361,1,1,nan,nan,nan,59.04188029,0.04041483361
