act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,6,0,W1,2,78400,33.15340642,5.75789948,5.75789948,1,1,0,0.03315340642,0,0,0,0,l2rest
R,none,0,6,0,b1,1,100,0.04565060768,0.2136600283,0.2136600283,1,1,0,4.565060768e-05,0,0,0,0,l2rest
R,none,0,6,0,W2,2,10000,33.0299391,5.74716792,5.74716792,1,1,0,0.0330299391,0,0,0,0,l2rest
R,none,0,6,0,b2,1,100,0.3462866665,0.5884612701,0.5884612701,1,1,0,0.0003462866665,0,0,0,0,l2rest
R,none,0,6,0,W3,2,1000,3.292236324,1.814452073,1.814452073,1,1,0,0.003292236324,0,0,0,0,l2rest
R,none,0,6,0,b3,1,10,0.02930276955,0.1711805174,0.1711805174,1,1,0,2.930276955e-05,0,0,6.506521887e-21,0,l2rest
R,none,0,6,1,W1,2,78400,2925.393624,54.08690806,5.75789948,9.393513772,0.1336481723,53.62185876,2.925393624,2.875303737,2.335693071,0.5396106663,0,l2rest
R,none,0,6,1,b1,1,100,0.0008190823288,0.02861961441,0.2136600283,0.1339493149,0.2687178744,0.2078060191,8.190823288e-07,4.318334155e-05,3.423995477e-05,8.943386787e-06,0,l2rest
R,none,0,6,1,W2,2,10000,1409.179473,37.53903931,5.74716792,6.531745694,0.3354890361,36.02013993,1.409179473,1.29745048,1.010723087,0.2867273937,0,l2rest
R,none,0,6,1,b2,1,100,7.929413151e-05,0.008904725235,0.5884612701,0.01513221972,0.136893837,0.5873085132,7.929413151e-08,0.0003449312897,0.0003358857888,9.045500908e-06,0,l2rest
R,none,0,6,1,W3,2,1000,3.579795419,1.89203473,1.814452073,1.042758174,0.6183728716,1.620578838,0.003579795419,0.002626275769,6.019068684e-06,0.0026202567,0,l2rest
R,none,0,6,1,b3,1,10,5.583829513e-06,0.002363012804,0.1711805174,0.01380421581,-0.06251638897,0.1713444757,5.583829513e-09,2.935892935e-05,2.849934987e-05,8.595794871e-07,0,l2rest
R,none,0,6,2,W1,2,78400,7557.651069,86.93475179,5.75789948,15.09834482,0.08389375261,86.64188652,7.557651069,7.5068165,6.589681352,0.9171351485,0,l2rest
R,none,0,6,2,b1,1,100,0.001015452428,0.03186616431,0.2136600283,0.1491442483,-0.009540420931,0.2163237678,1.015452428e-06,4.679597251e-05,3.304900898e-05,1.374696354e-05,0,l2rest
R,none,0,6,2,W2,2,10000,4199.494774,64.80350896,5.74716792,11.27572917,0.2588851485,63.55854057,4.199494774,4.039688079,3.487651417,0.5520366618,0,l2rest
R,none,0,6,2,b2,1,100,0.0001652484654,0.01285490044,0.5884612701,0.02184493882,0.1125648322,0.5871532139,1.652484654e-07,0.0003447488966,0.0003313226928,1.342620374e-05,0,l2rest
R,none,0,6,2,W3,2,1000,4.241745268,2.059549773,1.814452073,1.135080835,0.1998695064,2.457676779,0.004241745268,0.006040175148,6.007288281e-05,0.005980102265,0,l2rest
R,none,0,6,2,b3,1,10,2.549071047e-05,0.005048832585,0.1711805174,0.02949420098,-0.06528602722,0.1715841155,2.549071047e-08,2.944110869e-05,2.759973671e-05,1.841371984e-06,0,l2rest
R,none,0,6,3,W1,2,78400,13643.81693,116.8067504,5.75789948,20.28634761,0.06156619236,116.5939802,13.64381693,13.59415623,12.33184728,1.262308949,0,l2rest
R,none,0,6,3,b1,1,100,0.0006201449158,0.02490270901,0.2136600283,0.1165529613,-0.03863034251,0.216059794,6.201449158e-07,4.668183457e-05,3.562932558e-05,1.105250899e-05,0,l2rest
R,none,0,6,3,W2,2,10000,6623.836548,81.38695564,5.74716792,14.16122806,0.2222327313,80.30548058,6.623836548,6.448970211,5.721377486,0.7275927252,0,l2rest
R,none,0,6,3,b2,1,100,0.05487134399,0.2342463319,0.5884612701,0.3980658435,0.1244841442,0.6056723563,5.487134399e-05,0.0003668390031,0.0001254682225,0.0002413707806,0,l2rest
R,none,0,6,3,W3,2,1000,7.255450276,2.693594304,1.814452073,1.484522157,0.01594001296,3.223643317,0.007255450276,0.01039187623,0.0007728910635,0.009618985169,0,l2rest
R,none,0,6,3,b3,1,10,0.1400150519,0.3741858521,0.1711805174,2.185913781,-0.5228097032,0.4861000144,0.0001400150519,0.000236293224,4.121116591e-05,0.0001950820581,0,l2rest
R,none,0,6,4,W1,2,78400,19787.25202,140.6671675,5.75789948,24.43029234,0.05097069747,140.491417,19.78725202,19.73783826,18.20051061,1.537327653,0,l2rest
R,none,0,6,4,b1,1,100,0.001637603066,0.04046730861,0.2136600283,0.1894004646,-0.04346594114,0.219179938,1.637603066e-06,4.803984522e-05,2.999571815e-05,1.804412707e-05,0,l2rest
R,none,0,6,4,W2,2,10000,9236.092833,96.10459319,5.74716792,16.72207852,0.1929791081,95.16273833,9.236092833,9.055946766,8.164464302,0.8914824636,0,l2rest
R,none,0,6,4,b2,1,100,0.3498296687,0.5914640046,0.5884612701,1.005102688,0.2620491769,0.7167300644,0.0003498296687,0.0005137019853,9.016413993e-09,0.0005136929688,0,l2rest
R,none,0,6,4,W3,2,1000,12.34886341,3.514094963,1.814452073,1.93672515,0.01466158157,3.931174207,0.01234886341,0.01545413065,0.002888785955,0.01256534469,0,l2rest
R,none,0,6,4,b3,1,10,0.354341325,0.59526576,0.1711805174,3.477415356,-0.7658684195,0.734659692,0.000354341325,0.0005397248631,0.000179848293,0.0003598765701,0,l2rest
R,none,0,6,5,W1,2,78400,25058.71824,158.2994575,5.75789948,27.49257052,0.0459425072,158.1395618,25.05871824,25.00812099,23.26892692,1.739194076,0,l2rest
R,none,0,6,5,b1,1,100,0.005764556964,0.07592467955,0.2136600283,0.3553527544,-0.06829925738,0.2315838406,5.764556964e-06,5.363107521e-05,1.897102629e-05,3.466004891e-05,0,l2rest
R,none,0,6,5,W2,2,10000,12135.43969,110.1609717,5.74716792,19.16787072,0.1702640095,109.3292125,12.13543969,11.95287671,10.90224242,1.050634284,0,l2rest
R,none,0,6,5,b2,1,100,4.584263134,2.14108924,0.5884612701,3.638453963,0.1052359918,2.159945839,0.004584263134,0.004665366027,0.002410653613,0.002254712413,0,l2rest
R,none,0,6,5,W3,2,1000,21.57645801,4.64504661,1.814452073,2.560027173,-0.008681358502,5.001502878,0.02157645801,0.02501503103,0.008012265434,0.0170027656,0,l2rest
R,none,0,6,5,b3,1,10,0.5456176966,0.7386593915,0.1711805174,4.315090307,-0.3919457865,0.8209987382,0.0005456176966,0.0006740389281,0.0003220322725,0.0003520066556,0,l2rest
R,none,0,6,6,W1,2,78400,29300.59479,171.1741651,5.75789948,29.72857822,0.04090917856,171.035399,29.30059479,29.25310772,27.36254092,1.890566802,0,l2rest
R,none,0,6,6,b1,1,100,0.006612441832,0.08131692218,0.2136600283,0.3805902434,0.07287118008,0.2230042513,6.612441832e-06,4.973089612e-05,1.751469773e-05,3.221619838e-05,0,l2rest
R,none,0,6,6,W2,2,10000,15051.25643,122.6835622,5.74716792,21.34678574,0.1628449255,121.8796455,15.05125643,14.85464798,13.67412031,1.180527678,0,l2rest
R,none,0,6,6,b2,1,100,11.22550738,3.350448833,0.5884612701,5.693575776,-0.03377474505,3.421253463,0.01122550738,0.01170497526,0.007628575296,0.004076399959,0,l2rest
R,none,0,6,6,W3,2,1000,31.28109281,5.592950278,1.814452073,3.082445859,-0.00809875371,5.893870011,0.03128109281,0.03473770371,0.01427704868,0.02046065502,0,l2rest
R,none,0,6,6,b3,1,10,0.5583499449,0.7472281746,0.1711805174,4.365147307,0.003590982779,0.7659856805,0.0005583499449,0.0005867340627,0.0003318309033,0.0002549031594,0,l2rest
R,none,0,6,7,W1,2,78400,32599.1644,180.5523869,5.75789948,31.35733569,0.0387814161,180.4208505,32.5991644,32.5516833,30.55311282,1.998570475,0,l2rest
R,none,0,6,7,b1,1,100,0.006621522725,0.08137273945,0.2136600283,0.3808514868,0.04262768845,0.2253660838,6.621522725e-06,5.078987175e-05,1.749992679e-05,3.328994496e-05,0,l2rest
R,none,0,6,7,W2,2,10000,17689.49949,133.0018778,5.74716792,23.14215969,0.1583999714,132.2133601,17.68949949,17.48037258,16.19376117,1.286611403,0,l2rest
R,none,0,6,7,b2,1,100,23.35576395,4.832780147,0.5884612701,8.212571314,-0.02119768999,4.880842038,0.02335576395,0.023822619,0.01801424273,0.005808376275,0,l2rest
R,none,0,6,7,W3,2,1000,40.35825975,6.352815104,1.814452073,3.501230592,-0.04065180008,6.677400153,0.04035825975,0.0445876728,0.02059673901,0.02399093379,0,l2rest
