act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,5,0,W1,2,78400,33.17433953,5.759716966,5.759716966,1,1,0,0.03317433953,0,0,0,0,l2wt
R,none,0,5,0,b1,1,100,0.04622852544,0.2150081985,0.2150081985,1,1,0,4.622852544e-05,0,0,1.026479467e-20,0,l2wt
R,none,0,5,0,W2,2,10000,33.71072114,5.806093449,5.806093449,1,1,0,0.03371072114,0,0,0,0,l2wt
R,none,0,5,0,b2,1,100,0.3141346433,0.5604771568,0.5604771568,1,1,0,0.0003141346433,0,0,-1.395038055e-19,0,l2wt
R,none,0,5,0,W3,2,1000,3.217392057,1.793709022,1.793709022,1,1,0,0.003217392057,0,0,-1.428809096e-18,0,l2wt
R,none,0,5,0,b3,1,10,0.02491611894,0.1578484049,0.1578484049,1,1,0,2.491611894e-05,0,0,0,0,l2wt
R,none,0,5,1,W1,2,78400,68.33737486,8.266642297,5.759716966,1.435251479,0.02516803151,9.955653532,0.06833737486,0.09911503726,0.006284674613,0.09283036264,0,l2wt
R,none,0,5,1,b1,1,100,0.7383196729,0.8592553014,0.2150081985,3.996383892,0.3195596272,0.8163778999,0.0007383196729,0.0006664728754,0.0004150543295,0.0002514185459,0,l2wt
R,none,0,5,1,W2,2,10000,44.34034323,6.658854498,5.806093449,1.146873463,0.1478906758,8.161837172,0.04434034323,0.06661558602,0.0007272014068,0.06588838461,0,l2wt
R,none,0,5,1,b2,1,100,0.7104063518,0.8428560682,0.5604771568,1.503818769,0.5107579317,0.7361897137,0.0007104063518,0.0005419752946,7.973784963e-05,0.000462237445,0,l2wt
R,none,0,5,1,W3,2,1000,690.9812983,26.28652313,1.793709022,14.65484245,0.6767721785,25.10734092,0.6909812983,0.6303785681,0.599897943,0.03048062516,0,l2wt
R,none,0,5,1,b3,1,10,0.07693403017,0.2773698437,0.1578484049,1.757191299,0.5962538893,0.2227988141,7.693403017e-05,4.963931157e-05,1.428537431e-05,3.535393726e-05,0,l2wt
R,none,0,5,2,W1,2,78400,148.438751,12.18354427,5.759716966,2.1153026,0.006650929296,13.44171303,0.148438751,0.1806796491,0.04126555726,0.1394140918,0,l2wt
R,none,0,5,2,b1,1,100,1.031816487,1.015783681,0.2150081985,4.724395107,0.1408358874,1.008229827,0.001031816487,0.001016527384,0.0006412413736,0.0003752860107,0,l2wt
R,none,0,5,2,W2,2,10000,401.3865393,20.03463349,5.806093449,3.450621949,0.04103703232,20.62886722,0.4013865393,0.4255501627,0.2024513518,0.2230988109,0,l2wt
R,none,0,5,2,b2,1,100,14.71230565,3.835662348,0.5604771568,6.843565882,0.576951447,3.542002054,0.01471230565,0.01254577855,0.01072683804,0.001818940512,0,l2wt
R,none,0,5,2,W3,2,1000,3135.385315,55.99451147,1.793709022,31.21716553,0.5864153498,54.96186042,3.135385315,3.020806101,2.937726986,0.08307911473,0,l2wt
R,none,0,5,2,b3,1,10,0.08115606545,0.2848790365,0.1578484049,1.80476348,-0.1013548426,0.3393929478,8.115606545e-05,0.000115187573,1.613678136e-05,9.905079165e-05,0,l2wt
R,none,0,5,3,W1,2,78400,55.55040324,7.453214289,5.759716966,1.2940244,0.002830614111,9.406471989,0.05555040324,0.08848171528,0.002867933183,0.0856137821,0,l2wt
R,none,0,5,3,b1,1,100,1.241498983,1.114225733,0.2150081985,5.182247654,0.1519615841,1.10223289,0.001241498983,0.001214917344,0.0008085921734,0.0004063251705,0,l2wt
R,none,0,5,3,W2,2,10000,727.0763193,26.96435275,5.806093449,4.64414722,0.03181930404,27.40116669,0.7270763193,0.7508239358,0.4476719367,0.3031519991,0,l2wt
R,none,0,5,3,b2,1,100,20.794165,4.560061951,0.5604771568,8.136035333,0.5525642481,4.275956099,0.020794165,0.01828380056,0.01599667853,0.002287122036,0,l2wt
R,none,0,5,3,W3,2,1000,3800.044521,61.64450114,1.793709022,34.36705752,0.5657353283,60.64777492,3.800044521,3.678152603,3.582117318,0.09603528528,0,l2wt
R,none,0,5,3,b3,1,10,0.07475867098,0.2734203193,0.1578484049,1.732170302,0.1020164738,0.3014447542,7.475867098e-05,9.086893984e-05,1.335686738e-05,7.751207246e-05,0,l2wt
R,none,0,5,4,W1,2,78400,35.98223802,5.998519652,5.759716966,1.041460837,-0.004074162097,8.332952677,0.03598223802,0.06943810032,5.702672287e-05,0.0693810736,0,l2wt
R,none,0,5,4,b1,1,100,1.180764113,1.086629704,0.2150081985,5.053898926,0.1591803281,1.073598003,0.001180764113,0.001152612671,0.0007597240483,0.0003928886227,0,l2wt
R,none,0,5,4,W2,2,10000,894.0997222,29.90150033,5.806093449,5.150020508,0.02914572854,30.2934054,0.8940997222,0.9176904107,0.5805886329,0.3371017778,0,l2wt
R,none,0,5,4,b2,1,100,24.9346891,4.993464639,0.5604771568,8.909309824,0.5354047234,4.717194597,0.0249346891,0.02225192486,0.01965137802,0.002600546846,0,l2wt
R,none,0,5,4,W3,2,1000,4103.391414,64.0577194,1.793709022,35.71243641,0.5466363964,63.09509306,4.103391414,3.980990769,3.876806988,0.1041837805,0,l2wt
R,none,0,5,4,b3,1,10,0.08711073319,0.2951452747,0.1578484049,1.869802073,0.1144276705,0.3183785345,8.711073319e-05,0.0001013648913,1.885043045e-05,8.25144608e-05,0,l2wt
R,none,0,5,5,W1,2,78400,31.88103355,5.64632921,5.759716966,0.9803136583,-0.003733192822,8.080729505,0.03188103355,0.06529818934,1.285678326e-05,0.06528533255,0,l2wt
R,none,0,5,5,b1,1,100,1.234006871,1.110858619,0.2150081985,5.166587258,0.133100452,1.103020845,0.001234006871,0.001216654985,0.0008025479758,0.0004141070094,0,l2wt
R,none,0,5,5,W2,2,10000,928.9545871,30.47875632,5.806093449,5.24944295,0.02407526257,30.88922904,0.9289545871,0.9541444706,0.6087402934,0.3454041772,0,l2wt
R,none,0,5,5,b2,1,100,29.76356614,5.455599521,0.5604771568,9.733848124,0.5220548716,5.185083008,0.02976356614,0.0268850858,0.02396222296,0.00292286283,0,l2wt
R,none,0,5,5,W3,2,1000,4340.714012,65.88409529,1.793709022,36.73064832,0.5326056153,64.94650142,4.340714012,4.218048047,4.107577612,0.1104704353,0,l2wt
R,none,0,5,5,b3,1,10,0.09962419607,0.3156330085,0.1578484049,1.999595806,0.1106787427,0.3369151309,9.962419607e-05,0.0001135118054,2.489598113e-05,8.861582429e-05,0,l2wt
R,none,0,5,6,W1,2,78400,27.94113182,5.285937175,5.759716966,0.9177425221,-0.003480626118,7.831181914,0.02794113182,0.06132741017,0.0002244672905,0.06110294288,0,l2wt
R,none,0,5,6,b1,1,100,1.257129533,1.121217879,0.2150081985,5.214768027,0.1208777077,1.115830556,0.001257129533,0.00124507783,0.0008212159856,0.0004238618443,0,l2wt
R,none,0,5,6,W2,2,10000,861.1186395,29.34482304,5.806093449,5.054142394,0.02478083334,29.77222034,0.8611186395,0.8863851041,0.554071791,0.3323133131,0,l2wt
R,none,0,5,6,b2,1,100,29.20788423,5.404431907,0.5604771568,9.642555171,0.5118964939,5.140125275,0.02920788423,0.02642088784,0.02346389762,0.002956990226,0,l2wt
R,none,0,5,6,W3,2,1000,4306.708272,65.6255154,1.793709022,36.58648899,0.5294338686,64.69376386,4.306708272,4.185283082,4.074499505,0.1107835765,0,l2wt
R,none,0,5,6,b3,1,10,0.1001873588,0.3165238676,0.1578484049,2.00523957,0.1220903862,0.3360111987,0.0001001873588,0.0001129035256,2.517790246e-05,8.772562318e-05,0,l2wt
R,none,0,5,7,W1,2,78400,27.94758854,5.286547885,5.759716966,0.9178485533,-0.0034849898,7.831612677,0.02794758854,0.06133415712,0.0002238889794,0.06111026814,0,l2wt
R,none,0,5,7,b1,1,100,1.257129533,1.121217879,0.2150081985,5.214768027,0.1208777077,1.115830556,0.001257129533,0.00124507783,0.0008212159856,0.0004238618443,0,l2wt
R,none,0,5,7,W2,2,10000,860.9925434,29.34267444,5.806093449,5.053772334,0.02478431495,29.77009305,0.8609925434,0.88625844,0.5539706448,0.3322877952,0,l2wt
R,none,0,5,7,b2,1,100,28.85943077,5.372097427,0.5604771568,9.584864186,0.5015054017,5.114055355,0.02885943077,0.02615356218,0.02315168963,0.00300187255,0,l2wt
R,none,0,5,7,W3,2,1000,4260.681231,65.27389394,1.793709022,36.39045861,0.525200822,64.34994255,4.260681231,4.140915106,4.029733878,0.1111812284,0,l2wt
R,none,0,5,7,b3,1,10,0.1074983423,0.3278693982,0.1578484049,2.077115688,0.14262753,0.3430035968,0.0001074983423,0.0001176514674,2.890713815e-05,8.874432924e-05,0,l2wt
R,none,0,5,8,W1,2,78400,27.94331363,5.286143549,5.759716966,0.9177783527,-0.003482528146,7.831329138,0.02794331363,0.06132971607,0.0002242717811,0.06110544429,0,l2wt
R,none,0,5,8,b1,1,100,1.257129533,1.121217879,0.2150081985,5.214768027,0.1208777077,1.115830556,0.001257129533,0.00124507783,0.0008212159856,0.0004238618443,0,l2wt
R,none,0,5,8,W2,2,10000,861.1427709,29.34523421,5.806093449,5.05421321,0.02478821269,29.77258139,0.8611427709,0.8864066026,0.5540911478,0.3323154548,0,l2wt
R,none,0,5,8,b2,1,100,28.57615579,5.34566701,0.5604771568,9.537707194,0.490462143,5.094243751,0.02857615579,0.02595131939,0.02289804194,0.003053277456,0,l2wt
R,none,0,5,8,W3,2,1000,4214.901088,64.92226958,1.793709022,36.19442662,0.5216075594,64.00495564,4.214901088,4.096634347,3.985215159,0.1114191884,0,l2wt
R,none,0,5,8,b3,1,10,0.1077401582,0.3282379597,0.1578484049,2.079450596,0.1512400518,0.3420295702,0.0001077401582,0.0001169842269,2.903260036e-05,8.79516265e-05,0,l2wt
R,none,0,5,9,W1,2,78400,27.94422751,5.28622999,5.759716966,0.9177933605,-0.003486120481,7.831401674,0.02794422751,0.06133085217,0.0002241899168,0.06110666226,0,l2wt
R,none,0,5,9,b1,1,100,1.257129533,1.121217879,0.2150081985,5.214768027,0.1208777077,1.115830556,0.001257129533,0.00124507783,0.0008212159856,0.0004238618443,0,l2wt
R,none,0,5,9,W2,2,10000,861.0989957,29.34448834,5.806093449,5.054084746,0.02478983166,29.77184056,0.8610989957,0.8863624904,0.5540560339,0.3323064566,0,l2wt
R,none,0,5,9,b2,1,100,28.35313135,5.324765849,0.5604771568,9.500415466,0.4821567102,5.078322532,0.02835313135,0.02578935974,0.02269844674,0.003090912995,0,l2wt
R,none,0,5,9,W3,2,1000,4159.541257,64.49450563,1.793709022,35.95594649,0.5165330255,63.58654769,4.159541257,4.043249047,3.931389896,0.1118591511,0,l2wt
R,none,0,5,9,b3,1,10,0.10786578,0.3284292618,0.1578484049,2.080662531,0.1749753046,0.3385849187,0.00010786578,0.0001146397472,2.909782873e-05,8.554191845e-05,0,l2wt
R,none,0,5,10,W1,2,78400,27.94646961,5.286442055,5.759716966,0.9178301792,-0.003485494123,7.831542929,0.02794646961,0.06133306465,0.0002239891413,0.0611090755,0,l2wt
R,none,0,5,10,b1,1,100,1.257129533,1.121217879,0.2150081985,5.214768027,0.1208777077,1.115830556,0.001257129533,0.00124507783,0.0008212159856,0.0004238618443,0,l2wt
