branch,k,tier,comparison,labels,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
2,1,report,rev_minus_N,TIMING_MATTERS|SHOCK_HARMS,10,-0.030847916666666662,0.0031795061344899885,0.95,False,0,10,-0.03312239833754983,-0.02857343499578349,-
2,1,report,hold_minus_rev,TIMING_MATTERS|SHOCK_HARMS,10,-0.1445739583333333,0.11353414023750531,0.95,False,0,10,-0.22579138961566275,-0.06335652705100386,-
2,1,report,sw_minus_mid,TIMING_MATTERS|SHOCK_HARMS,10,-0.11669166666666664,0.02686876731129849,0.95,False,0,10,-0.13591242491772004,-0.09747090841561323,-
2,2,report,rev_minus_N,SHOCK_HARMS,10,-0.1121,0.0309651497592729,0.95,False,0,10,-0.13425113372470848,-0.08994886627529153,-
2,2,report,hold_minus_rev,SHOCK_HARMS,10,0.1413916666666667,0.044253355809314644,0.95,False,10,0,0.10973472297610107,0.17304861035723232,+
2,2,report,sw_minus_mid,SHOCK_HARMS,10,0.004021874999999997,0.014906557304270806,0.95,False,5,5,-0.006641633711856015,0.014685383711856008,0
5,1,primary,rev_minus_N,TIMING_MATTERS|SHOCK_HARMS,10,-0.05409166666666667,0.01459910010782629,0.95,False,0,10,-0.06453523374975575,-0.04364809958357759,-
5,1,primary,hold_minus_rev,TIMING_MATTERS|SHOCK_HARMS,10,-0.3488760416666667,0.05649134789854022,0.95,False,0,10,-0.3892875175134729,-0.3084645658198605,-
5,1,primary,sw_minus_mid,TIMING_MATTERS|SHOCK_HARMS,10,-0.20735208333333333,0.03566217933490779,0.95,False,0,10,-0.23286326960252018,-0.18184089706414647,-
5,2,report,rev_minus_N,INCONCLUSIVE,10,-0.03270416666666668,0.053391031705610506,0.95,False,2,8,-0.07089780991416827,0.005489476580834908,0
5,2,report,hold_minus_rev,INCONCLUSIVE,10,0.1286,0.045323547557046595,0.95,False,10,0,0.09617748725198162,0.16102251274801838,+
5,2,report,sw_minus_mid,INCONCLUSIVE,10,0.017362500000000003,0.02939981295410077,0.95,False,7,3,-0.0036688592309587105,0.03839385923095871,0
