arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LE,raw,0,0,0.001,1,none,0.8826541667,1,1,0,0,-4.27443552,7.024868965,-32.58242798,0.3617500961,64.30996416,0,0,1.316855907,6.384429932,-2.824016809,0.6320296526,62.98965613,5.756669998,1.478233695,2.01119256
LE,raw,0,0,0.001,2,none,0.6809875,0.9983333349,0.9983333349,0,0,-14.41235352,12.49385834,-58.20970154,0.1839999557,57.89689905,0,0,-23.64212036,17.81881332,-47.99594498,0.09041061252,72.77500459,10.1474123,2.415388107,2.840180397
LE,raw,0,0,0.001,3,none,0.1426354167,0.2150000036,0.2150000036,0,0,-42.14003754,20.18632126,-147.5223236,0.1089999676,20.32255921,0.1199999973,0,-107.2187881,35.79434967,-233.8315735,0.0008333333535,21.16210539,11.47876072,2.500786066,2.754489183
LE,raw,0,0,0.001,4,none,0.1153708333,0.1158333346,0.1158333346,0,0,-63.49358368,24.94395447,-236.2312775,0.1029999629,11.62466113,0.6299999952,0,-180.7375031,53.40274429,-404.2611389,1.430710585e-11,12.68866088,12.31930923,2.527759314,2.750398874
LE,raw,0,0,0.001,5,none,0.1060083333,0.125,0.125,0,0,-91.65483856,32.3721199,-281.5866089,0.100749962,6.711524762,0.8599999547,0,-227.8827667,62.7027359,-428.1924438,3.476223639e-15,2.859910384,12.43983459,2.531545639,2.74507165
LE,raw,0,0,0.001,6,none,0.1004229167,0.1050000042,0.1050000042,0,0,-107.3186188,33.28475189,-286.2213745,0.09999996424,5.925236698,0.9199999571,0,-231.2168732,63.82636642,-431.7471924,2.289017601e-15,1.713657403,12.49207783,2.531544685,2.750445843
LE,raw,0,0,0.001,7,none,0.09727083333,0.1000000015,0.1000000015,0,0,-110.3667831,34.10642624,-290.6846008,0.09999996424,5.867190882,0.8999999762,0,-228.7411804,63.3532753,-437.2340698,4.784756135e-15,1.315407923,12.49676037,2.531548977,2.745131493
LE,raw,0,0,0.001,8,none,0.1019395833,0.1150000021,0.1150000021,0,0,-114.1802902,35.61506653,-295.0885315,0.09999996424,5.786932721,0.9300000072,0,-236.497406,63.74020767,-448.2988586,2.391405038e-15,1.399440331,12.51124477,2.531538486,2.742972851
LE,raw,0,0,0.001,9,none,0.1027416667,0.1200000048,0.1200000048,0,0,-115.2685089,35.6828537,-293.9726257,0.09999996424,5.803452042,0.9199999571,0,-240.1379242,65.58950043,-444.9700012,6.980390577e-16,1.529122262,12.50352287,2.531538486,2.74999547
LE,raw,0,0,0.001,10,none,0.1059604167,0.09833333641,0.09833333641,0,0,-119.2181931,36.7711525,-294.9689941,0.09999996424,5.557015712,0.969999969,0,-250.8131866,66.49454498,-461.0254211,1.385750772e-15,1.000003003,12.4674778,2.531538486,2.7444489
LE,raw,0,0,0.001,11,none,0.09766666667,0.1000000015,0.1000000015,0,0,-119.5405502,37.01975632,-295.1288757,0.09999996424,5.534306234,0.9899999499,0,-250.1145325,66.32660675,-462.133667,7.631605389e-16,1.000000816,12.46935844,2.531538486,2.74323678
LE,raw,0,0,0.001,12,none,0.10201875,0.100833334,0.100833334,0,0,-116.6294556,36.32410431,-309.6480408,0.09999996424,5.918553239,0.9599999785,0,-246.2299042,66.24684906,-462.6589661,1.582230123e-15,1.578499711,12.51072216,2.531538486,2.746616364
LE,raw,0,0,0.001,13,none,0.1026604167,0.1200000048,0.1200000048,0,0,-120.7015686,36.4780159,-313.5148621,0.09999996424,6.032935359,0.9899999499,0,-243.6075592,65.56449127,-451.8878174,1.22548928e-15,1.00000102,12.5464201,2.53153801,2.740588903
LE,raw,0,0,0.001,14,none,0.09769375,0.1058333367,0.1058333367,0,0,-120.7015915,36.47805023,-313.5148621,0.09999996424,6.032903491,0.9899999499,0,-243.6080322,65.5621109,-451.8815613,1.20947591e-15,1.000000631,12.5464201,2.531537056,2.737544537
LE,raw,0,0,0.001,15,none,0.09772083333,0.1041666716,0.1041666716,0,0,-119.8969727,36.74963379,-313.7174988,0.09999996424,5.931193805,0.9899999499,0,-246.6478424,66.33332825,-469.1391296,1.107173177e-15,1.000000858,12.54808235,2.531537056,2.739015102
LE,raw,0,0,0.001,16,none,0.1074875,0.09083333611,0.09083333611,0,0,-119.7720337,36.59109497,-313.5131836,0.09999996424,5.981515194,0.969999969,0,-246.7227631,66.48831177,-473.106842,2.443645054e-16,1.396237956,12.54625797,2.531537294,2.740148306
LE,raw,0,0,0.001,17,none,0.10029375,0.113333337,0.113333337,0,0,-120.5827866,37.21030426,-316.1959534,0.09999996424,6.246819458,0.9199999571,0,-238.4373016,64.84933472,-458.7391663,1.154464191e-15,1.480595057,12.57033348,2.531546831,2.73893261
LE,raw,0,0,0.001,18,none,0.09834583333,0.09083333611,0.09083333611,0,0,-122.8709946,37.31666946,-317.273468,0.09999996424,6.455071665,0.9399999976,0,-234.6499481,64.69197845,-460.95224,6.989720116e-15,1.00000554,12.58299446,2.531931639,2.734567165
LE,raw,0,0,0.001,19,none,0.1009041667,0.1016666666,0.1016666666,0,0,-122.8704681,37.31678772,-317.2739258,0.09999996424,6.455003468,0.9399999976,0,-234.6549072,64.6929245,-460.9706421,6.94775768e-15,1.000002452,12.58299541,2.532851458,2.736945391
LE,raw,0,0,0.001,20,none,0.1006625,0.1150000021,0.1150000021,0,0,-119.7626877,37.28386307,-315.6987,0.09999996424,5.994365936,0.8799999952,0,-233.4254761,64.45572662,-479.3450012,2.768111083e-15,1.422256597,12.64548206,2.532821178,2.737398386
LE,raw,0,0,0.001,21,none,0.1068854167,0.1050000042,0.1050000042,0,0,-121.1719589,37.5174408,-316.4971924,0.09999996424,6.22973623,0.9399999976,0,-227.1726379,63.25550079,-483.3068848,2.80118556e-14,1.000004735,12.64382076,2.533102274,2.742350817
LE,raw,0,0,0.001,22,none,0.09656041667,0.09333333373,0.09333333373,0,0,-121.2331543,37.5160408,-316.5699158,0.09999996424,6.289976678,0.8999999762,0,-226.00354,62.9396286,-481.7557373,3.284795802e-14,1.00001252,12.64358521,2.533688784,2.73623848
LE,raw,0,0,0.001,23,none,0.09739791667,0.1108333394,0.1108333394,0,0,-121.2308655,37.51600266,-316.5706787,0.09999996424,6.288555146,0.8999999762,0,-226.0189056,62.94739914,-481.8426208,3.228797438e-14,1.000006739,12.6435833,2.531909227,2.736122608
LE,raw,0,0,0.001,24,none,0.1013791667,0.1050000042,0.1050000042,0,0,-122.7716675,37.18976593,-314.3096924,0.09999996424,6.430424297,0.8499999642,0,-221.1921387,61.97821808,-463.3446045,3.057517889e-14,1.421086201,12.67683601,2.538475275,2.740422964
LE,raw,0,0,0.001,25,none,0.09928125,0.1050000042,0.1050000042,0,0,-120.6550903,37.14524841,-319.3652649,0.09999996424,5.96259047,0.8499999642,0,-228.0667267,62.78833008,-482.3017883,1.724937874e-14,1.453455961,12.67741489,2.538479805,2.733611345
LE,raw,0,0,0.001,26,none,0.09686458333,0.09166666865,0.09166666865,0,0,-123.1835709,37.53637695,-318.7595825,0.09999996424,5.823949663,0.9599999785,0,-234.1832581,63.24649048,-495.2454224,7.139649183e-15,1.000001432,12.60326099,2.538294792,2.73448658
LE,raw,0,0,0.001,27,none,0.09783333333,0.1041666716,0.1041666716,0,0,-123.1835938,37.53638077,-318.7595825,0.09999996424,5.823894949,0.9599999785,0,-234.1875763,63.24647141,-495.2493286,7.213867904e-15,1.000001021,12.60326099,2.537963629,2.734063387
LE,raw,0,0,0.001,28,none,0.09963958333,0.0958333388,0.0958333388,0,0,-123.1834412,37.53635025,-318.7595825,0.09999996424,5.823892502,0.9599999785,0,-234.1789703,63.24654007,-495.2516785,7.216399685e-15,1.00000185,12.60326099,2.537926435,2.733919144
LE,raw,0,0,0.001,29,none,0.0987125,0.09000000358,0.09000000358,0,0,-125.2632599,37.77950668,-318.0924683,0.09999996424,5.909480748,0.969999969,0,-233.0592194,64.07081604,-485.991272,5.595888861e-15,1.000006636,12.64089775,2.537679434,2.733817816
LE,raw,0,0,0.001,30,none,0.10171875,0.09750000387,0.09750000387,0,0,-125.2687912,37.77955246,-318.0922852,0.09999996424,5.909593524,0.969999969,0,-233.1086273,64.06887817,-485.9208374,5.605984223e-15,1.000001022,12.64089394,2.53889823,2.731273413
LE,raw,0,0,0.001,31,none,0.09495833333,0.100833334,0.100833334,0,0,-125.2687912,37.77955246,-318.0922852,0.09999996424,5.90963105,0.969999969,0,-233.1088409,64.06868744,-485.9163513,5.578933379e-15,1.000001246,12.64089394,2.538929224,2.731762409
LE,raw,0,0,0.001,32,none,0.1011145833,0.1150000021,0.1150000021,0,0,-125.2687759,37.77955246,-318.0922852,0.09999996424,5.909743586,0.969999969,0,-233.1081238,64.06841278,-485.9085388,5.508775758e-15,1.000001382,12.64089394,2.538724422,2.732885599
LE,raw,0,0,0.001,33,none,0.09983333333,0.1066666692,0.1066666692,0,0,-125.2688446,37.77955246,-318.0922852,0.09999996424,5.909625182,0.969999969,0,-233.1091003,64.06852722,-485.9134521,5.580679114e-15,1.000001043,12.64089394,2.539108515,2.731295824
LE,raw,0,0,0.001,34,none,0.10078125,0.100833334,0.100833334,0,0,-125.2688293,37.77955246,-318.0922852,0.09999996424,5.909632325,0.969999969,0,-233.1087494,64.06856537,-485.9139709,5.577443872e-15,1.000001135,12.64089394,2.538869858,2.734998941
LE,raw,0,0,0.001,35,none,0.1002270833,0.1066666692,0.1066666692,0,0,-125.2678299,37.77954865,-318.0922852,0.09999996424,5.910136897,0.969999969,0,-233.1027069,64.06796265,-485.8902588,5.50070184e-15,1.000004405,12.64089584,2.538681984,2.732809067
LE,raw,0,0,0.001,36,none,0.09751666667,0.1116666719,0.1116666719,0,0,-124.9125137,37.7816391,-318.1785889,0.09999996424,5.939007898,0.8799999952,0,-232.539856,62.93418503,-484.4149475,5.258094663e-15,1.498038907,12.62425041,2.538509846,2.731402159
LE,raw,0,0,0.001,37,none,0.09924375,0.09750000387,0.09750000387,0,0,-125.1952667,38.10401917,-317.1516113,0.09999996424,6.018443049,0.9499999881,0,-235.3164673,64.3707962,-483.8877258,1.759793745e-15,1.000003003,12.60899353,2.53874898,2.731555462
LE,raw,0,0,0.001,38,none,0.1060333333,0.100833334,0.100833334,0,0,-128.399292,37.99251175,-315.9476624,0.09999996424,5.753568764,0.9799999595,0,-237.9332886,66.17108917,-484.070282,1.25462266e-15,1.000001704,12.69999599,2.537124157,2.72552824
