arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LL,raw,0,0,0.001,1,none,0.8687875,1,1,0,0,-4.260875702,6.011396885,-27.09790611,0.2920000255,54.78142321,0,0,0.5271958113,5.423427582,-6.575088978,0.5800001025,59.46859669,4.131278515,1.478763103,2.595632315
LL,raw,0,0,0.001,2,none,0.85909375,1,1,0,0,-9.999073982,8.216076851,-39.58258057,0.1802499741,64.16518137,0,0,-4.715216637,7.407473564,-14.36881828,0.3107500672,69.53500134,7.147149563,2.055167198,3.561427593
LL,raw,0,0,0.001,3,none,0.8250708333,0.9950000048,0.9950000048,0,0,-16.54207611,9.640769958,-35.7533989,0.1284999698,65.09076243,0,0,-9.565310478,7.443713665,-21.26555443,0.1652499586,72.05398824,9.448034286,2.665790558,4.198976994
LL,raw,0,0,0.001,4,none,0.7850395833,0.9733333588,0.9733333588,0,0,-21.23022652,10.51331329,-40.8125,0.1149999797,63.97132615,0,0,-13.22474766,7.489345074,-25.98082542,0.136749953,65.72736565,11.37392521,3.111044645,4.986430645
LL,raw,0,0,0.001,5,none,0.7554854167,0.9850000143,0.9850000143,0,0,-21.93505669,10.42511654,-41.51744843,0.111249961,63.37905103,0,0,-12.4394598,6.84660244,-21.43368912,0.1374999583,67.51607442,12.50353241,3.42372179,5.267552376
LL,raw,0,0,0.001,6,none,0.7480354167,0.9966666698,0.9966666698,0,0,-22.76867867,10.4753828,-47.81884003,0.1119999737,65.65549787,0,0,-13.51712704,7.042328358,-25.72532845,0.1299999505,65.57821227,13.46828365,3.546723366,5.365050793
LL,raw,0,0,0.001,7,none,0.7393520833,0.9966666698,0.9966666698,0,0,-22.32744408,10.23974323,-44.96603012,0.1074999645,61.63753713,0,0,-13.86231613,6.830426216,-23.32882881,0.1239999682,64.03000942,14.30557346,3.643254042,5.498616695
LL,raw,0,0,0.001,8,none,0.7310520833,0.9958333373,0.9958333373,0,0,-22.99520683,10.26486206,-46.31757736,0.1067499667,59.91133695,0,0,-13.99757004,7.053749561,-26.79588699,0.1284999698,65.77799716,14.99619293,3.640412331,5.435358047
LL,raw,0,0,0.001,9,none,0.7405666667,0.9958333373,0.9958333373,0,0,-22.78220367,10.51150036,-38.15808868,0.1097499728,65.40142479,0,0,-12.06084728,7.378240108,-26.48195648,0.1382499486,70.50996548,15.89060116,3.705691099,5.377794266
LL,raw,0,0,0.001,10,none,0.7403645833,0.9916666746,0.9916666746,0,0,-24.40418243,10.61509705,-41.40433502,0.1082499623,63.16169298,0,0,-15.58774471,7.711000919,-26.09774017,0.1202499643,64.29504187,16.6450634,3.820554495,5.339179039
