task,N,N2,D2,erode,cos,rowmean,bias,arm,seed,steps2,persist,zbar_cur,sigma_cur,zbar_inv,sigma_inv,acc,E,E_pred,E_pred_wrong,r_1,r_2,r_scale
1,1.97706950863913,3.9363272784190615,3.602328676543897,0.0007098023910664747,0.00029247993344224397,-0.02633629728086014,0.0064303213730454445,LIN0,0,,,,,,,,,,,,,
2,2.962362338612752,8.85796446569754,5.161348960866648,-0.23971177358816886,-0.026452832030167066,-0.044607545596005015,0.008316085627302527,LIN0,0,,,,,,,,,,,,,
3,3.67558888770082,13.646767432986616,5.0197293571852,-0.23092638989612418,-0.020112169175628015,-0.05524108469487833,0.009066655905917287,LIN0,0,,,,,,,,,,,,,
4,4.118622050347845,17.165021935111476,4.716582235714575,-1.198327733589717,-0.07832912482651663,-0.061778393369223174,0.010220463760197163,LIN0,0,,,,,,,,,,,,,
5,4.4892500853691555,20.451364109203972,4.799013524059853,-1.5126713499673579,-0.0894826902107159,-0.06758907016532786,0.011649000830948353,LIN0,0,,,,,,,,,,,,,
6,4.815304695807347,23.553210440520175,4.377968188953517,-1.2761218576373126,-0.07054266710822987,-0.07242487671590944,0.013496005348861218,LIN0,0,,,,,,,,,,,,,
7,5.047195060573736,25.88590944331158,4.707661885561882,-2.374962882770477,-0.11255934099626601,-0.07679956293438492,0.014094321802258492,LIN0,0,,,,,,,,,,,,,
8,5.316037025408312,28.760996738944147,5.064425971931865,-2.189338676299298,-0.09942689674161274,-0.0815231841230373,0.015403296425938606,LIN0,0,,,,,,,,,,,,,
9,5.5113950587549025,30.939116821663514,4.803701470118803,-2.625581387399433,-0.11344286208249392,-0.08559890151161421,0.01612339848652482,LIN0,0,,,,,,,,,,,,,
10,5.695099295074302,33.034690829077206,4.231399975669207,-2.1358259682555123,-0.09487161127233563,-0.08928223108127617,0.017505629826337098,LIN0,0,,,,,,,,,,,,,
11,5.880970287528062,35.24161406024264,4.630190975325535,-2.4232677441601065,-0.1021264575418797,-0.09298082359913659,0.019403700868133457,LIN0,0,,,,,,,,,,,,,
12,6.046717821620599,37.280081616056165,4.571479113534179,-2.5330115577206422,-0.10428233000277423,-0.09703116536897342,0.020655036135576666,LIN0,0,,,,,,,,,,,,,
13,6.199459440806309,39.20148929902289,4.5335862103694655,-2.612178527402753,-0.10289063947024872,-0.1011915869391828,0.02121139147784561,LIN0,0,,,,,,,,,,,,,
14,6.3515068938463894,41.16263921793469,4.952025483984445,-2.990875565072637,-0.10848350911582313,-0.10520575258522476,0.023246507812291383,LIN0,0,,,,,,,,,,,,,
15,6.47420054698474,42.836526728559285,4.6379868360616685,-2.964099325437084,-0.1117971439473229,-0.10934749700894764,0.0241800120100379,LIN0,0,,,,,,,,,,,,,
16,6.599017478114826,44.524015924206125,5.139451128631946,-3.4519619329850912,-0.11713411411039369,-0.11291911460017852,0.026403308426961303,LIN0,0,,,,,,,,,,,,,
17,6.693354016548648,45.817636299777895,5.219164422204976,-3.9255440466332123,-0.131055580687098,-0.11680011642078766,0.02717775823548436,LIN0,0,,,,,,,,,,,,,
18,6.822184907971422,47.565672401113964,4.466073711318836,-2.718037609982762,-0.09650931109151356,-0.12069765696855846,0.027996183047071098,LIN0,0,,,,,,,,,,,,,
19,6.919893942811617,48.922736380665626,5.344481196027225,-3.9874172164755692,-0.12757184777247912,-0.12527760516613573,0.02773323133587837,LIN0,0,,,,,,,,,,,,,
20,6.9829823409885226,49.837428527370335,5.2198872301199035,-4.3051950834151995,-0.13569754300214312,-0.12923623899870335,0.02893563751131296,LIN0,0,0.041204232732496196,126.68327703146815,-13.802237464668087,5.81498785490187,-13.413135707539094,5.128652962237222,0.8610000014305115,-0.08999642611531569,-0.08999643224524545,0.0048898742365063455,-0.08999642611531569,0.0,3.6793607262707173
21,7.037592152383402,50.63838138734791,5.129007440040566,-4.328054580062982,-0.1378497361973535,-0.1323683702641157,0.030096649751067163,LIN0,0,,,,,,,,,,,,,
22,7.111234534971038,51.732213225166745,5.0143308509091185,-3.920499013090287,-0.1259089693639335,-0.1365461785097783,0.03164051007479429,LIN0,0,,,,,,,,,,,,,
23,7.176389229025003,52.69867785062935,5.045049323122273,-4.0785846976596645,-0.12891785555109253,-0.13980396043757026,0.03262152317911386,LIN0,0,,,,,,,,,,,,,
24,7.267527258305876,54.04826348249229,5.541733727796128,-4.192148095933188,-0.12254207015222787,-0.1433941425564589,0.03418780863285065,LIN0,0,,,,,,,,,,,,,
25,7.342580957105909,55.22176808552838,4.880173764245787,-3.706669161209703,-0.12002006556975983,-0.1466935671664849,0.03529720455408096,LIN0,0,,,,,,,,,,,,,
26,7.394831495923427,55.97657771223413,5.437336731591432,-4.682527104885669,-0.13416242028184386,-0.1501733835170027,0.03657244257628918,LIN0,0,,,,,,,,,,,,,
27,7.43938661702975,56.67255991991222,4.894677695768687,-4.198695488090613,-0.12858089643922407,-0.153937352358712,0.03728005848824978,LIN0,0,,,,,,,,,,,,,
28,7.49974688572985,57.60077752761339,5.481884378514774,-4.553666770813594,-0.13175749757833627,-0.1584638599453314,0.03818683223798871,LIN0,0,,,,,,,,,,,,,
29,7.565651904685519,58.58047323112553,4.723451310285388,-3.7437556067732545,-0.11442561295004014,-0.16204232056536652,0.03829053919762373,LIN0,0,,,,,,,,,,,,,
30,7.585768806730103,58.92964982218156,5.217505618597512,-4.868329027541474,-0.1430968477308076,-0.1653148162620051,0.039303516410291194,LIN0,0,0.04281548329663502,121.8602528073663,-17.401647255167987,7.0254820292371765,-17.11062729104538,6.342728385709759,0.8457000255584717,,,,,,
31,7.630895646953553,59.63725263329561,5.573234587982951,-4.865631776868893,-0.13574668090280287,-0.16864416639407734,0.04007729068398476,LIN0,0,,,,,,,,,,,,,
32,7.683961070015246,60.48103514824193,5.24009911985198,-4.396316604905682,-0.12617345160601054,-0.1721448758992407,0.041002662107348445,LIN0,0,,,,,,,,,,,,,
