step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
0,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.32,0.0137374,0.31,7.73441,5.13301,0.180493,0.502697,0,14.3952,41.8899,0.343644,19.4198,0.102031,0.32,2.69777
0,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.17,0.0165657,0.15,8.31079,4.95125,0.181946,0.499313,0.00020202,1.19179,22.9539,0.051921,19.4856,0.10134,0.17,1.14115
0,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.22,0.00545455,0.2,9.65024,5.11162,0.177061,0.500747,0,15.0293,37.7457,0.398173,19.4813,0.0900652,0.22,2.77118
0,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.21,0.0286869,0.21,7.10431,4.94503,0.180117,0.499081,0,0.147643,9.38533,0.0157313,19.4481,0.0925456,0.21,0.492002
0,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.32,0.0218182,0.26,6.82241,5.06691,0.180277,0.49902,0,66.1945,36.0858,1.83437,19.4671,0.0931105,0.32,4.53351
10000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.27,0.00282828,0.28,15.5955,6.39568,0.182392,0.501394,0,0.046659,0.0864572,0.539677,19.3029,0.120153,0.27,0.000534088
10000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.12,0.00444444,0.09,15.349,5.7849,0.184572,0.498061,0.00020202,0.00280607,0.03364,0.0834146,19.3437,0.111869,0.12,0.000233087
10000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.13,0.00343434,0.16,16.0578,6.1466,0.181926,0.499545,0,4.01142e-05,0.000656817,0.0610737,19.2276,0.100935,0.13,2.90226e-06
10000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.16,0.00343434,0.16,13.2793,5.5592,0.180575,0.499131,0,0.00889196,0.0671344,0.13245,19.4145,0.0959659,0.16,0.000517715
10000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.27,0.00262626,0.27,15.7068,6.03028,0.181864,0.499566,0,0.00341717,0.0221583,0.154216,19.4275,0.096691,0.27,0.000178701
20000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.26,0.00282828,0.23,15.8295,5.9916,0.187341,0.499909,0,0.000181434,0.00310124,0.0585036,19.0994,0.140851,0.26,1.77237e-05
