step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
0,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,2.3051,1.75876,0.22387,0.46,0,129.37,68.7443,1.8819,4.73517,0.357786,0.4,8.33118
0,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,2.71989,2.46799,0.135275,0.5,0,30.1834,112.735,0.267739,4.92259,0.31131,0.2,2.96594
0,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0.1,0.6,3.54415,2.36136,0.198569,0.5,0,0.99753,7.71692,0.129265,4.77048,0.336068,0.6,0.907803
0,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0.1,0.2,2.26191,2.75429,0.161373,0.45,0,47.3645,77.8697,0.608254,4.90449,0.343714,0.4,4.46944
0,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,3.58993,1.70567,0.176886,0.52,0,5.29554,23.2827,0.227445,4.8654,0.375256,0.2,3.222
10000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,3.53312,1.5124,0.35874,0.47,0,0.0954781,29.4348,0.00324372,4.2065,0.621441,0.4,0.746313
10000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.54897,2.21449,0.236251,0.51,0,0.328787,18.0567,0.0182086,4.48769,0.483476,0.2,0.34714
10000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,3.25452,1.97975,0.211638,0.48,0,1.15146,7.56953,0.152117,4.64888,0.451432,0.4,0.237131
10000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,3.92605,2.30668,0.19169,0.46,0,1.67313,36.5124,0.0458234,4.47587,0.456457,0.2,0.850917
10000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0.1,0,3.69523,2.06243,0.313554,0.51,0,0.152751,15.1066,0.0101116,4.44468,0.490148,0.2,0.380277
20000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,3.71035,1.57782,0.321348,0.46,0,0.950783,12.5501,0.0757591,4.28137,0.615377,0.2,0.543912
20000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.32026,2.54205,0.27874,0.48,0,0.740805,7.9865,0.0927573,4.51161,0.522552,0,0.154632
20000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,3.85156,2.06451,0.210082,0.47,0,0.663376,6.95569,0.0953717,4.66616,0.42664,0.4,0.314763
20000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,3.73939,1.81667,0.295824,0.49,0,3.30169,20.4135,0.16174,4.38943,0.491007,0,1.07707
20000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0.1,0.2,3.79275,2.25726,0.262428,0.52,0,0.436046,6.26468,0.0696039,4.54924,0.462831,0.2,0.243948
30000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,3.47367,1.94041,0.431699,0.44,0,11.9906,39.5093,0.303489,4.16545,0.57548,0,0.74186
30000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.28248,2.26455,0.277159,0.48,0,0.129953,6.5431,0.019861,4.45735,0.453157,0.2,0.237702
30000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.19263,2.10881,0.288412,0.45,0,0.821124,9.48911,0.0865333,4.42178,0.529688,0.2,0.153078
30000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.4,3.83746,2.30313,0.347459,0.47,0,0.439234,28.1073,0.015627,4.31863,0.445582,0.4,0.746524
30000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,3.89566,2.33315,0.256025,0.54,0,0.0869032,4.29165,0.0202494,4.46999,0.486081,0.2,0.369256
40000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.03123,2.05097,0.404953,0.48,0,0.201033,16.5529,0.0121449,4.38182,0.539621,0.2,0.718501
40000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,3.70649,1.72799,0.349906,0.48,0,0.0242358,8.53157,0.00284072,4.24211,0.541516,0.4,0.226653
40000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,3.81896,1.88022,0.297965,0.47,0,1.5914,15.2706,0.104213,4.2379,0.6358,0,0.398515
40000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.02046,2.09213,0.380918,0.45,0,5.92429,48.0001,0.123422,4.39776,0.553945,0,0.865205
40000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.16428,2.48691,0.26092,0.57,0,0.412706,24.9119,0.0165666,4.55806,0.435377,0.4,0.65676
50000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,4.18762,2.21816,0.385821,0.51,0,8.31365,20.1053,0.413505,4.5253,0.525556,0.4,0.395856
50000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.4,3.47746,1.68325,0.41566,0.47,0,0.096322,6.78492,0.0141965,4.13557,0.602591,0.4,0.145055
50000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.2,3.65813,2.34324,0.252492,0.46,0,1.21063,15.8228,0.0765118,4.21681,0.606984,0.2,0.337798
50000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.00209,2.25264,0.292036,0.46,0,0.370466,28.7774,0.0128735,4.57622,0.521754,0.2,0.76144
50000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.27361,2.38303,0.293948,0.54,0,0.649857,15.2725,0.0425508,4.52102,0.421237,0.4,0.523301
60000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.46713,2.50248,0.357167,0.5,0,1.52551,21.3281,0.0715257,4.54492,0.525112,0,0.545928
60000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.79112,1.75265,0.394617,0.49,0,2.85107,10.1712,0.280307,4.2216,0.543074,0.4,0.200642
60000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.29043,2.30571,0.316743,0.47,0,0.76394,18.5259,0.0412363,4.40419,0.554964,0.4,0.367743
60000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,3.80852,1.42265,0.523074,0.45,0,10.098,40.3082,0.250518,4.00303,0.71381,0.2,0.649455
60000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.12992,2.14072,0.331362,0.56,0,7.66256,31.4275,0.243817,4.16729,0.538538,0.2,0.420564
70000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.07188,2.08849,0.38064,0.51,0,0.272774,13.9902,0.0194975,4.32467,0.584128,0.4,0.178339
70000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.57896,1.77275,0.31785,0.5,0,0.070738,3.69437,0.0191475,4.34215,0.493774,0.2,0.0661591
70000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,3.79672,1.88045,0.315927,0.44,0,0.0804601,8.884,0.00905675,4.443,0.544004,0.4,0.343509
70000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.12892,2.09625,0.479316,0.47,0,3.26368,32.0686,0.101772,4.13082,0.658345,0,0.97609
70000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.14397,2.27631,0.302012,0.55,0,1.36197,10.7493,0.126702,4.34221,0.510146,0.2,0.548474
