step,run_id,loss
1000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.885166
1000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.634267
1000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,1.01519
1000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.453732
1000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.609272
2000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.406857
2000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.262436
2000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.629645
2000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.184152
2000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.242247
3000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.289555
3000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.158584
3000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.429752
3000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.11748
3000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.145957
4000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.197082
4000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.123089
4000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.276748
4000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.0938187
4000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.102573
5000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.164062
5000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.0957363
5000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.189664
5000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.0711573
5000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.0841105
6000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.125761
6000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.0834788
6000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.155259
6000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.0700386
6000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.0537776
7000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.1151
7000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.0790433
7000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.135115
7000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s3,0.0560214
7000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s4,0.0520094
8000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s0,0.100509
8000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s1,0.0806419
8000,A_w100_T10000_std_lr0.01_snpS1e-4P0_s2,0.126
