step,run_id,loss
1000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s0,3.23804
1000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s1,1.57802
1000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s2,2.2565
1000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s3,1.7082
1000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s4,2.80874
1000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s0,1.06941
1000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s1,1.18606
1000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s2,2.22551
1000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s3,2.3551
1000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s4,1.25134
2000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s0,0.253255
2000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s1,0.337663
2000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s2,0.323592
2000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s3,0.369643
2000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s4,0.296293
2000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s0,0.293641
2000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s1,0.332844
2000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s2,0.242238
2000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s3,0.232962
2000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s4,0.231405
3000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s0,0.200375
3000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s1,0.222395
3000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s2,0.233243
3000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s3,0.245474
3000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s4,0.221678
3000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s0,0.208558
3000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s1,0.19841
3000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s2,0.183354
3000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s3,0.173239
3000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s4,0.169603
4000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s0,0.15332
4000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s1,0.177623
4000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s2,0.17117
4000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s3,0.189138
4000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s4,0.152531
4000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s0,0.149002
4000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s1,0.153278
4000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s2,0.121789
4000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s3,0.140736
4000,B_w100_K10000_c2.0_lr0.01_leaky0.01_s4,0.165531
5000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s0,0.137502
5000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s1,0.14369
5000,B_w100_K10000_c0.0_lr0.01_leaky0.01_s2,0.124374
