step,run_id,loss
1000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s0,2.97295
1000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s1,1.34424
1000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s2,1.91576
1000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s3,1.46187
1000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s4,2.55042
1000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s0,1.00362
1000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s1,1.09971
1000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s2,2.1376
1000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s3,2.03139
1000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s4,1.19103
2000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s0,0.191046
2000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s1,0.250297
2000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s2,0.256801
2000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s3,0.264883
2000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s4,0.227984
2000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s0,0.226522
2000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s1,0.256866
2000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s2,0.200253
2000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s3,0.193237
2000,B_w100_K10000_c2.0_lr0.01_snpS1e-4P0_s4,0.187084
3000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s0,0.130632
3000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s1,0.137164
3000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s2,0.151963
3000,B_w100_K10000_c0.0_lr0.01_snpS1e-4P0_s3,0.16294
