step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss,w_D_all,w_D_alive,n_alive,w_paircos_all,w_paircos_alive,w_rnorm_mean,w_rnorm_alive
0,B_w100_K10000_c-2.0_lr0.01_s0,0,0,0,66.1537,23.1718,0.50128,0,1.99459,0.985648,0.985648,100,0.00439609,0.00439608,1.38413,1.38413
0,B_w100_K10000_c-2.0_lr0.01_s1,0,0,0,66.0168,24.7144,0.498865,0,11.5656,0.992192,0.992192,100,-0.00221389,-0.00221389,1.4109,1.4109
0,B_w100_K10000_c-2.0_lr0.01_s2,0,0,0,66.5646,24.7905,0.499365,0,1.80578,0.990178,0.990178,100,-0.000179539,-0.00017954,1.43174,1.43175
0,B_w100_K10000_c-2.0_lr0.01_s3,0,0,0,66.5799,23.9532,0.499654,0,3.48662,0.99196,0.99196,100,-0.00197931,-0.00197931,1.40603,1.40603
0,B_w100_K10000_c-2.0_lr0.01_s4,0,0,0,65.8327,23.9929,0.499009,0,1.70539,0.993549,0.993549,100,-0.00358496,-0.00358496,1.40883,1.40883
0,B_w100_K10000_c-2.0_lr0.01_s5,0,0,0,64.6931,23.3154,0.503367,0,2.11773,0.979976,0.979976,100,0.0101255,0.0101255,1.41486,1.41486
0,B_w100_K10000_c-2.0_lr0.01_s6,0,0,0,66.0795,23.729,0.497557,0,4.12194,0.994089,0.994089,100,-0.00412998,-0.00412998,1.39768,1.39768
0,B_w100_K10000_c-2.0_lr0.01_s7,0,0,0,65.9475,23.534,0.497989,0,1.50986,0.993255,0.993255,100,-0.00328765,-0.00328765,1.39344,1.39344
0,B_w100_K10000_c-2.0_lr0.01_s8,0,0,0,68.9982,25.9986,0.500039,0,1.7841,0.992915,0.992915,100,-0.00294447,-0.00294447,1.40734,1.40734
0,B_w100_K10000_c-2.0_lr0.01_s9,0,0,0,66.2054,24.3532,0.499875,0,1.35694,0.994032,0.994032,100,-0.00407264,-0.00407264,1.4203,1.4203
0,B_w100_K10000_c-2.0_lr0.01_s10,0,0,0,66.5586,24.0253,0.500722,0,1.20018,0.988325,0.988325,100,0.00169195,0.00169194,1.41612,1.41612
0,B_w100_K10000_c-2.0_lr0.01_s11,0,0,0,66.1746,23.2941,0.499153,0,7.44189,0.991443,0.991443,100,-0.00145757,-0.00145757,1.39201,1.39201
0,B_w100_K10000_c-2.0_lr0.01_s0_nfix,0,0,0,64.825,23.5361,0.499663,0,4.93297,0.988762,0.988762,100,0.00125039,0.00125039,1.4081,1.4081
