step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
0,A_w100_T10000_centered_lr0.01_s0,0.32,0.0139394,0.31,7.71302,5.12547,0.180499,0.503283,0,10.3036,16.1358,0.638555,19.4182,0.101892,9.8143,8.8981,0.32,1.35203
0,A_w100_T10000_centered_lr0.01_s1,0.17,0.0161616,0.15,8.32139,4.95173,0.181989,0.499111,0.00020202,13.7432,30.7632,0.446742,19.4858,0.101473,9.85485,9.48561,0.17,2.31774
0,A_w100_T10000_centered_lr0.01_s2,0.22,0.00505051,0.2,9.59829,5.10633,0.177025,0.50095,0,0.902644,16.1989,0.0557225,19.4826,0.090065,11.1031,10.2467,0.22,1.00337
0,A_w100_T10000_centered_lr0.01_s3,0.21,0.0282828,0.2,6.99815,4.9574,0.18021,0.498879,0,3.47531,18.2411,0.190521,19.4476,0.0925671,10.803,9.93625,0.21,1.03574
0,A_w100_T10000_centered_lr0.01_s4,0.32,0.0230303,0.26,6.81371,5.08487,0.180232,0.499202,0,9.62514,50.8483,0.189291,19.4672,0.0928604,10.7689,9.63917,0.32,2.11629
0,A_w100_T10000_centered_lr0.01_s5,0.19,0.00444444,0.17,10.15,5.22799,0.181438,0.500061,0,0.586316,14.0826,0.0416341,19.4686,0.106151,9.42052,8.73155,0.19,1.12817
0,A_w100_T10000_centered_lr0.01_s6,0.23,0.020404,0.22,7.45231,4.77843,0.183867,0.498556,0,3.47601,51.8249,0.0670721,19.35,0.0992326,10.0773,9.97921,0.23,2.16678
0,A_w100_T10000_centered_lr0.01_s7,0.32,0.0165657,0.3,7.50419,4.7176,0.17787,0.500515,0,1.77628,54.4642,0.0326137,19.5169,0.088441,11.307,9.99018,0.32,2.64962
0,A_w100_T10000_centered_lr0.01_s8,0.21,0.0270707,0.21,6.66469,4.94401,0.184968,0.502475,0,39.1492,51.466,0.76068,19.4017,0.114352,8.74491,7.37236,0.21,2.99137
0,A_w100_T10000_centered_lr0.01_s9,0.24,0.00666667,0.2,9.80558,5.37027,0.177145,0.498909,0,40.729,49.5504,0.821971,19.5766,0.0931066,10.7404,9.77072,0.24,4.3472
1000,A_w100_T10000_centered_lr0.01_s0,0.34,0.000808081,0.31,14.071,5.7325,0.181405,0.504475,0,0.183225,12.7625,0.0143565,19.3942,0.10253,9.75328,8.71609,0.34,0.322859
1000,A_w100_T10000_centered_lr0.01_s1,0.19,0.00343434,0.17,13.2614,5.22002,0.182646,0.498545,0.00020202,0.661462,26.4423,0.0250153,19.4754,0.101134,9.88787,9.57219,0.19,0.484729
1000,A_w100_T10000_centered_lr0.01_s2,0.2,0.00242424,0.2,12.5555,5.38791,0.178176,0.50096,0,1.55346,5.43227,0.285968,19.4459,0.0903319,11.0703,9.90398,0.2,0.162287
1000,A_w100_T10000_centered_lr0.01_s3,0.28,0.00242424,0.24,12.202,5.47529,0.179591,0.498485,0,2.46837,10.5601,0.233744,19.4367,0.094086,10.6286,9.22427,0.28,0.319752
1000,A_w100_T10000_centered_lr0.01_s4,0.29,0.00181818,0.28,15.3634,6.28047,0.180534,0.500192,0,1.43329,24.7209,0.0579788,19.4648,0.0963393,10.38,8.68416,0.29,0.410776
1000,A_w100_T10000_centered_lr0.01_s5,0.19,0.00343434,0.18,14.2861,5.34571,0.182796,0.500616,0,0.374995,11.7396,0.0319427,19.4284,0.1086,9.20809,8.92747,0.19,0.337813
