arm,seed,task,cap_on,major_frac,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_a1mean_l1,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
cap_par,6,1,0,0.1225,2.8731633271537786,3.7197473399206595,2.5438344478607178,4.932436466217041,-0.19004976905757454,-0.00821874919347465,0.04339626245200634,-0.5159527983860397,0.26385403140301555,0.6125206988642458,0.8049488748509126,0.7045618608894502,0.8549917522638013,0.020833333333333332,0.00375,0.3191666666666667,0.5895833333333333,-0.08827690902214143,0.11974691783340217,-0.0018937482357327961,-0.003922284929431044,3.433205344368197,1.6007415157031515,1.099021078540107,1.2439920654544394,3.43228239296751,1.5972428496471636,3.42635811484807,1.599219517180864,-0.5482813207199797,0.32551325380646934,1.0,0.7883854166666666,0.0,0.0,0,0
cap_par,6,2,1,0.1125,2.91844712134261,3.0854916598129574,4.814157962799072,8.596420288085938,0.24918376713797138,-0.05715152993798256,-0.06499923393130302,-0.14053226964272442,-0.15447015891818366,0.6677529790777286,0.5684439211505056,0.7651670722464725,0.7143922099860593,0.06416666666666668,0.18416666666666665,0.47791666666666666,0.43625,-0.025373520156268536,-0.11006638289734955,-0.003891389905511599,0.011992576787597499,4.44202760882353,2.027008210285302,1.6988049313551858,2.8729495738801543,4.441066766264193,2.003648521765387,4.422144835485734,2.0185413521190085,-0.253711128498738,-0.48011459667856493,1.0,0.8267395833333333,142.82360863685608,0.0,44258,0
cap_par,6,3,1,0.11166666666666666,3.07888812672097,2.956050512707517,6.400208473205566,10.75786018371582,0.37113520850297693,-0.14412621408700943,-0.17472101002931595,-0.11378720454907859,-0.5783788079347979,0.6439297118587592,0.37780428403751154,0.7575500694908744,0.5753140749107908,0.1,0.4379166666666667,0.47250000000000003,0.29208333333333336,-0.014756927196359612,-0.4383878417339186,-0.0011687646793858424,-0.006843658959624008,5.491787882378404,2.3399033433382566,2.189521274941819,4.606710444095945,5.491550273087166,2.290245786453051,5.4798117954994785,2.335778139384538,-0.22880273680823546,-2.57088333573658,0.9666666388511658,0.8711979166666667,223.64689443446696,0.0,54645,0
cap_par,6,4,1,0.11166666666666666,3.2211513725268537,2.644536575149479,8.36168622970581,13.938411235809326,0.6993165639384339,-0.18315470218658447,-0.2541624903678894,0.039137803441342434,-0.6313853236108959,0.6579661204192719,0.3359894348315602,0.7729009527339366,0.550682653734393,0.11791666666666667,0.5304166666666666,0.5129166666666667,0.27375000000000005,0.030177021212187946,-0.4527915529442347,0.0017877638133819457,-0.02803133201756282,6.354595389715586,2.5513438158945045,2.6139713271807694,6.472217049098057,6.354450535677456,2.5052658377430883,6.34548592734449,2.521960631181549,0.09814834556231897,-4.02863012816136,1.0,0.8382708333333333,218.62436785642058,0.0,58156,0
cap_par,6,5,1,0.11,3.2717845277503033,2.4197502345201096,9.625875473022461,14.787808418273926,0.8834355345951674,-0.15574902296066284,-0.3161497861146927,0.06524906602434213,-0.788313810694331,0.6339099701335833,0.26889760940321095,0.7617077675112364,0.4929009003833512,0.14958333333333335,0.6375,0.5083333333333333,0.22166666666666668,0.03537118524397951,-0.6761122112993987,0.004526750646977355,-0.04360739522846416,7.421852146663525,2.814808935212401,3.1148204067742844,8.967981964746883,7.4211708096481805,2.779830341258408,7.412419881817308,2.8044323285888386,0.20136595726634066,-7.65859611308823,1.0,0.82290625,238.01164779253304,0.0,63572,0
cap_par,6,6,1,0.11,3.376872769815643,2.5219058386776636,11.317031860351562,17.97462272644043,1.072032663950619,-0.10444949194788933,-0.3971649408340454,0.07022294924908444,-0.8963109943544068,0.6246822930176632,0.2229158316492914,0.754761024350379,0.45517536882215004,0.175,0.7070833333333333,0.5091666666666667,0.18625,0.01568198254507628,-0.8004956246383231,0.009133908876246634,-0.05528320251207333,8.210071947169777,3.0920628426816195,3.4413094566323332,10.594785337275905,8.209243840231391,3.0023796112804115,8.186639782911316,3.0380707809929945,0.22962715881566206,-10.167894049662475,0.9983333349227905,0.7845208333333333,247.51435987092555,0.0,62192,0
cap_par,6,7,1,0.11916666666666667,3.243770003073041,2.5538600409768732,12.489572525024414,21.187731742858887,1.161906358066723,0.042757987044751644,-0.44568704068660736,0.04713690793503114,-0.9990567189985955,0.6109104063446547,0.18499424528428862,0.7494594494571201,0.4120322266553297,0.1975,0.7520833333333333,0.5075000000000001,0.15625,0.014547175615952125,-0.851047371212667,0.008801559095338828,-0.06094653265317902,9.112601386505965,3.294160898519617,3.755202743617605,12.597527291673448,9.11233263449784,3.168270579362539,9.09338326864956,3.216701578916772,0.1658335762936622,-12.381039240658282,0.9741666913032532,0.7302291666666667,258.361191643402,0.0,69865,0
cap_par,6,8,1,0.12166666666666667,3.273384755621171,2.3598062309579033,13.57214879989624,20.876449584960938,1.4626415056708115,0.12749259918928146,-0.496958464384079,0.06320499642177284,-1.1130015269158169,0.6004711778730875,0.14869758181157403,0.7486652574041284,0.37053199398613157,0.22833333333333333,0.8087500000000001,0.5104166666666667,0.12583333333333332,0.010500825180862757,-1.044175536999812,0.014405821365768616,-0.07613517859543208,9.702611152713882,3.514968220357755,4.18123353974825,15.597576762482749,9.701788330693837,3.343079643264627,9.678815599270465,3.4183184410632057,0.24815808758760494,-17.67460226935645,0.8808333277702332,0.662375,279.7898825891316,0.0,76959,0
cap_par,6,9,1,0.12416666666666666,3.3492930605323687,2.0672916286037077,14.69645643234253,19.646564483642578,1.5749856945649179,0.2763328328728676,-0.5428870916366577,0.06718588887302512,-1.1165497038353762,0.6008753291508673,0.1436860032677059,0.7467578846902365,0.3673845161847276,0.22875,0.8200000000000001,0.51,0.12625,0.008810129949630832,-1.1601391346596586,0.016556166655617495,-0.08657263371511362,10.394211941563182,3.622009343562747,4.389534892392479,19.748005618188685,10.393811391082775,3.440839819031865,10.35402807085142,3.525903202286345,0.304263334920009,-21.930177798755466,0.753333330154419,0.5617291666666666,263.8959399498999,0.0,76349,0
cap_par,6,10,1,0.12083333333333333,3.3125889398316772,2.0590979331402433,15.597530364990234,20.96930980682373,1.718381827478491,0.4435235410928726,-0.5897992551326752,0.09080723377487554,-1.1787218299179125,0.601354180745568,0.11735661669758074,0.7493486672857135,0.3322387599624037,0.2504166666666667,0.85625,0.5229166666666667,0.10541666666666666,0.002621967316516413,-1.2424545722893612,0.02158958949084712,-0.09087955767798121,10.932822411611358,3.7251754424098005,4.70245293370184,22.481520455655005,10.932419322912988,3.48791663738726,10.87910926786305,3.5861569923717247,0.46638592765976983,-25.80526973159363,0.7275000214576721,0.52709375,257.3332827091217,0.0,73210,0
