arm,seed,task,cap_on,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
cap_both,1,1,0,3.203914046327947,3.4604112695201277,3.987321376800537,9.461388111114502,0.019404233433306217,0.0353139266371727,0.08917626299131592,0.25546790408475223,0.7849250021303306,0.6310000006109476,0.8401035187631561,0.7707786411882049,0.00625,0.0,0.5579166666666666,0.59,0.01943625427862121,0.12944488184395675,0.0018374926032511583,0.006409848339098971,3.281489754337981,1.7719743935403163,1.1822304689347782,2.4771019212038325,3.2813513930126073,1.7635828430929097,3.278476226067829,1.7582495691780249,0.08874233958427794,0.7148129288991913,0.9975000023841858,0.82271875,0.0,0.0,0,0
cap_both,1,2,1,2.9945930374775784,3.242175531792714,4.039981842041016,8.084924697875977,-0.04667910002171993,-0.08638264238834381,-0.0332368792520821,-0.3097351830686279,0.7267855386079949,0.43712500093194345,0.8055852998762767,0.6171202382742224,0.0225,0.0,0.5154166666666666,0.3745833333333333,0.0004975101805273323,-0.24762367746281255,8.118237978198189e-05,-0.012866402239596937,3.281363542019901,2.1792005339431526,1.3309558354979676,2.728031737346866,3.2813513800225476,2.1599798627451463,3.275017456086185,2.165926151011371,-0.042644531456753614,-0.8163878571568057,0.9983333349227905,0.88771875,234.52308970224112,117.14359998703003,73642,491455
cap_both,1,3,1,3.081863880236577,3.2381884697258743,4.187625169754028,8.108509540557861,0.013205175288021564,-0.16794895380735397,0.028255917790855532,-0.6514478439759886,0.7349785640424428,0.31862500112814207,0.8124671627953786,0.5004870931406948,0.018333333333333333,0.0,0.5387500000000001,0.24291666666666667,0.0018779004705327118,-0.5824574937782432,-0.0007811569480416401,-0.0294615021480422,3.2814222335041023,2.549615452151091,1.3660445526092775,3.0788417209248973,3.281351360169535,2.4880701260663685,3.2745683245703328,2.5133508389700774,0.04678289589627335,-2.12133622359174,0.971666693687439,0.8916041666666666,248.4897213689983,119.40396857261658,72985,493431
cap_both,1,4,1,2.9910895460305325,3.1911183117045008,4.002543807029724,7.982687711715698,0.044533394277095795,-0.21884901076555252,0.007677551011567556,-0.8610216774973449,0.7296841069282769,0.26575000121568637,0.8064618805679205,0.43854773458107715,0.0225,0.0,0.5237499999999999,0.18416666666666665,-0.003122442698607661,-0.7623877775030993,-0.0025732308870693274,-0.043655835961690176,3.2813770495828005,2.8585713260138235,1.4003503685698613,3.2813522069635903,3.281343454676617,2.7673369921424333,3.2756383047944726,2.831572700332824,0.011424290194797019,-2.8972244437349337,0.9633333086967468,0.8670208333333334,252.38870994979516,121.1162576675415,72499,471105
cap_both,1,5,1,3.042149858408953,3.205181727435561,3.889081358909607,7.901958227157593,0.12082000076770782,-0.2768038362264633,0.027584252890666877,-0.9779668740383789,0.7438909307581101,0.23762500126225253,0.8143828593541713,0.40172242954423365,0.020833333333333332,0.0,0.52875,0.15291666666666667,-0.007246510796471706,-0.906435618982566,-0.0016371881503258064,-0.05250756245339289,3.2813691476902465,3.1859042812377307,1.3626928523159905,3.3250675381583235,3.2813381315577956,3.0749072293033315,3.2709069464740637,3.122028093337166,0.038418927794943256,-3.550787392283479,0.9566666483879089,0.8610729166666666,241.03102967888117,126.61171388626099,75085,450327
cap_both,1,6,1,2.9886222839917984,3.251276858926263,3.950711965560913,7.280329465866089,0.1104842759668827,-0.29870082437992096,0.015116011548943797,-1.251693875626261,0.7344583030151262,0.18250000135352212,0.8099498105330514,0.31740874491200777,0.025,0.0,0.5354166666666667,0.09166666666666667,-0.014002523481038722,-1.059291093285029,-0.0019033359239827227,-0.05965296067879536,3.2813860517840503,3.4428771124904003,1.3960112507402909,3.5047417130934173,3.2813512807768745,3.284031646720001,3.2724793620369343,3.379743817719611,0.020112772326295575,-4.484898529658094,0.9283333420753479,0.8634375,263.43554273061454,134.16175603866577,91942,441997
cap_both,1,7,1,2.8407651035676853,3.311381063107177,4.029427170753479,7.420783758163452,0.08406560868024826,-0.3144187033176422,0.004208580598903777,-1.2682023951193142,0.7274199014501725,0.18625000134731334,0.8073874370111221,0.3238415936490305,0.03166666666666667,0.0,0.5304166666666668,0.09583333333333333,-0.019647686095171677,-1.1217696196877682,-0.0029814698990348895,-0.06366441191290506,3.281088937352626,3.6616155990956534,1.4288993570946182,3.535100189640378,3.2810380703099438,3.5050636853017942,3.27293909506797,3.5997548067118688,0.005468129298339288,-4.680873486188551,0.8650000095367432,0.8436041666666667,229.40492114797235,119.35098218917847,93070,415554
cap_both,1,8,1,2.8284858303308233,3.292492912787786,3.9520736932754517,6.839740753173828,0.039304398000240326,-0.33143502473831177,-0.04045715095821534,-1.359587790268461,0.7178048247425856,0.16862500137649478,0.8009145067810373,0.2923816045286711,0.03166666666666667,0.0,0.5241666666666667,0.07625,-0.01423937335955762,-1.2124463163797516,-0.0037785671576769726,-0.0674538102147926,3.2813785570904574,3.869950217353533,1.4345827023635165,3.637358813543225,3.2813513414039344,3.6697967610936884,3.26997076852014,3.820883209165217,-0.06425429083872587,-5.051914876854668,0.8416666388511658,0.8631458333333333,220.69276933092624,123.42429542541504,87805,416010
cap_both,1,9,1,2.80150003546292,3.2686019772784642,3.8510262966156006,6.787890195846558,0.03387855365872383,-0.3426351547241211,-0.04325410047661524,-1.3714476188284073,0.7134224040724804,0.16825000137711565,0.7979109893132741,0.2916727621066856,0.0325,0.0,0.5141666666666667,0.07583333333333334,-0.013307465889402507,-1.208379400367277,-0.004744353061333692,-0.06842407449847088,3.281392475936271,3.992367596610198,1.381944211614281,3.4620285940632813,3.281351469002664,3.804921001842551,3.267391100296348,3.935080256404655,-0.07239321572085222,-4.814160328318055,0.8725000023841858,0.8677916666666666,205.4339763270691,104.6476058959961,86899,393345
cap_both,1,10,1,2.714181537054775,3.1982417089246717,3.7378605604171753,6.3632872104644775,-0.037347182631492615,-0.34903328120708466,-0.08376688337481669,-1.4524727461999833,0.7077863656561627,0.16225000138704976,0.7919146005725536,0.2801338970517669,0.041249999999999995,0.0,0.5070833333333333,0.06916666666666667,-0.016015177296910273,-1.2809922194002104,-0.005540851914628551,-0.0762380806094734,3.2814056772611764,4.106770443058219,1.4991168037526883,3.563163070841279,3.2813515033232576,3.9159636265150404,3.2706359078681566,4.033813918154585,-0.11302430206599334,-5.3265320478876435,0.8383333086967468,0.8598020833333333,207.17128590587527,111.69270205497742,82576,405148
