arm,seed,task,cap_on,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
ref,4,1,0,3.163353751775217,3.5309848344693116,3.80960214138031,9.300048351287842,0.021797494031488895,0.05364535003900528,0.11674292576234707,0.27457709839612854,0.7816533665235814,0.6351250006041179,0.837381097728087,0.7737162661996442,0.008333333333333333,0.0,0.5587500000000001,0.5945833333333334,0.019899021481531692,0.1518333964900977,0.0014567643709188834,0.006448013928020373,3.3525000080416505,1.7665478699914832,1.2256074078176873,2.391684042296558,3.3521700099089022,1.7568397975130667,3.3433425143399513,1.7641148857906959,0.1416205629434747,0.6379501632942508,0.9983333349227905,0.8240625,0.0,0.0,0,0
ref,4,2,0,3.0968652708890825,3.520744617344568,4.789851427078247,8.469775199890137,0.02780437096953392,0.019445440731942654,-0.5344280496725565,-0.30314799789323843,0.4927957572768628,0.4318750009406358,0.633397092852614,0.6124226313731214,0.15708333333333332,0.0,0.2975,0.36875,-0.18176690394977374,-0.15965591861944795,-0.002094642570032842,0.00788902057451196,4.485297400909964,2.0908960729448944,1.8838467651615303,2.5757568209828303,4.481108698920911,2.089266016422934,4.484548775510538,2.086015963683791,-1.0526068917801603,-0.8668215190128346,0.9958333373069763,0.7954270833333333,0.0,0.0,0,0
ref,4,3,0,3.1737017073942617,3.8929871607796285,5.949991703033447,8.689513206481934,0.021097762510180473,-0.0036941347643733025,-0.869753901863191,-0.5173715717854417,0.328200141711816,0.34937500107722974,0.506389505467391,0.5331353756486311,0.365,0.0,0.18416666666666667,0.27708333333333335,-0.396619815049017,-0.22129814537101797,-0.007813756996878213,0.016592885561403817,5.450879735148316,2.3709195085418706,2.536894321885473,2.5491568795300603,5.429847825748951,2.348173427960834,5.431328102732925,2.346633198823472,-2.2370678517082707,-1.3947534478269517,0.9908333420753479,0.81659375,0.0,0.0,0,0
ref,4,4,0,3.192519804402526,3.757289674781871,6.6561524868011475,8.556803703308105,0.021101348102092743,-0.023276200518012047,-1.0437649854176492,-0.8486390244104524,0.24524131201761423,0.27250000120451057,0.4298652724580122,0.44677279947715154,0.5083333333333333,0.0,0.13666666666666666,0.19166666666666668,-0.5292814993783772,-0.31498741535111663,-0.008565905761793611,0.017803202559880445,6.2921497539217395,2.598197508397364,2.998644884651621,2.7679054253792303,6.25007500598372,2.5656243965091363,6.278703275100648,2.562729110271846,-3.1692776090993235,-2.408301173308088,0.9975000023841858,0.7726354166666667,0.0,0.0,0,0
ref,4,5,0,3.128106431258117,3.908310216631736,6.914363145828247,9.385199546813965,0.012403526809066534,-0.043944936245679855,-1.0848752955509688,-0.9541948065536914,0.22413999331168005,0.23612500126473607,0.4196423103734789,0.3996447504338595,0.5575,0.0,0.13333333333333333,0.15125,-0.5857546940434918,-0.3486160050158521,-0.008179458865904089,0.028339716624177527,7.122246484098314,2.7922632529234317,3.4529044249419787,3.0227417530436,7.059516078844224,2.750169798785175,7.109765599653512,2.7562753966858704,-3.532202105314161,-2.813883887498329,0.9808333516120911,0.7949791666666667,0.0,0.0,0,0
ref,4,6,0,3.0970412881184735,4.027031251417192,7.802526473999023,10.586328506469727,0.01276274025440216,-0.07136823982000351,-1.1055175993820798,-1.3048695631880203,0.19595296455249533,0.18625000134731332,0.395070849917616,0.3238440987102631,0.62,0.0,0.12125,0.09583333333333334,-0.7449099931745784,-0.5205679872802722,-0.00586302901827892,0.030765719325863757,7.96775876191625,3.001046872080316,3.9844850478204954,3.378316203546131,7.9184650586224645,2.9701578222384635,7.946668797197932,2.9725341039156836,-4.343601681589692,-4.556646265850868,0.9725000262260437,0.7838229166666667,0.0,0.0,0,0
ref,4,7,0,3.2001890937646653,4.10744348525622,8.269171237945557,10.812374591827393,-0.018219533376395702,-0.0812235064804554,-1.1979972332200628,-1.2903947278842962,0.17151430294432043,0.18250000135352215,0.3742340642192069,0.3174114053885027,0.6904166666666667,0.0,0.11375,0.09166666666666666,-0.9093844783954387,-0.5339528208800082,-0.009145233923270414,0.02512950383432326,8.79209386135367,3.202714562374508,4.360373056047914,3.5966558102576633,8.748814394939131,3.155522387937736,8.774280881831439,3.18113874431597,-5.322184710299286,-4.9432083452718025,0.9750000238418579,0.7391145833333334,0.0,0.0,0,0
ref,4,8,0,3.1682078876506816,3.9502418611568593,8.779174327850342,10.627925395965576,-0.007089784136041999,-0.08723441883921623,-1.2108760585816158,-1.3481353854626368,0.15926295009727254,0.1750000013659398,0.35500153058504613,0.3041351027250615,0.7125,0.0,0.10416666666666667,0.08333333333333334,-0.9922704777656419,-0.5294365735723204,-0.010090623473694663,0.032161377154989165,9.760027251187458,3.332729066934456,4.7660947693624545,3.809407670403874,9.666881433036135,3.2800643354987775,9.72856646296173,3.2997962726465495,-5.985703856898471,-5.171542445096808,0.9458333253860474,0.72728125,0.0,0.0,0,0
ref,4,9,0,3.23379687726444,4.158085691579676,9.02558183670044,10.450670719146729,-0.010070893447846174,-0.09661592915654182,-1.3276369262339016,-1.7435126044778242,0.12253370180479273,0.1420000014205774,0.3114310332337489,0.23703984244876714,0.7720833333333332,0.0,0.07874999999999999,0.04666666666666666,-1.2432121977547173,-0.5913237210520887,-0.01075038656841682,0.03247066844953224,10.61926676070329,3.4729911480785356,5.322551301325435,3.8402000480702108,10.541688986161148,3.423945508558326,10.6112796500698,3.446675818927532,-7.3416015197522935,-6.580059662937808,0.8733333349227905,0.6998020833333334,0.0,0.0,0,0
ref,4,10,0,3.0747919707671265,4.364072373735292,8.709949970245361,10.386163234710693,-0.03069611545652151,-0.11737319454550743,-1.4069107659879374,-1.6259537954248588,0.10593669857357287,0.14575000141436856,0.28777099005513795,0.24558850855897077,0.8083333333333333,0.0,0.06666666666666667,0.05083333333333333,-1.412798545242231,-0.6390390242048776,-0.010063515569661794,0.029172102499287575,11.256467702564233,3.5478378369853116,5.628817515459989,3.748453083385054,11.121913046297177,3.494769193229788,11.195307114700022,3.5248301990117206,-8.38691547622749,-6.403779525555049,0.8316666483879089,0.6604791666666666,0.0,0.0,0,0
ref,4,11,0,3.131707430247098,4.487168326807696,9.205245971679688,11.51729154586792,-0.06804843619465828,-0.1139293983578682,-1.4408190264988332,-1.67331223957268,0.08445585401663401,0.14612500141374768,0.2617873717651138,0.2464483716705898,0.8400000000000001,0.0,0.05583333333333333,0.051250000000000004,-1.4877813768395267,-0.5906554055337628,-0.013735108563862144,0.03701735199894756,12.059774983379544,3.6147046078726666,5.991414513102084,3.861430678309879,11.940961773587167,3.5812446704049847,12.050484043273979,3.5985400180295137,-8.97977210458989,-6.379704706460082,0.7225000262260437,0.6073541666666666,0.0,0.0,0,0
ref,4,12,0,3.1128523362339457,4.745647731684641,9.636112689971924,11.411972045898438,-0.0962398499250412,-0.12900155037641525,-1.5139330750745739,-1.7940155836403269,0.07438272605690038,0.13825000142678617,0.2427132400925025,0.22819231485201724,0.865,0.0,0.050833333333333335,0.042499999999999996,-1.672342804427352,-0.6551429180132867,-0.013612707309515809,0.039041659628273925,12.921152264203858,3.718296210754338,6.295555139809033,3.8935023394728385,12.76692525017583,3.660042880872518,12.846614142964086,3.6847173612528437,-10.030772644843285,-6.893747116910914,0.6208333373069763,0.5781875,0.0,0.0,0,0
ref,4,13,0,3.064372191803249,4.302758235944906,10.193586349487305,10.04850721359253,-0.12095983326435089,-0.1463509052991867,-1.5840347460937125,-1.7490548495016243,0.06832375375605923,0.13825000142678617,0.2315321438831383,0.22819947477011687,0.8766666666666667,0.0,0.04416666666666667,0.0425,-1.8119694420566015,-0.653971813453309,-0.01468116318171399,0.03542549879755825,13.71767743419673,3.817183371726335,6.813918416456382,3.9532653146087604,13.55700520053407,3.7786320484578506,13.683351497391545,3.783975031631879,-10.844230501604422,-7.26761723977824,0.5883333086967468,0.5803125,0.0,0.0,0,0
ref,4,14,0,3.1139428622634346,4.284093318023665,10.242138385772705,10.200588703155518,-0.1257622130215168,-0.14267273247241974,-1.6306971399921175,-1.7195224701507985,0.05936410159340171,0.14087500142244003,0.22071941465672704,0.23443917400551867,0.8983333333333333,0.0,0.041666666666666664,0.04541666666666666,-1.981499138395706,-0.6880771903545932,-0.017771268483320272,0.03903454714280087,14.385241664667152,3.8535315429023322,7.175296038660856,3.9362891117357868,14.24833850714689,3.805759905486269,14.350980335184584,3.826690216502673,-11.695076673763493,-7.007114538382739,0.5883333086967468,0.5511354166666667,0.0,0.0,0,0
ref,4,15,0,2.999402820758045,4.396247254956774,10.387841701507568,10.636772155761719,-0.14577680081129074,-0.15567421913146973,-1.572171726285882,-1.8662733745803801,0.06157502164990611,0.1326250014360994,0.22708127183805515,0.21421151518785736,0.895,0.0,0.04416666666666667,0.036250000000000004,-1.9984753755402633,-0.6957896305408421,-0.009347982607277098,0.04203620058484375,15.123935185147893,3.9213824178029375,7.725439541186976,3.9894555398453004,14.910218396637365,3.848168912365715,15.101588894481505,3.883874927094003,-11.929672522759065,-7.43437138560228,0.5299999713897705,0.5384583333333334,0.0,0.0,0,0
ref,4,16,0,3.006332672718031,4.6206460956190964,10.58197021484375,10.935950756072998,-0.15347376465797424,-0.1580178588628769,-1.6872265001797433,-1.8390739680732924,0.04888639259389366,0.1363750014298906,0.20311995530131793,0.22363284576043257,0.915,0.0,0.035833333333333335,0.04041666666666667,-2.2829245601674257,-0.6745952530441226,-0.013541997143067643,0.04172824016306549,15.658922505246672,3.9383725990165885,8.054415055125116,3.8579977460821557,15.368771394521431,3.891150287833645,15.576173923872645,3.917980114065659,-13.89227686441814,-7.1334819900523865,0.5616666674613953,0.52359375,0.0,0.0,0,0
ref,4,17,0,3.08828541827035,4.8199796944238145,10.467004776000977,11.853247165679932,-0.21094897389411926,-0.16464552283287048,-1.7505502118275513,-1.9644176101409627,0.0410781950553014,0.13075000143920382,0.18448049488815416,0.2093442148420652,0.9266666666666666,0.0,0.028749999999999998,0.034166666666666665,-2.468020471912288,-0.6574993933750113,-0.010908074584361258,0.04085549563751556,16.164131196949867,3.941926564141987,8.424705940101783,3.7451159826578477,15.991255855264393,3.8886413959167045,16.115050260076416,3.9242404635406176,-14.698724548903604,-6.9534945623576645,0.4891666769981384,0.48130208333333335,0.0,0.0,0,0
ref,4,18,0,3.106377732318352,4.8122155626256635,10.692405700683594,11.65807056427002,-0.21352936327457428,-0.1690986379981041,-1.757052088940712,-1.9886612478508008,0.03992212412125124,0.1326250014360994,0.18408114610040044,0.21421151518785736,0.92875,0.0,0.027916666666666666,0.036250000000000004,-2.543825793113445,-0.7000927161819259,-0.007035675428002777,0.042357241862919184,16.73311423422006,3.9660454169182,8.581238661440398,3.831564083858723,16.533440153301665,3.9005674148371545,16.64349278674827,3.9429934892340075,-15.369695138881603,-7.324303277417396,0.47083333134651184,0.4524270833333333,0.0,0.0,0,0
