condition,seed,output_change_L_rms,position_change_L_rms,output_change_K_rms,position_change_K_rms,output_change_U_rms,position_change_U_rms,c_change
all,0,0.5046271462706778,0.003950983160940685,0.6273993021503741,0.10100356020732765,0.20748509209750507,0.002010154427373652,-0.004001287099401285
all,1,0.30981754784522164,0.0009092383109809502,0.5856863378073978,0.06441066748434307,0.07456128731265543,0.0003500511211237579,-0.003556533221859559
all,2,0.3839599217090811,0.009627449164692086,0.37272252319006693,0.08048686853054111,0.07830432921634264,0.004867942270609456,0.0010359556790905944
all,3,0.2902270062343557,0.0013563517578433944,0.26269739094080613,0.14644046795698912,0.14666713935589884,0.0005904509880797887,-0.0003052923851933481
all,4,0.034942081032580154,0.0013572229641309308,0.1545627496830806,0.072634814189141,0.08542115807044276,0.0005359694945844879,0.00010111666627671267
all,5,0.498064330198012,0.006770177974622184,0.6330413814534237,0.2160546910801591,0.28804086874499063,0.005299786209498123,-0.001988298263390975
all,6,0.4908103056273873,0.0052386992569733205,0.2674853620988007,0.07927082522090226,0.1071259488523561,0.0023755945755164335,0.0041099048891961865
all,7,0.23604832326706476,0.0036551737754094127,0.3262143392409423,0.07983267481988639,0.10124730690579094,0.0023420028562161303,0.000889072458972906
all,8,0.5409431068757017,0.006694696905187226,0.8407338215355353,0.09967638775527897,0.22311428755187224,0.002510968560422748,-0.0006326284521076565
all,9,0.09686685121382851,0.0028584477733845258,0.21465457626078183,0.07325895519418811,0.09677067274441592,0.0017170802405861224,0.0002825169317364207
K,0,0.0,0.0,0.10101714974286444,0.1124926083269058,0.0,0.0,0.0
K,1,0.0,0.0,0.25529112886483324,0.05330467332518004,0.0,0.0,0.0
K,2,0.0,0.0,0.06694825018951372,0.06321106387283464,0.0,0.0,0.0
K,3,0.0,0.0,0.3099422892569881,0.12371468592714406,0.0,0.0,0.0
K,4,0.0,0.0,0.08399531220007359,0.07793591547904645,0.0,0.0,0.0
K,5,0.0,0.0,0.14249246274622593,0.17110464447982926,0.0,0.0,0.0
K,6,0.0,0.0,0.6539321239970816,0.08857269370153534,0.0,0.0,0.0
K,7,0.0,0.0,0.1071594281125823,0.07865019854433913,0.0,0.0,0.0
K,8,0.0,0.0,0.27867970144418186,0.10177727117806751,0.0,0.0,0.0
K,9,0.0,0.0,0.08614076396713162,0.10463192416397865,0.0,0.0,0.0
Kc,0,0.0,0.0,0.11373862647607216,0.11224585079028065,0.0,0.0,-0.028808448670750053
Kc,1,0.0,0.0,0.2653567381050349,0.05340981264895209,0.0,0.0,-0.010873418999987283
Kc,2,0.0,0.0,0.06808984887619153,0.06319869242528124,0.0,0.0,-0.0016522462884874939
Kc,3,0.0,0.0,0.3037492022540014,0.1237057288002356,0.0,0.0,0.006670056484879422
Kc,4,0.0,0.0,0.0835115192275237,0.07793785319812918,0.0,0.0,0.0008145382509736621
Kc,5,0.0,0.0,0.13772033648053097,0.17119144183545587,0.0,0.0,-0.010904075938827473
Kc,6,0.0,0.0,0.6263836735619528,0.08789004102530101,0.0,0.0,0.028353723768871297
Kc,7,0.0,0.0,0.10743549497370991,0.07865603559258566,0.0,0.0,0.006335174260901133
Kc,8,0.0,0.0,0.2880372290931337,0.1019070679793863,0.0,0.0,-0.010916857567937331
Kc,9,0.0,0.0,0.08515403403224857,0.10455812274272665,0.0,0.0,0.00478694658222345
KU,0,0.0,0.0,0.2721267163194234,0.10394335455445945,0.242124563112197,0.004950626971827353,0.0
KU,1,0.0,0.0,0.29623682552455843,0.05929996002022622,0.09051836592071036,0.00282612612281099,0.0
KU,2,0.0,0.0,0.10934354013910683,0.07770963701618398,0.09522437349498258,0.010364089740321674,0.0
KU,3,0.0,0.0,0.33211273713103495,0.143808329088826,0.1705947685671802,0.002682633762557801,0.0
KU,4,0.0,0.0,0.1377011327301907,0.07312416388167663,0.09658530734822478,0.0008528411035248464,0.0
KU,5,0.0,0.0,0.348779689375656,0.2128455529208339,0.34912294412533706,0.01398399784641345,0.0
KU,6,0.0,0.0,0.6094558431362906,0.08926284533976116,0.14608559473226504,0.007104077587027643,0.0
KU,7,0.0,0.0,0.18525565014681306,0.07909186802257456,0.11503662108315962,0.007326311853765835,0.0
KU,8,0.0,0.0,0.3738328148113439,0.09607530455475838,0.2464166452741583,0.008651654457158044,0.0
KU,9,0.0,0.0,0.15759168253016406,0.07769787210508007,0.11038617690980278,0.00010717400901208669,0.0
KUc,0,0.0,0.0,0.2758976486907776,0.1038706227885947,0.24175768436352535,0.004778835790462881,-0.012858049183131548
KUc,1,0.0,0.0,0.3033744926798171,0.05936804664081029,0.09031244013526347,0.00275867746928679,-0.008095125912141121
KUc,2,0.0,0.0,0.10898078063594793,0.0776791633595154,0.09525964855775082,0.010274519457477123,0.006605691660021784
KUc,3,0.0,0.0,0.32924612266502473,0.14377908734539313,0.17052346390835554,0.0026476710862095337,0.003711246308025537
KUc,4,0.0,0.0,0.1377829848755248,0.07312400128602119,0.09658472373894791,0.0008509298671025375,-0.00020892460517074607
KUc,5,0.0,0.0,0.35047228406639475,0.21283746882562657,0.3487641296385601,0.013888490870684073,-0.007352459327963468
KUc,6,0.0,0.0,0.5941442386991295,0.08880732294181005,0.1451672845943544,0.006736770208848558,0.017793044607593123
KUc,7,0.0,0.0,0.18616585078329217,0.07909774770822252,0.11490900773787852,0.007216216258428825,0.005543410891055506
KUc,8,0.0,0.0,0.38053243975720175,0.09614709631416359,0.24628962785558128,0.008552436966769921,-0.009146104794873319
KUc,9,0.0,0.0,0.15747037997242733,0.07821377350142317,0.11033227044946786,0.000106583235523687,0.0021097365789291
