task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
1,1.0,2.3048040866851807,0.100341796875,1.1423046624917501,1.3116541872446046,0.9754122392023377,0.003278605673764061,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
2,1.0,0.32942864298820496,0.91015625,1.3869376578348978,1.9384142606306636,0.28197308966036494,0.27793395150475075,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
3,1.0,0.25946059823036194,0.92236328125,1.5620105893364242,2.4650262117767943,0.20560531293330428,0.2464132485485663,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
4,1.0,0.19313669204711914,0.9443359375,1.7159365769318975,2.978290760131553,0.19284083566069346,0.226379322467461,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
5,1.0,0.1665295958518982,0.94921875,1.8433000614061497,3.439714264474532,0.17568057242762744,0.19217054215532722,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
6,1.0,0.16275227069854736,0.952880859375,1.9549659733857327,3.8714524218284994,0.18483776383482084,0.1489366633670807,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
7,1.0,0.12047259509563446,0.96533203125,2.062666348046682,4.310196886575904,0.1765318744846741,0.15485327054517561,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
8,1.0,0.12229476869106293,0.9638671875,2.163834141929978,4.746413202457546,0.18971850824114977,0.130319957915812,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
9,1.0,0.10852579027414322,0.968505859375,2.2578254278093457,5.169714452316632,0.16469229898756993,0.14062328593637294,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
10,1.0,0.09638811647891998,0.97119140625,2.3545318841604486,5.620343075163856,0.17617432488799006,0.1420559036687075,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
11,1.0,0.08518657088279724,0.97607421875,2.446463402374937,6.067096811049448,0.17008138819296406,0.13854818368676272,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
12,1.0,0.07854282110929489,0.97705078125,2.543353029488178,6.552723025109483,0.19093211782088182,0.13697368972260734,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
13,1.0,0.08945351094007492,0.971923828125,2.622645816112184,6.966856601850805,0.17165193738499362,0.1123993220203798,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
14,1.0,0.07967279106378555,0.976318359375,2.71311586349712,7.455347239132224,0.18597751815384675,0.1308950982274364,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
15,1.0,0.07218663394451141,0.97607421875,2.790290880883499,7.887365387693283,0.19675092473072875,0.09580053400346955,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
16,1.0,0.07186701893806458,0.97705078125,2.8546376204889854,8.253159372876542,0.1625540389373503,0.088169497521358,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
17,1.0,0.06339649856090546,0.980712890625,2.9247837482688004,8.660225231386494,0.1758349819083654,0.09790782739965537,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
18,1.0,0.06935960799455643,0.9794921875,2.998853274262456,9.103912948172422,0.18270856836671945,0.10178995301911176,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
19,1.0,0.059282369911670685,0.981201171875,3.0578693550885134,9.467141209756782,0.15156617241347944,0.08684748265836757,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
20,1.0,0.0647200345993042,0.982666015625,3.128385179808995,9.907277108489144,0.18368146335083274,0.09624910836732851,K000_LR,0.0,leaky,0.1,1,4.148192215687131e-05,0.2540684847915798,8.564727944800648e-06,0.24964504916012736,76.36098899189493,0.03216070347893342,0.30970765020780133,1.0,1.7763568394002505e-15,0.014732170698142446,12.46805152576686,2.6032118179536234,-1.3145150833936208,0.29412109375,0.9711999893188477
21,1.0,0.061107270419597626,0.982421875,3.183594415138007,10.260231259118786,0.16810209560276193,0.07026745562405441,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
22,1.0,0.05788218230009079,0.9833984375,3.263849164089349,10.780059401860651,0.17746687130822558,0.12524274714856853,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
23,1.0,0.050787102431058884,0.98486328125,3.3210158813921837,11.156213527539988,0.17036967202768438,0.07525834528604017,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
24,1.0,0.07187949866056442,0.97998046875,3.382778189114165,11.576234881812427,0.18639367070027718,0.079090268975587,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
25,1.0,0.051785971969366074,0.985107421875,3.4494717365038423,12.033065554682702,0.17146647075616406,0.10121410119806093,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
26,1.0,0.04919230192899704,0.985107421875,3.508539088598302,12.440487907124702,0.18897684698365716,0.07348563839687436,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
27,1.0,0.0459609292447567,0.98486328125,3.5688906692246984,12.869475247579471,0.16757279640545505,0.09242480039848644,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
28,1.0,0.04853060469031334,0.985595703125,3.640797718955447,13.39272487618468,0.20719710393213128,0.09512271662319975,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
29,1.0,0.06010930612683296,0.98046875,3.685135854023943,13.722338150070618,0.15317062220133057,0.06086850595136109,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
30,1.0,0.04251005873084068,0.98681640625,3.740149013188236,14.135138273082433,0.1899245516668684,0.06762834346218674,K000_LR,0.0,leaky,0.1,1,1.2024568642203651e-05,0.22481257256316461,3.0049371645283977e-06,0.23212729010402194,76.68091987788017,0.025228340674677902,0.279384940216929,1.0,1.7763568394002505e-15,0.014247820940764289,13.330077101367639,3.011137373587714,-1.6879111723873745,0.2740234375,0.9733999967575073
31,1.0,0.044188860803842545,0.987060546875,3.7880486544032466,14.495547972025514,0.17254633754178705,0.06099459467070305,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
32,1.0,0.04303475841879845,0.985595703125,3.8429585724385102,14.915988175725033,0.17734725111669342,0.07449948032022224,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
33,1.0,0.05476948618888855,0.985595703125,3.8854686410872388,15.245072202320863,0.1752751221767882,0.046998220499892725,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
34,1.0,0.039191171526908875,0.98876953125,3.9500526357653496,15.75191443767102,0.19756689509641054,0.08922207106673398,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
35,1.0,0.04974016919732094,0.9853515625,4.004682424273471,16.18390083557555,0.1631145179451256,0.0841788006819964,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
36,1.0,0.038700733333826065,0.9873046875,4.05667521664663,16.603053100546017,0.17650034716115903,0.07178909895835915,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
37,1.0,0.03237077593803406,0.989013671875,4.1143645104183575,17.07279880918372,0.1786601472686825,0.08560822980771263,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
38,1.0,0.03786664083600044,0.98828125,4.1663562891332875,17.507325016654217,0.16736678746824205,0.07738654317154596,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
39,1.0,0.029920635744929314,0.98974609375,4.215782874545926,17.919526487382768,0.17490450407960678,0.06882571509608311,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
40,1.0,0.03045559860765934,0.9892578125,4.263733655313724,18.331840849179706,0.15862302529810957,0.0730479984983408,K000_LR,0.0,leaky,0.1,1,3.243944294557977e-06,0.21717846025155454,8.896463361360682e-07,0.2205552289332608,76.12404986347022,0.019142240473254926,0.2696878902198482,1.0,1.7763568394002505e-15,0.012456944469463415,12.733702529296277,3.321602767609903,-1.965852146349235,0.2642578125,0.9768999814987183
41,1.0,0.03052390180528164,0.990478515625,4.316621187230894,18.78733656623062,0.17923384398796469,0.07527538116685206,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
42,1.0,0.028085477650165558,0.990234375,4.368391001929991,19.236737977336325,0.16941685387257566,0.08045984687138867,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
43,1.0,0.02860424295067787,0.99072265625,4.428059095407941,19.762439081832735,0.17722849817598285,0.09454538823052885,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
44,1.0,0.029978075996041298,0.98974609375,4.472621859199888,20.162746576669374,0.17886114377693588,0.05762303386283991,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
45,1.0,0.027041791006922722,0.991943359375,4.510227664585632,20.499129674055347,0.15409002828565568,0.052498268541866636,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
46,1.0,0.03362354263663292,0.989990234375,4.553490185432682,20.893317613899875,0.18496804623577023,0.05326031817983666,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
47,1.0,0.026342827826738358,0.991943359375,4.601923867966202,21.335595620040664,0.16019394001122658,0.0774049457521895,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
48,1.0,0.02955532819032669,0.99169921875,4.641360380164509,21.699331100552428,0.16340365560429326,0.05393154104280333,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
49,1.0,0.03051558881998062,0.9892578125,4.679232135882553,22.054718852812325,0.15676905196019683,0.052261496439614544,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
50,1.0,0.02843640185892582,0.990966796875,4.73256323679407,22.555406616797757,0.1934339427854158,0.0754094929155861,K000_LR,0.0,leaky,0.1,1,1.8160056390858714e-06,0.202214390955211,5.682613899306651e-07,0.21264102152262337,74.32072436648345,0.019515547480751412,0.25915132022302034,1.0,1.4210854715202004e-14,0.014466299843040757,13.371348920191936,3.564284912440505,-2.1620933519804946,0.26083984375,0.9746999740600586
51,1.0,0.03413499519228935,0.988525390625,4.767374789201062,22.886941790482798,0.15152849155317294,0.049421007411315096,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
52,1.0,0.035549864172935486,0.9892578125,4.810417254129544,23.302526402408883,0.18620553206706614,0.054817829377904796,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
53,1.0,0.05078554153442383,0.982177734375,4.854606515249619,23.731641622365586,0.1806024376015667,0.05932060092074191,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
54,1.0,0.02833249419927597,0.991943359375,4.89573408389948,24.134889349334767,0.15251461901716484,0.06576277641268471,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
55,1.0,0.023372884839773178,0.992919921875,4.94664510660505,24.642260176273222,0.18485045213547838,0.07557689738436302,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
56,1.0,0.03332413733005524,0.988525390625,4.9779298109838885,24.953960623886424,0.1570211013350551,0.039125113170982356,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
57,1.0,0.025746537372469902,0.991455078125,5.019950600449835,25.375295709437648,0.1522761558626686,0.07037637923378894,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
58,1.0,0.036577582359313965,0.98779296875,5.054677096259903,25.725175937341945,0.14661761193186318,0.054563014343634614,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
59,1.0,0.0292758010327816,0.990234375,5.094445088383335,26.133752063657194,0.1625566887295635,0.05898061651398976,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
60,1.0,0.025329269468784332,0.99169921875,5.138918406987545,26.58742423047888,0.16210768361094008,0.07062714897358034,K000_LR,0.0,leaky,0.1,1,4.165379350088631e-07,0.19706515761947122,1.3255461592053025e-07,0.21100038022507428,75.57299277045142,0.01375574344402977,0.2553437802241666,1.0,2.842170943040401e-14,0.011851732322520413,13.677973750968578,3.8072856429592736,-2.4079373165299534,0.250078125,0.9763000011444092
61,1.0,0.023815089836716652,0.992431640625,5.174008527790514,26.95092884709676,0.1680231025626638,0.04571889510866521,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
62,1.0,0.022557750344276428,0.991455078125,5.220946789900776,27.44208966065966,0.19410054248982975,0.06558389190689981,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
63,1.0,0.027828363701701164,0.9921875,5.2624280465819195,27.881174874219646,0.1749550963562177,0.05994514859505047,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
64,1.0,0.02589847706258297,0.991943359375,5.296275384459302,28.240979528658126,0.15592820530809914,0.04841696380369405,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
65,1.0,0.01916627399623394,0.994873046875,5.331797824078697,28.619889975856175,0.17847098173641865,0.04301950489545371,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
66,1.0,0.02432326413691044,0.991943359375,5.362175451363998,28.94271685192229,0.1640750912316605,0.03762108439842633,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
67,1.0,0.029721861705183983,0.993408203125,5.393070721371662,29.27923165039036,0.1392578251984426,0.04811431763018144,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
68,1.0,0.012410412542521954,0.9970703125,5.428858627206646,29.666994338389262,0.1813443882174296,0.04538448915980457,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
69,1.0,0.031032634899020195,0.99169921875,5.465296621870453,30.066796809139788,0.159180479865821,0.05536084251912006,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
70,1.0,0.012615581974387169,0.995849609375,5.489401457684385,30.330288405161554,0.1019611260809693,0.04530133876812034,K000_LR,0.0,leaky,0.1,1,1.0695589584973669e-07,0.202370139093511,3.4793374920053824e-08,0.20518867664832896,74.03010273353145,0.010982276523744441,0.2602274502226963,1.0,1.4210854715202004e-14,0.007451985020024096,13.682411573156871,3.9693961112522134,-2.568392213201911,0.245703125,0.978600025177002
71,1.0,0.011628314852714539,0.995849609375,5.523595020885478,30.706526857397385,0.15294423876233026,0.052487720720257786,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
72,1.0,0.010798633098602295,0.996826171875,5.572347274324826,31.25268373409018,0.23532960230116462,0.05709186236806886,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
73,1.0,0.03545987233519554,0.9912109375,5.621428310883341,31.800901680436827,0.20339121880575134,0.06896457528800036,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
74,1.0,0.017548270523548126,0.995849609375,5.654012672278153,32.17158256803788,0.1781331854859343,0.03911618683902802,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
75,1.0,0.045027781277894974,0.984619140625,5.686297289086285,32.54053942593931,0.14366176672057052,0.0528275597287539,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
76,1.0,0.01981615275144577,0.993896484375,5.725600865774588,32.98678790015906,0.19316221976843168,0.050798008057146876,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
77,1.0,0.018537204712629318,0.9931640625,5.75773975423883,33.35399466850933,0.16876246985351842,0.03987546238883468,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
78,1.0,0.014074458740651608,0.995849609375,5.789374823535181,33.719259892100055,0.1490205303120842,0.049256744693858344,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
79,1.0,0.016613634303212166,0.994873046875,5.814656980342554,34.01951746824122,0.13078879679515445,0.038549727961415335,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
80,1.0,0.018713654950261116,0.99462890625,5.837714645076587,34.28409005811885,0.15383964943120718,0.025581593479880732,K000_LR,0.0,leaky,0.1,1,1.2387778121259176e-07,0.18347510639783796,4.2375045137504574e-08,0.20422124046189474,78.01986350958842,0.012135291558764548,0.24592888022700068,1.0,3.552713678800501e-15,0.010371113090272053,14.833475258842412,4.268713348829708,-2.922817627683713,0.236015625,0.9740999937057495
81,1.0,0.024985572323203087,0.99169921875,5.873569019664631,34.710654463723856,0.14719148470365329,0.06220278257145004,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
82,1.0,0.010848227888345718,0.99658203125,5.905032013426692,35.08272146263539,0.13336172910694363,0.05638358313630487,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
83,1.0,0.012990189716219902,0.9970703125,5.9358737638483285,35.44842564855507,0.21530086282082833,0.02888962349450181,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
84,1.0,0.023858577013015747,0.992919921875,5.975843266477283,35.92674771405775,0.19111870136039738,0.054054257447792665,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
85,1.0,0.01710655353963375,0.9931640625,6.004125917076571,36.26797513842867,0.15775778650852287,0.038186700517775625,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
86,1.0,0.0317220576107502,0.988525390625,6.037775444701501,36.6723390261407,0.15728955848615864,0.05400065256205848,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
