task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
1,1.0,2.308525800704956,0.080810546875,0.9989001912603771,1.0017440318295838,0.6615990787554472,0.0077662987083717775,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
2,0.9005102040816326,0.2983652353286743,0.913818359375,1.2022564483298832,1.4524672298340955,0.2541350743847081,0.19420204262827542,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
3,0.9005102040816326,0.2451973408460617,0.930908203125,1.3582647085169361,1.8548906272786452,0.23912113833743398,0.13879077303458978,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
4,0.9017857142857143,0.23933036625385284,0.928466796875,1.4866079940309709,2.2224555413932303,0.23259092229505313,0.10103195760961783,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
5,0.9030612244897959,0.23477180302143097,0.927978515625,1.5993314088205084,2.57164030898584,0.22188687411720331,0.09064786438299226,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
6,0.9017857142857143,0.1823507696390152,0.940673828125,1.6947115731888278,2.8874086447888385,0.21215597674502995,0.06866470099913764,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
7,0.9030612244897959,0.19101326167583466,0.94287109375,1.7793858015263744,3.1836290972917785,0.20773543916614387,0.055956206799228934,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
8,0.9017857142857143,0.25195571780204773,0.9140625,1.870744691576712,3.5184517513340166,0.2152238591327401,0.07061382252097892,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
9,0.9005102040816326,0.22598594427108765,0.927978515625,1.9476264791497284,3.814477383987457,0.23057516034506953,0.034983434921096054,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
10,0.9005102040816326,0.2043672651052475,0.93798828125,2.020366290786839,4.104113803304792,0.2296746062534043,0.030503540029887994,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
11,0.9005102040816326,0.19818222522735596,0.9375,2.0817554728524628,4.356971666760298,0.21034398264491586,0.02242318087528019,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
12,0.9043367346938775,0.20563648641109467,0.935546875,2.135273476422652,4.583617923997494,0.2133236270915408,0.0058594287634684,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
13,0.9005102040816326,0.16064594686031342,0.951416015625,2.1949589905046882,4.842836194098833,0.2083203409467626,0.025371340826596197,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
14,0.9017857142857143,0.23994587361812592,0.921875,2.247497364405364,5.078528442189073,0.1976990322335722,0.017541218298774232,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
15,0.9017857142857143,0.2707776129245758,0.919189453125,2.311184241862289,5.3674697592355844,0.23645506525574142,0.023499001717236,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
16,0.9030612244897959,0.20110806822776794,0.93798828125,2.356607901236001,5.580026060364706,0.20821131208130686,0.0006294866567953006,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
17,0.9005102040816326,0.22120268642902374,0.927734375,2.411009561957992,5.837891831501273,0.2245274094701815,0.015321022160376922,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
18,0.9017857142857143,0.31592172384262085,0.9033203125,2.455600020436178,6.056422664483373,0.203000689544382,0.005787451730371936,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
19,0.9030612244897959,0.23923394083976746,0.9248046875,2.506336128040582,6.308374009829521,0.21649642706278693,0.014112877341386419,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
20,0.9017857142857143,0.17857308685779572,0.940673828125,2.554614769883214,6.552800516636475,0.2274511579853655,0.006423116264790652,K010_SN06,0.1,snake,0.6,2,0.0010338239764710812,0.8401784444008871,3.4647832426048e-05,0.45112769048865997,78.72261455954579,0.09042918865210853,0.9403324368670557,1.0,8.881784197001252e-15,0.018809880747989383,12.092110579152827,1.271387628851521,-0.5027002683289452,0.31107421875,0.9585999846458435
21,0.9017857142857143,0.1984194964170456,0.936767578125,2.591312130018543,6.742739285142724,0.20049308418557282,-0.006223112792056018,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
22,0.9005102040816326,0.19340728223323822,0.936767578125,2.6280870812100314,6.93499141242117,0.2265151591706731,-0.015462855423143127,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
23,0.9030612244897959,0.19333967566490173,0.942626953125,2.6677159177150465,7.145711692321409,0.20512112076790942,0.0007975383442717545,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
24,0.9005102040816326,0.2266484647989273,0.931396484375,2.70494222557045,7.345433266166343,0.22424577156960365,-0.010637475349483595,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
25,0.9005102040816326,0.20366419851779938,0.932861328125,2.7355317302650985,7.511740239203732,0.2113567737141694,-0.01808263744321887,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
26,0.9005102040816326,0.21602484583854675,0.928955078125,2.7744739416382993,7.726798900137544,0.21266425439426542,-0.0005418322904691246,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
27,0.9005102040816326,0.2500151991844177,0.919677734375,2.809097194563455,7.921995762532515,0.21954702648313923,-0.010673173922988015,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
28,0.9017857142857143,0.23400142788887024,0.93310546875,2.8390052988388197,8.090377300742839,0.2352002462651976,-0.02519151613436976,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
29,0.9017857142857143,0.21414704620838165,0.930419921875,2.86584936800528,8.24391137390929,0.21172606921880285,-0.023332913967669205,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
