arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p1_q0,200000,pos,0,0,62,False,0.01,2.0216192628126648e-14,1.261513503728641e-13,6.60762593904829e-13,0.0009401782199318218,5.817631604635255e-16,0.0038755903624594235,-0.005823902266891005
LR_a0p1_q0,200000,pos,0,1,22,True,0.01,1.521211412285658e-14,1.220563546765943e-13,4.3479315104810626e-13,0.006755478714588604,3.4972875621561627e-13,0.015034466666223434,-0.011551833452132109
LR_a0p1_q0,200000,pos,0,2,32,True,0.01,9.58259167888429e-15,1.1463178187907157e-13,1.2413471262100947e-12,0.00620462698559935,3.5170209694150474e-13,0.001096078184413812,-0.003146310050227145
LR_a0p1_q0,200000,pos,0,3,62,False,0.01,1.0784595629959184e-14,1.2277080649152058e-13,4.5092564164733746e-11,0.0008640831238113883,3.689095570074391e-12,7.649909302055152e-07,-8.134600462364994e-05
LR_a0p1_q0,200000,pos,0,4,62,False,0.01,7.214465814346735e-15,1.3046084374139275e-13,1.100236894769783e-12,0.012001060614459616,8.714200791333521e-14,0.0022539574259827807,0.004432386092504234
LR_a0p1_q0,200000,pos,0,5,39,True,0.01,6.570459037898425e-15,1.1234983335316836e-13,7.913885379058554e-13,0.006953317991737924,1.950416769988295e-13,0.001789298900199236,-0.003957187168477589
LR_a0p1_q0,200000,pos,0,6,62,False,0.01,2.291373470112227e-14,1.2858100201334162e-13,1.681041316475377e-12,0.0013746941039352559,1.575009174257855e-13,0.001326513208577147,0.0034289845163843076
LR_a0p1_q0,200000,pos,0,7,49,True,0.01,1.091732547787586e-14,1.1299394964652562e-13,2.4833544548748053e-13,0.009110431195415394,9.913941611482915e-14,0.035352894483248784,0.017880582935455133
LR_a0p1_q0,200000,pos,0,8,62,False,0.01,1.4837147734781454e-14,1.1958753631678792e-13,4.626982299041427e-12,0.0007631544046871482,8.473666968698949e-13,7.998559767846924e-05,-0.0008488655283071546
LR_a0p1_q0,200000,pos,0,9,62,False,0.01,1.534921231685248e-14,1.3307263065256197e-13,1.6440871478659418e-12,0.001218903142655883,9.987301876882859e-14,0.001333172462057983,-0.0034399337042325564
LR_a0p1_q0,200000,pos,1,0,74,False,0.01,8.230210902627259e-15,1.23083114119181e-13,3.9442363108622895e-12,0.0009405559456243333,2.099916091297024e-14,0.00011434305629601684,0.001000345546137128
LR_a0p1_q0,200000,pos,1,1,63,False,0.01,6.514716882729483e-15,1.29411723096229e-13,4.499702435065853e-12,0.0006769808056065439,3.1613263124101795e-12,0.00011258969477492905,-0.0009996690040505224
LR_a0p1_q0,200000,pos,1,2,51,True,0.01,5.497155800180588e-15,1.1433807864764405e-13,6.653576051069547e-13,0.006201330903565969,3.551816877157438e-13,0.0030766614973882296,-0.005271334900884065
LR_a0p1_q0,200000,pos,1,3,74,False,0.01,1.233845120171217e-14,1.2383463270070812e-13,1.0159953202191318e-12,0.0008915107731363208,2.6142404967143474e-13,0.0021197928508280713,0.004282080185423744
LR_a0p1_q0,200000,pos,1,4,74,False,0.01,5.4844761036999275e-15,1.2351447039259995e-13,2.3725655536925166e-12,0.0012007005524781334,1.0874490342458191e-13,0.0003405834732120256,0.001722965233608341
LR_a0p1_q0,200000,pos,1,5,65,True,0.01,8.52024517274564e-15,1.250841677088727e-13,9.658921848920032e-13,0.006987174788271311,8.032799858828458e-14,0.0018115085829653998,-0.003981670731304275
LR_a0p1_q0,200000,pos,1,6,74,False,0.01,1.3834999454541129e-14,1.152333768637461e-13,1.3124613252049283e-12,0.001374746746807315,6.055376397862663e-13,0.0020670058375927493,0.004280362851618962
LR_a0p1_q0,200000,pos,1,7,62,False,0.01,1.0528242707951008e-14,1.1841440375750624e-13,1.543974744419608e-12,0.0009139770755664055,3.375044874290091e-13,0.0013186817689153961,-0.0034533387816571555
LR_a0p1_q0,200000,pos,1,8,74,False,0.01,1.3788893108559604e-14,1.2411573073231112e-13,1.3320666490763487e-12,0.0007630806193682807,5.014617533335767e-13,0.0009944579216309938,0.0029931343169379864
LR_a0p1_q0,200000,pos,1,9,74,False,0.01,7.867083066741711e-15,1.3070199356656606e-13,2.714234435559899e-12,0.0012188992015362513,6.629638002473569e-14,0.0003584082532291385,0.0017835936048481366
LR_a0p1_q0,200000,pos,2,0,73,False,0.01,1.1422083893037793e-14,1.2118736999655804e-13,4.369611689641731e-12,0.0009405833458174257,1.8029074294218652e-13,0.00012096276085950505,0.0010288948418620458
LR_a0p1_q0,200000,pos,2,1,74,False,0.01,1.1298165460127676e-14,1.2258118187608585e-13,2.9563472258302684e-12,0.0006770310927753213,2.1103176229519845e-12,0.00029765652009397964,-0.0016254162813665988
LR_a0p1_q0,200000,pos,2,2,74,False,0.01,1.2129113492948721e-14,1.0646095006866293e-13,1.5021740359481514e-12,0.0006162589704881098,1.1648231649362546e-14,0.0005410859727195582,0.0022106189481508032
LR_a0p1_q0,200000,pos,2,3,73,False,0.01,9.21258590433332e-15,1.1492397106272583e-13,1.3191050057446972e-11,0.0008889790047252994,1.6519334665528716e-12,1.0332631358167722e-05,-0.00029896032128168845
LR_a0p1_q0,200000,pos,2,4,73,False,0.01,1.526728091266184e-14,1.2480939779188667e-13,2.0564711950715536e-12,0.0012006749497406111,6.67168827854818e-13,0.0006271772088923089,0.0023380826719364757
LR_a0p1_q0,200000,pos,2,5,83,True,0.01,1.1907294700226018e-14,1.0991062052805146e-13,3.179681249271328e-13,0.0069782977539167654,9.410806432072921e-14,0.018686266280413436,-0.0127881114136764
LR_a0p1_q0,200000,pos,2,6,73,False,0.01,1.6648128858315905e-14,1.275155127537072e-13,2.720886135906853e-12,0.0013748187438507018,6.607929069406775e-13,0.000512543138906175,-0.0021314490060361582
LR_a0p1_q0,200000,pos,2,7,74,False,0.01,1.251733296171082e-14,1.2365063636822497e-13,1.1260764557719332e-11,0.0009126495492185349,3.800795457892989e-13,3.0638889972316376e-05,-0.0005263876584728824
LR_a0p1_q0,200000,pos,2,8,73,False,0.01,1.434840652138989e-14,1.1709220630036209e-13,2.625571601572197e-11,0.0007475321042034322,7.500120549110104e-12,2.8159253031512843e-06,0.00015927351536429326
LR_a0p1_q0,200000,pos,2,9,73,False,0.01,6.755617400055912e-15,1.2892286130338743e-13,4.302986771972586e-12,0.0012188952229378162,6.482365378247156e-13,0.0001931324394802372,0.001309285983781288
LR_a0p1_q0,200000,pos,3,0,72,False,0.01,7.53853650517437e-15,1.179707208757924e-13,9.195807730855677e-12,0.000940915087842301,1.2385771124326885e-12,2.85951828333995e-05,0.000500255167560424
LR_a0p1_q0,200000,pos,3,1,73,False,0.01,8.203882249004581e-15,1.1968778099387855e-13,2.392603047244308e-12,0.0006768506667149969,1.9196565759789246e-12,0.0004905029307614837,0.002086544776340302
LR_a0p1_q0,200000,pos,3,2,75,False,0.01,1.0344912208396234e-14,1.0572603239582496e-13,2.492320166829269e-13,0.006205006507121946,8.126721869703378e-14,0.026632637324410673,-0.015509144347773802
LR_a0p1_q0,200000,pos,3,3,72,False,0.01,1.2344216873595222e-14,1.3582426754392092e-13,4.310943701738285e-12,0.0008913315982482636,5.510350973415099e-13,0.00015587622413910406,-0.0011611759240797422
LR_a0p1_q0,200000,pos,3,4,72,False,0.01,9.101012607498275e-15,1.2597573974260341e-13,9.273739367544964e-11,0.001187651460056559,1.663423670843906e-12,2.925232087206042e-07,-5.049459503572645e-05
LR_a0p1_q0,200000,pos,3,5,62,False,0.01,1.9341782022961116e-14,1.166433097674894e-13,1.025107440043372e-13,0.007003116068149218,2.6276186684479292e-14,0.1737277506067163,0.038992379879991906
LR_a0p1_q0,200000,pos,3,6,72,False,0.01,7.074608435306498e-15,1.23839794402829e-13,4.5083665092307455e-13,0.013749214598372106,4.1739145046398343e-13,0.011697313050740085,0.010182461838685684
LR_a0p1_q0,200000,pos,3,7,73,False,0.01,1.0652808295179896e-14,1.2312522059748434e-13,1.0496363471761902e-12,0.0009137625686493914,6.502806650604132e-13,0.0016517875770125816,-0.0038649713825636574
LR_a0p1_q0,200000,pos,3,8,72,False,0.01,2.6639894201499518e-14,1.2707658789277157e-13,1.1902873877519531e-12,0.0007630440687799504,3.2823966282098584e-13,0.0010035833381459578,0.003006835863949132
LR_a0p1_q0,200000,pos,3,9,72,False,0.01,2.9594674670336833e-14,1.2682795181603276e-13,1.3844059027263932e-12,0.0012188991029642995,5.822423238687707e-13,0.001114939541337648,0.0031458105501027123
LR_a0p1_q0,200000,pos,4,0,71,False,0.01,2.0805258260641294e-14,1.2880595444999566e-13,2.8144666298271642e-12,0.0009404995118282209,8.386878330005526e-14,0.00034801431526123173,0.0017451939509112522
