arm,step,group,rank,seed,unit,ok,eps,t,q_mu,q_mu0,q_PA,q_PA0,q_NA_dev,dW_other,db,dv,dv_u,dc,dyhat_rms,dyhat_rms0,gate_mismatch_sup,gate_mismatch_stream,gn_q_mu,gn_q_PA,v_u,k_u,ntk_J2_mean,ntk_J2_max,ntk_Jv2_mean,ntk_JW2_mean,ntk_share_mean,ntk_K_cond
LR_a0p1_q0,200000,pos,0,0,62,False,0.01,1,0.009966082162385675,0.010000000000000002,0.009966090395142915,0.01000000000000003,3.553281858736663e-17,0.0005898992694833361,0.00018738432639365716,0.00018275928206498086,-1.4653122484720171e-05,5.823902266891001e-05,0.0026553808567558942,0.005823902266891005,0,0,0.00990126260038203,0.009901279718727342,-1.973811149597168,1.0,122.41365215825952,213.18166116038162,15.889053721555213,96.27622637807977,0.0038098217266334337,1606.60387275728
LR_a0p1_q0,200000,pos,0,1,22,True,0.01,1,0.00986655514389424,0.010000000000000002,0.009866669427942468,0.010000000000000038,1.3424266576956663e-16,0.001031758089919457,0.00031332777961066304,0.0005365095756419004,0.00015585491505293314,0.00011551833452128069,0.005642152734912272,0.011551833452132109,0,0,0.009497791331150363,0.009497953611533123,-0.36890166997909546,1.0,114.23519103058557,178.03307665638027,13.961222418823384,90.65803455030539,0.015359169830201679,583.7888719830677
LR_a0p1_q0,200000,pos,0,2,32,True,0.01,1,0.009990100733067796,0.010000000000000002,0.009990101258999363,0.009999999999999976,5.644173029804933e-17,0.00030865431154506617,8.860918816739257e-05,0.00016801814393336322,9.800748285132554e-06,3.1463100502282515e-05,0.0006939179290287622,0.003146310050227145,0,0,0.009978968294979636,0.009978968990458447,-0.09499046206474304,1.0,119.9595452988078,163.66903614412882,21.42243647719253,89.07919137189468,0.000897636766421136,909.4244774080943
LR_a0p1_q0,200000,pos,0,3,62,False,0.01,1,0.009999993382827492,0.009999999999999998,0.00999999338282784,0.010000000000000004,8.738318709646339e-17,6.746186378354036e-06,2.3523565264480717e-06,2.510443054750944e-06,-6.267176196478319e-07,8.134600462395003e-07,4.8625730539854294e-05,8.134600462364994e-05,0,0,0.009999977603153706,0.009999977603154209,-0.030498094856739044,1.0,134.80824777911522,217.38186820766123,17.328097269316345,106.26089715872851,8.238233093449245e-07,566.8296853687732
LR_a0p1_q0,200000,pos,0,4,62,False,0.01,1,0.009980353953526951,0.01,0.009980356801440634,0.009999999999999993,5.3000661008543294e-17,0.0005313950159687294,0.00017212110241236777,0.00010661072922994394,-6.665731991012391e-06,-4.432386092503848e-05,0.0020837180045236675,0.004432386092504234,0,0,0.009588143680421064,0.009588757771296372,0.15365590155124664,1.0,119.20813800185391,178.02931008911526,8.831441670482665,99.82985868641467,0.0005619291424874417,772.7905975078579
LR_a0p1_q0,200000,pos,0,5,39,True,0.01,1,0.00998434066971363,0.01,0.009984342421336353,0.009999999999999976,6.301515204987296e-17,0.00041700172314142496,0.000132319583374002,0.0001681973304662372,4.0470398921604867e-05,3.957187168476817e-05,0.0015371081095916898,0.003957187168477589,0,0,0.00995241111185286,0.009952414203661901,-0.13411523401737213,1.0,112.96700927470854,176.7915674590476,17.73785292820084,86.0142917711404,0.0019027137192962626,753.6696801153792
LR_a0p1_q0,200000,pos,0,6,62,False,0.01,1,0.009988242065186387,0.010000000000000002,0.009988242952305784,0.010000000000000005,1.36202908714561e-16,0.00032708612338073903,9.890666462481141e-05,7.770572968059703e-05,8.933806331157257e-06,-3.4289845163848476e-05,0.0018164199348137257,0.0034289845163843076,0,0,0.009948750891199674,0.009948751840735924,1.1005325317382812,1.0,83.9831751919354,119.04249082962255,7.835758875530578,68.53450756577394,0.0017626072768968562,720.7598598724375
LR_a0p1_q0,200000,pos,0,7,49,True,0.01,1,0.009680284753888383,0.009999999999999997,0.009680843128125378,0.009999999999999997,5.70303310999494e-17,0.0014255982433586322,0.0004189086362271307,0.0006549158241251392,-0.00025835922211636664,-0.0001788058293545336,0.005617195953096197,0.017880582935455133,0,0,0.009130211432798924,0.009131511058358906,0.5377517342567444,1.0,101.41635525032727,133.91514577110155,17.771625530320584,75.38605464971991,0.033859599390416995,1480.2762150850003
LR_a0p1_q0,200000,pos,0,8,62,False,0.01,1,0.009999279427314814,0.009999999999999998,0.009999279430171497,0.010000000000000009,1.1059907126143851e-16,0.00010135938945409434,2.9263987921765178e-05,3.6568725681314295e-05,8.618535855542397e-07,8.488655283078739e-06,0.00028329996294104416,0.0008488655283071546,0,0,0.009997603826049042,0.009997603845871653,-0.2582041621208191,1.0,114.46931503465329,182.53139950145942,16.566527136374173,88.43059013244938,7.679009812608762e-05,1022.9057309516882
LR_a0p1_q0,200000,pos,0,9,62,False,0.01,1,0.009988166856110512,0.01,0.009988167743807,0.010000000000000031,1.0412816652269966e-16,0.0002975611925474526,8.960442245565258e-05,8.837129913945062e-05,-1.6044235262580031e-06,3.4399337042329003e-05,0.01412537264168842,0.0034399337042325564,0,0,0.0036732536643416676,0.004074802924202267,-1.098524570465088,1.0,91.26970160683958,128.87573978632324,8.61958800073943,74.48888673654638,0.025090426003635345,806.8201190211656
LR_a0p1_q0,200000,pos,0,0,62,False,0.01,2,0.009952642390932007,0.010000000000000002,0.009952655542391968,0.01000000000000003,2.688099961863454e-17,0.0007383581206994257,0.00023325471357889228,0.00023383891936220165,-1.8592344041667985e-05,7.9985612121386e-05,0.0016539176069172974,nan,0,0,0.00990126260038203,0.009901279718727342,-1.973811149597168,1.0,122.41365215825952,213.18166116038162,15.889053721555213,96.27622637807977,0.0038098217266334337,1606.60387275728
LR_a0p1_q0,200000,pos,0,1,22,True,0.01,2,0.00987670529687903,0.010000000000000002,0.009876802756474273,0.010000000000000038,1.4093371285917747e-16,0.0009734745770376367,0.0002955157569516869,0.0004955975683259304,0.00014385987796855515,0.00010671797136641015,0.005990105312100202,nan,0,1,0.009497791331150363,0.009497953611533123,-0.36890166997909546,1.0,114.23519103058557,178.03307665638027,13.961222418823384,90.65803455030539,0.015359169830201679,583.7888719830677
