arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
R,0,0.001,1,none,0.9691479167,1,1,0.2299999893,0.2299999893,-0.630227983,1.506093264,-5.0668993,0.301666677,61.78518196,0.02999999933,0.02999999933,1.617980838,1.37376678,-1.571525455,0.9016667008,35.04555379,3.536704302,2.098827362,3.730993748
R,0,0.001,2,none,0.8139416667,0.9433333278,0.9433333278,0.3999999762,0.3999999762,-4.060696125,2.667892694,-8.853223801,0.01583333313,51.60052814,0.009999999776,0.009999999776,0.1189458519,1.828523993,-1.046528339,0.5233333707,61.5758044,4.409454823,3.221275806,8.946532249
R,0,0.001,3,none,0.2170958333,0.25,0.25,0.5299999714,0.5299999714,-7.752960682,3.361373901,-12.20082188,0,38.4900469,0.009999999776,0.009999999776,0.1449829638,0.6373256445,-1.892217278,0.9358333349,40.18430961,4.960345745,3.358959198,10.95459652
R,0,0.001,4,none,0.1419,0.1533333361,0.1533333361,0.7099999785,0.7099999785,-9.008757591,3.379280806,-13.74897861,0,24.67853116,0.009999999776,0.009999999776,0.002028311836,0.3949683309,-2.330462933,0.02333333343,21.70241455,4.9780159,3.408756018,12.22394562
R,0,0.001,5,none,0.1116979167,0.1225000024,0.1225000024,0.9199999571,0.9199999571,-9.639098167,3.621533394,-16.49859047,0,7.097444385,0.09999999404,0.09999999404,0.003246025415,0.2280843258,-2.290982723,0.006666666828,7.001120855,4.987608433,3.456937075,12.88670349
R,0,0.001,6,none,0.1055625,0.1141666695,0.1141666695,0.9599999785,0.9599999785,-9.639098167,3.712054729,-19.7457962,0,3.682170976,0.2399999946,0.2399999946,-0.01119014248,0.1180977076,-2.333870411,0.002499999944,3.726136383,4.987608433,3.483115673,13.02915955
R,0,0.001,7,none,0.11640625,0.1208333373,0.1208333373,0.969999969,0.969999969,-9.639098167,3.712054729,-19.74929047,0,2.235652635,0.3199999928,0.3199999928,-0.1955709308,0.1181591228,-2.246195555,0.001666666707,2.993362327,4.987608433,3.476941109,12.93054485
R,0,0.001,8,none,0.1030541667,0.1116666719,0.1116666719,0.9799999595,0.9799999595,-9.639098167,3.712054729,-19.7780838,0,1.863535711,0.3700000048,0.3700000048,-0.2838687301,0.1230543926,-2.336400509,0.001666666707,3.042038374,4.987608433,3.488325596,12.84625053
R,0,0.001,9,none,0.1027,0.1116666719,0.1116666719,0.9799999595,0.9799999595,-9.639098167,3.712054729,-19.31739044,0,1.94769398,0.3599999845,0.3599999845,-0.325983882,0.1230611801,-2.499696493,0.001666666707,3.119929752,4.987608433,3.470491648,12.73989201
R,0,0.001,10,none,0.1064916667,0.113333337,0.113333337,0.9899999499,0.9899999499,-9.639098167,3.712054729,-19.79658699,0,1,0.4899999797,0.4899999797,-0.4188610315,0.04475349933,-2.44996953,0.0008333333535,1.975393578,4.987608433,3.471339703,12.85534382
