step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
0,A_w100_T10000_std_lr0.01_s0_cont,0.32,0.0139394,0.31,7.71295,5.12546,0.180499,0.503283,0,10.304,16.1361,0.638569,19.4182,0.101892,9.8143,8.8981,0.32,1.35205,-0.000415983,0,0.00217959,-0.00531959,1.30974,-1.09152,-7.91491,0,0.44776,0,nan,0.31,nan
0,A_w100_T10000_std_lr0.01_s1_cont,0.17,0.0161616,0.15,8.32133,4.95173,0.181989,0.499111,0.00020202,13.7431,30.7635,0.446736,19.4858,0.101473,9.85485,9.48561,0.17,2.31772,-0.000367363,0,0.00357333,-0.00853175,1.10821,-1.06013,-10.5272,0,0.55103,0,nan,0.15,nan
0,A_w100_T10000_std_lr0.01_s2_cont,0.22,0.00505051,0.2,9.59822,5.10632,0.177025,0.50095,0,0.902601,16.1992,0.055719,19.4826,0.090065,11.1031,10.2467,0.22,1.00337,0.000369387,0,0.00256208,-0.00614675,0.997346,-0.700001,-6.26273,0,0.544375,0,nan,0.2,nan
0,A_w100_T10000_std_lr0.01_s3_cont,0.21,0.0282828,0.2,6.99809,4.9574,0.18021,0.498879,0,3.47559,18.2415,0.190532,19.4476,0.0925671,10.803,9.93625,0.21,1.03575,-0.000406761,0,0.00221557,-0.00493803,1.52871,-1.29684,-9.01654,0,0.549105,0,nan,0.2,nan
0,A_w100_T10000_std_lr0.01_s4_cont,0.32,0.0230303,0.26,6.81365,5.08487,0.180232,0.499202,0,9.62594,50.8494,0.189303,19.4672,0.0928604,10.7689,9.63917,0.32,2.11632,0.00011702,0,0.00217954,-0.00482759,1.84942,-0.611758,-10.0216,0,0.539195,0,nan,0.26,nan
0,A_w100_T10000_std_lr0.01_s5_cont,0.19,0.00444444,0.17,10.1499,5.22798,0.181438,0.500061,0,0.586329,14.0829,0.0416342,19.4686,0.106151,9.42052,8.73155,0.19,1.12817,-0.00020727,0,0.00109379,-0.00253277,0.720047,-1.11087,-3.11884,0,0.511615,0,nan,0.17,nan
0,A_w100_T10000_std_lr0.01_s6_cont,0.23,0.020404,0.22,7.45227,4.77843,0.183867,0.498556,0,3.47637,51.8259,0.0670779,19.35,0.0992326,10.0773,9.97921,0.23,2.1668,0.000179494,0,0.000636541,-0.00136721,1.45568,-0.942864,-5.45829,0,0.568545,0,nan,0.22,nan
0,A_w100_T10000_std_lr0.01_s7_cont,0.32,0.0165657,0.3,7.50413,4.7176,0.17787,0.500515,0,1.77635,54.4652,0.0326144,19.5169,0.088441,11.307,9.99018,0.32,2.64962,4.29789e-05,0,0.00119874,-0.00271574,1.26106,-1.23421,-7.2405,0,0.44124,0,nan,0.3,nan
0,A_w100_T10000_std_lr0.01_s8_cont,0.21,0.0270707,0.21,6.66466,4.94401,0.184968,0.502475,0,39.1518,51.4673,0.760712,19.4017,0.114352,8.74491,7.37236,0.21,2.99144,0.000456187,0,0.00310919,-0.00624931,1.57941,-0.985517,-8.37305,0,0.58109,0,nan,0.21,nan
0,A_w100_T10000_std_lr0.01_s9_cont,0.24,0.00666667,0.2,9.8055,5.37026,0.177145,0.498909,0,40.7307,49.5514,0.821987,19.5766,0.0931066,10.7404,9.77072,0.24,4.34725,0.000143392,0,0.00270344,-0.00586736,0.885544,-0.895426,-7.53504,0,0.493265,0,nan,0.2,nan
1000,A_w100_T10000_std_lr0.01_s0_cont,0.34,0.000808081,0.32,14.0545,5.73486,0.181402,0.504475,0,0.176285,12.9142,0.0136505,19.3944,0.102559,9.75049,8.71379,0.34,0.322291,-0.036709,-0.000323682,0.0369562,-0.123723,0.266301,-1.12462,-7.91491,0,0.37198,0,1,0.32,1
1000,A_w100_T10000_std_lr0.01_s1_cont,0.19,0.00363636,0.19,13.1967,5.20438,0.182647,0.498586,0.00020202,0.661881,27.002,0.0245123,19.4758,0.10114,9.88725,9.56954,0.19,0.487683,-0.0340331,-0.00261459,0.0419832,-0.140842,0.333871,-1.15926,-10.5272,0,0.4663,0,1,0.19,1
1000,A_w100_T10000_std_lr0.01_s2_cont,0.2,0.00242424,0.2,12.504,5.37627,0.178205,0.50096,0,1.61392,5.47272,0.294903,19.445,0.0903006,11.0741,9.9042,0.2,0.166041,-0.0157121,0,0.0277145,-0.0952908,0.52448,-0.823509,-6.26273,0,0.49287,0,0.909091,0.2,1
1000,A_w100_T10000_std_lr0.01_s3_cont,0.28,0.00222222,0.25,12.2182,5.47934,0.179609,0.498485,0,2.49971,10.6219,0.235335,19.4362,0.0940751,10.6298,9.22197,0.28,0.320453,-0.0449299,-0.00417723,0.0490077,-0.186869,0.691919,-0.917123,-9.01654,0,0.47763,0,1,0.25,1
1000,A_w100_T10000_std_lr0.01_s4_cont,0.29,0.00181818,0.28,15.3044,6.25927,0.180544,0.500192,0,1.48311,25.5672,0.0580083,19.4635,0.0964009,10.3733,8.68165,0.29,0.401794,-0.0497541,-0.00122786,0.0469665,-0.154812,0.15548,-0.904297,-10.0216,0,0.384075,0,0.875,0.28,1
1000,A_w100_T10000_std_lr0.01_s5_cont,0.19,0.00363636,0.18,14.2658,5.33926,0.182811,0.500626,0,0.376734,11.6053,0.0324622,19.4278,0.108649,9.20392,8.92433,0.19,0.335611,-0.030047,-0.000966192,0.042228,-0.141073,0.182338,-1.00746,-3.11884,0,0.434785,0,0.894737,0.18,1
1000,A_w100_T10000_std_lr0.01_s6_cont,0.25,0.0020202,0.24,14.6698,5.59145,0.183569,0.498838,0,0.635921,39.974,0.0159084,19.3099,0.104669,9.55394,9.15093,0.25,0.491709,-0.0489742,-0.0034855,0.0448267,-0.225523,0.137832,-1.05906,-5.45829,0,0.399135,0,0.956522,0.24,1
