id,regime,statistic,point,ci_lo,ci_hi,threshold,result,note
G0,A,Δ_full = M(none) − M(full),0.29458315712295474,0.22301546136142586,0.3606345461770641,CI 下限 > 0,PASS,前提ゲート。M(none) 平均 0.4267; n_seed=10
G0_late,A,Δ_full = M_late(none) − M_late(full),0.2519925692968228,0.15465849606210152,0.34091466352895117,CI 下限 > 0,PASS,前提ゲート。M_late(none) 平均 0.4331; n_seed=10; 主判定は M (本行は §5 の併記)
G0,B,Δ_full = M(none) − M(full),0.013262794211576912,-0.008901275683632616,0.03367327557884233,CI 下限 > 0,FAIL,前提ゲート。M(none) 平均 0.6872; n_seed=10
G0_late,B,Δ_full = M_late(none) − M_late(full),-0.0006293390000000065,-0.023851415575000024,0.022018757675000077,CI 下限 > 0,FAIL,前提ゲート。M_late(none) 平均 0.6958; n_seed=10; 主判定は M (本行は §5 の併記)
P1,B,Δ_posonly (M),0.011445847105788432,-0.00838918344311375,0.03037333237524949,CI 下限 > 0,void,G0 不成立のため void (点推定は参考値)。座標完全復元 (‖w‖ と b) が単独で効くか。FAIL なら B1 棄却の主成分。n_seed=10
P2,B,Δ_posonly − 0.5·Δ_full (M),0.004814449999999975,-0.008857938278443105,0.020618022692115736,CI 下限 > 0 で PASS / 点推定のみ正で weak PASS,void,G0 不成立のため void (点推定は参考値)。**主判定**。FAIL なら混合説 (座標＋特徴鮮度) へ改訂。n_seed=10
P2_strong,B,Δ_posonly − 0.75·Δ_full (M),0.0014987514471057478,-0.012714516563123803,0.017386945586327286,CI 下限 > 0 なら「強」,void,G0 不成立のため void (点推定は参考値)。75% 水準は CI 下限が 0 を超えず「強」は付かない。n_seed=10
P2_ratio,B,Δ_posonly / Δ_full (M),0.8630041998086277,,,参考値 (閾値なし),void,G0 不成立のため void (点推定は参考値)。分母が正の bootstrap 標本 0.89 ≤ 0.95 のため **CI は報告しない** (分母が 0 を跨ぐと比の CI は発散する。coupling_fbw_0813 の家内規約)。n_seed=10
P3,B,0.25·Δ_full − Δ_dironly (M),-0.0005058240019960386,-0.01152460795783439,0.007941907625997988,CI 下限 > 0,void,G0 不成立のため void (点推定は参考値)。b が深い負のままゲートが開かない所で新方向が効いてはいけない。FAIL は **β/ゲート機構への警報**。n_seed=10
P4,A,Δ_posonly (M),0.2072596549855974,0.1612622233388997,0.251713587924746,CI 下限 > 0,PASS,**H_feat の主戦場**: 新特徴ゼロで µ 経路の便益が出るか。FAIL は B1 の棄却ではなく改訂 (操舵単独では不十分)。n_seed=10
P5,A,Δ_full − Δ_posonly (M),0.08732350213735735,0.04958757915427174,0.12843482671609444,報告のみ (PASS/FAIL なし),report,マージン寄与の分解量。符号: 正 (full が優位 = マージン寄与あり)。CI は記述用。n_seed=10
P1_late,B,Δ_posonly (M_late),0.0003390799999999139,-0.024392829125000074,0.02538081217499985,CI 下限 > 0,void,G0 不成立のため void (点推定は参考値)。座標完全復元 (‖w‖ と b) が単独で効くか。FAIL なら B1 棄却の主成分。n_seed=10; 主判定は M (本行は §5 の併記)
P2_late,B,Δ_posonly − 0.5·Δ_full (M_late),0.0006537494999999171,-0.0180549401375001,0.023965693799999854,CI 下限 > 0 で PASS / 点推定のみ正で weak PASS,void,G0 不成立のため void (点推定は参考値)。**主判定**。FAIL なら混合説 (座標＋特徴鮮度) へ改訂。n_seed=10; 主判定は M (本行は §5 の併記)
P2_strong_late,B,Δ_posonly − 0.75·Δ_full (M_late),0.0008110842499999188,-0.01882492576250006,0.024000107006249903,CI 下限 > 0 なら「強」,void,G0 不成立のため void (点推定は参考値)。75% 水準は CI 下限が 0 を超えず「強」は付かない。n_seed=10; 主判定は M (本行は §5 の併記)
P2_ratio_late,B,Δ_posonly / Δ_full (M_late),-0.5387875215105219,,,参考値 (閾値なし),void,G0 不成立のため void (点推定は参考値)。分母が正の bootstrap 標本 0.474 ≤ 0.95 のため **CI は報告しない** (分母が 0 を跨ぐと比の CI は発散する。coupling_fbw_0813 の家内規約)。n_seed=10; 主判定は M (本行は §5 の併記)
P3_late,B,0.25·Δ_full − Δ_dironly (M_late),-0.00619159574999992,-0.022482089174999883,0.004910431887500047,CI 下限 > 0,void,G0 不成立のため void (点推定は参考値)。b が深い負のままゲートが開かない所で新方向が効いてはいけない。FAIL は **β/ゲート機構への警報**。n_seed=10; 主判定は M (本行は §5 の併記)
P4_late,A,Δ_posonly (M_late),0.1685180846978891,0.09162148530888153,0.23855195221694775,CI 下限 > 0,PASS,**H_feat の主戦場**: 新特徴ゼロで µ 経路の便益が出るか。FAIL は B1 の棄却ではなく改訂 (操舵単独では不十分)。n_seed=10; 主判定は M (本行は §5 の併記)
P5_late,A,Δ_full − Δ_posonly (M_late),0.08347448459893367,0.014704029566141112,0.1668598087947042,報告のみ (PASS/FAIL なし),report,マージン寄与の分解量。符号: 正 (full が優位 = マージン寄与あり)。CI は記述用。n_seed=10; 主判定は M (本行は §5 の併記)
P6_posonly,B,reopen_frac(posonly) @ t_int+100k,0.49818713450292396,,,報告のみ,void,"G0 不成立のため void (点推定は参考値)。treated のうち p̂ > 0.05 の割合 (seed 平均)。seed 別 [0.474, 0.474, 0.4, 0.556, 0.368, 0.684, 0.526, 0.5, 0.368, 0.632]"
P6_dironly,B,reopen_frac(dironly) @ t_int+100k,0.010526315789473684,,,報告のみ,void,"G0 不成立のため void (点推定は参考値)。treated のうち p̂ > 0.05 の割合 (seed 平均)。seed 別 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053, 0.053]"
P6,B,reopen_frac(posonly) − reopen_frac(dironly) @ t_int+100k,0.48766081871345024,0.42502339181286547,0.5511111111111112,点推定の順序のみ (PASS/FAIL なし),void,G0 不成立のため void (点推定は参考値)。順序: posonly > dironly (予測どおり)。posonly 0.4982 / dironly 0.01053 / none 0.01608 / full 0.5676。CI は記述用 (事前登録は点推定のみ)。機構署名の不発は判定に波及しない。
P7,A,"median_unit Δcos(u, µ̂) (posonly, t_int → t_int+post)",-0.032655979692935946,-0.053644068203866475,-0.007131225429475326,点推定のみ (PASS/FAIL なし),report,"seed 別 median [-0.0448, 0.0661, -0.0366, -0.0415, -0.0251, -0.0278, -0.0894, -0.0466, -0.0625, -0.0183]。正なら二段回復署名 (操舵回復 → u が +µ̂ 半空間へ)。CI は記述用。"
