step,run_id,loss
1000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.556652
1000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.400154
1000,A_w10_T10000_std_lr0.01_bfull_s2_none,1.0103
1000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.67788
1000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.528469
2000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.460203
2000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.341225
2000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.669712
2000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.506747
2000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.413443
3000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.439189
3000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.314983
3000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.447648
3000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.459267
3000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.373582
4000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.419411
4000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.302035
4000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.376228
4000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.391076
4000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.361855
5000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.393728
5000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.295486
5000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.361529
5000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.303264
5000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.353979
6000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.362391
6000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.291175
6000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.355668
6000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.277687
6000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.343403
7000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.321276
7000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.287814
7000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.352522
7000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.273302
7000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.330664
8000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.254475
8000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.285162
8000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.350731
8000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.271071
8000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.318465
9000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.228634
9000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.282045
9000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.349835
9000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.269566
9000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.290848
10000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.216469
10000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.263837
10000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.348386
10000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.268521
10000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.202245
11000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.376332
11000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.529173
11000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.546147
11000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.416315
11000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.512177
12000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.268357
12000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.391573
12000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.44345
12000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.266308
12000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.430401
13000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.268393
13000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.295636
13000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.4181
13000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.227758
13000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.335566
14000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.266819
14000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.269975
14000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.392613
14000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.198223
14000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.261011
15000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.263573
15000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.25406
15000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.373017
15000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.175267
15000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.223984
16000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.262217
16000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.24181
16000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.36517
16000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.117503
16000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.206097
17000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.256315
17000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.23156
17000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.351755
17000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0788615
17000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.195235
18000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.251249
18000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.221855
18000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.285025
18000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0647172
18000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.182291
19000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.245336
19000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.208602
19000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.22522
19000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0544609
19000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.176346
20000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.240533
20000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.189067
20000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.152555
20000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0461505
20000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.174044
21000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.392206
21000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.506309
21000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.212296
21000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.450542
21000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.339011
22000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.279186
22000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.296725
22000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.130617
22000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.256182
22000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.20521
23000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.259388
23000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.227303
23000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.107466
23000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.183075
23000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.176103
24000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.247505
24000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.187701
24000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0898121
24000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.118299
24000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.167808
25000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.237935
25000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.165548
25000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0834436
25000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0742142
25000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.164702
26000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.220813
26000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.166084
26000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0796524
26000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0631507
26000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.162728
27000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.201083
27000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.152897
27000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0763274
27000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0566366
27000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.161262
28000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.184659
28000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.143071
28000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0736434
28000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0479834
28000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.160133
29000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.170537
29000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.136225
29000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0722875
29000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0412673
29000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.159117
30000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.160981
30000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.131868
30000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.0714308
30000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.0368355
30000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.158245
31000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.360963
31000,A_w10_T10000_std_lr0.01_bfull_s1_none,0.28216
31000,A_w10_T10000_std_lr0.01_bfull_s2_none,0.150124
31000,A_w10_T10000_std_lr0.01_bfull_s3_none,0.375895
31000,A_w10_T10000_std_lr0.01_bfull_s4_none,0.395811
32000,A_w10_T10000_std_lr0.01_bfull_s0_none,0.187476
