switch_step,run_id,post_err
150000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.2852
150000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,2.06372
150000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,2.77241
150000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,1.78726
150000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.11498
160000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,2.30167
160000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.22054
160000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.683198
160000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,2.89526
160000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.13978
170000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,3.03945
170000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.05558
170000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.530218
170000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,3.90458
170000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,2.96108
180000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,13.3282
180000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.24637
180000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.24983
180000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,3.06747
180000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,4.86829
190000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,0.624779
190000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.91675
190000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.96114
190000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,2.34816
190000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.6687
200000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,0.961606
200000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,2.21569
200000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.12718
200000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,3.13965
200000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,9.79699
210000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.79598
210000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,2.00109
210000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.4911
210000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,3.27374
210000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.37297
220000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.18443
220000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.89415
220000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.777689
220000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,4.43253
220000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.49348
230000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,3.14329
230000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,2.98863
230000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.0947
230000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,2.76118
230000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,0.985335
240000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,2.63408
240000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,2.3591
240000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.24037
240000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,3.86483
240000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.71791
250000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,6.84682
250000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.06414
250000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.03102
250000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,1.86226
250000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.72382
260000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.78345
260000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.09386
260000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.2665
260000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,1.73805
260000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,0.90521
