arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,s_l1,s_l2
CS,raw,0,0,0.001,1,none,0.9823625,1,1,0,0,0.247147426,12.34524632,-0.3616223335,0.5099999905,71.08580122,0.4909000099,0.01998646371,0.5099999905,0.4830499887,0,-0.01170609798,0.02181379125,0.9999999404,0.8528060913,0,0,3.940060377,2.441198349,1.736906767,0.9658333659,28.58800941,0.04817499965,1.617712379,0.9658333659,0.04817499965,0.0700000003,0.4421773255,0.08127586544,0.05113127083,5.889287472,0.6837197542,9.828586578,3.282598019,6.852607727,9.453949928,4.621021271
CS,raw,0,0,0.001,2,none,0.9558354167,1,1,0,0,0.2105781138,17.55874443,-0.3141477406,0.5074999928,65.82537872,0.4946666658,0.01061133761,0.5074999928,0.4825833738,0,-0.01819919981,0.01460853685,0.9999991059,0.7454882264,0.1199999973,0.1199999973,-3.816563368,2.994012356,-8.761546135,0.07583333552,82.38329836,0.8584666848,-1.2568748,0.07583333552,0.1256333292,0.2399999946,-0.5681172609,0.04172439128,-1.031511347e+10,8.761546135,0.6861795187,10.95721436,3.895508289,12.16900349,13.75422382,1.162158251
CS,raw,0,0,0.001,3,none,0.15565,0.1633333415,0.1633333415,0,0,0.2525115013,19.54387474,-0.2617360353,0.5091666579,63.07500878,0.4930333495,0.01222590357,0.5091666579,0.4810166359,0,-0.03803496063,0.01450605597,0.9999986887,0.769307375,0.7400000095,0.7400000095,-8.70884037,3.834699392,-13.95960999,0,24.85280484,0.9988417029,-2.245491505,0,0.001158333384,0.969999969,-0.8161973953,0.05367580801,-1.786564608e+11,13.95960999,0.6900410652,11.40943623,4.103555202,12.83312416,15.56359673,0.06476472318
CS,raw,0,0,0.001,4,none,0.1181604167,0.1183333397,0.1183333397,0,0,0.2923458815,21.37381554,-0.2323734611,0.5099999905,61.992675,0.493658334,0.01241677999,0.5099999905,0.4822583199,0,-0.02454579808,0.0150677124,0.999999404,0.8702281117,0.9499999881,0.9499999881,-9.196839333,4.058299065,-14.29546928,0,4.997109649,0.999933362,-2.324056864,0,6.666666741e-05,1,-0.7999187112,0.05461921543,-2.056547533e+11,14.29546928,0.6885721684,11.90983963,4.180963039,13.00103188,17.61008263,0.01636256278
CS,raw,0,0,0.001,5,none,0.1203416667,0.1208333373,0.1208333373,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68646363,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,0.9899999499,0.9899999499,-9.736801147,4.313912868,-14.39145565,0,1,0.9999916553,-2.254107714,0,8.333333426e-06,1,-0.8580678701,0.05357526243,-2.170506117e+11,14.39145565,0.6903458238,12.25012875,4.194870949,12.9914856,20.1893959,0.0005441393005
CS,raw,0,0,0.001,6,none,0.1137020833,0.1141666695,0.1141666695,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68323632,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.769212723,4.319023132,-14.36013412,0,0,1,-2.253228188,0,0,1,-0.8586295843,0.05358541757,-2.173682647e+11,14.36013412,0.6899532676,12.25012875,4.194870949,12.9914856,20.21555519,2.64697796e-22
CS,raw,0,0,0.001,7,none,0.1088270833,0.1091666669,0.1091666669,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.6846921,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.788818359,4.331164837,-14.38848209,0,0,1,-2.255846024,0,0,1,-0.8590348363,0.05343519896,-2.173682647e+11,14.38848209,0.690130055,12.25012875,4.194870949,12.9914856,20.1646328,2.64697796e-22
CS,raw,0,0,0.001,8,none,0.1123708333,0.1141666695,0.1141666695,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68449416,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.772013664,4.317600727,-14.35831928,0,0,1,-2.254631281,0,0,1,-0.8584749699,0.05360307172,-2.173682647e+11,14.35831928,0.6900013089,12.25012875,4.194870949,12.9914856,20.23376656,2.64697796e-22
CS,raw,0,0,0.001,9,none,0.1188458333,0.1191666722,0.1191666722,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68536051,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.754560471,4.309478283,-14.35456371,0,0,1,-2.254333496,0,0,1,-0.8577283025,0.05370410159,-2.173682647e+11,14.35456371,0.6901466846,12.25012875,4.194870949,12.9914856,20.227808,2.64697796e-22
CS,raw,0,0,0.001,10,none,0.1220770833,0.1225000024,0.1225000024,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68410017,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.768536568,4.313316822,-14.36903667,0,0,1,-2.256216049,0,0,1,-0.8593762517,0.05365630984,-2.173682647e+11,14.36903667,0.6900472641,12.25012875,4.194870949,12.9914856,20.21795464,2.64697796e-22
