arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3
ref,raw,0,0,0.001,1,none,0.262475,0.1433333308,0.1433333308,0.9799999595,0.9799999595,-6.966255665,1.848003387,-34.96039581,0,1.342183857,0.9991833568,-3.716792583,0,0.0008166666958,0.9899999499,-0.3564374447,0.00844407361,697995712,34.96039581,0.25,0.25,-0.1170802861,0.2613555193,-1.019875169,0.03666666895,3.617884428,0.7080416679,-0.5615424514,0.03666666895,0.02310833335,0.5199999809,5.591064453,1.486027479,-1.930506076e+11,1.019875169,0.2171815485,0.6640157104,0.7609305978,5.108272076
ref,raw,0,0,0.001,2,none,0.1040854167,0.1108333394,0.1108333394,1,1,-6.966255665,1.848003387,-56.98672104,0,0,1,-3.716792583,0,0,1,-0.3564374447,0.008176352829,203247360,56.98672104,0.7799999714,0.7799999714,-0.09600716829,0,-1.119050264,0,1.000001074,0.780000031,-9.6007168e+10,0,0,1,0,3.605660631e+11,-2.400254689e+11,1.119050264,nan,0.6640157104,0.7406784892,5.007245064
ref,raw,1,1,0.001,1,none,0.1786875,0.1808333397,0.1808333397,0.9799999595,0.9799999595,-6.428249836,1.804477453,-21.00889397,0,1.880701931,0.9986749887,-3.621967793,0,0.001325000077,0.9799999595,-0.3632951677,0.005021841731,-3453735680,21.00889397,0.3100000024,0.3100000024,-0.116597347,0.5314691067,-1.763198137,0.04416666925,4.728102175,0.7080333233,-0.4145241976,0.04416666925,0.02836666442,0.4499999881,1.616612196,0.698916018,-3.259456225e+11,1.763198137,0.2196512967,0.6592844725,0.643366158,4.126215935
ref,raw,1,1,0.001,2,none,0.116575,0.1166666672,0.1166666672,1,1,-6.428249836,1.804477453,-54.0190773,0,0,1,-3.621967793,0,0,1,-0.3634653389,0.005393170752,-4123790592,54.0190773,0.9799999595,0.9799999595,-0.07163216919,0,-1.951721072,0,1,0.9800000191,-7.163216691e+10,0,0,1,0,3.566771569e+11,-3.521271235e+11,1.951721072,nan,0.6592844725,0.639644742,4.007509708
ref,raw,2,2,0.001,1,none,0.1054208333,0.1083333343,0.1083333343,1,1,-7.484933376,1.944554448,-13.75102711,0,0,1,-3.844974279,0,0,1,-0.3780100048,0.004767894745,-3259727360,13.75102711,1,1,-0.005423441529,0,-0.1087300628,0,0,1,-5423441408,0,0,1,0,3.260571034e+10,-3.260571238e+10,0.1087300628,nan,0.6581657529,0.5725173354,0.5128347874
ref,raw,2,2,0.001,2,none,0.1132666667,0.113333337,0.113333337,1,1,-7.484933376,1.944554448,-13.75102711,0,0,1,-3.844974279,0,0,1,-0.3780100048,0.004767894745,-3259727360,13.75102711,1,1,-0.005423441529,0,-0.1087300628,0,0,1,-5423441408,0,0,1,0,3.260571034e+10,-3.260571238e+10,0.1087300628,nan,0.6581657529,0.5725173354,0.5128347874
ref,raw,3,3,0.001,1,none,0.11980625,0.1200000048,0.1200000048,1,1,-6.483652592,1.784512401,-33.87297821,0,0,1,-3.745965481,0,0,1,-0.3614476025,0.005172918551,-5728006144,33.87297821,1,1,-0.02358741127,0,-0.1238954589,0,0,1,-2.358741197e+10,0,0,1,0,3.554784051e+10,-3.554784051e+10,0.1238954589,nan,0.6514561772,0.5797657371,0.5111401677
ref,raw,3,3,0.001,2,none,0.10716875,0.113333337,0.113333337,1,1,-6.483652592,1.784512401,-33.87297821,0,0,1,-3.745965481,0,0,1,-0.3614476025,0.005172918551,-5728006144,33.87297821,1,1,-0.02358741127,0,-0.1238954589,0,0,1,-2.358741197e+10,0,0,1,0,3.554784051e+10,-3.554784051e+10,0.1238954589,nan,0.6514561772,0.5797657371,0.5111401677
ref,raw,4,4,0.001,1,none,0.1977520833,0.2158333361,0.2158333361,0.969999969,0.969999969,-7.319337845,1.869318724,-35.83208466,0,2.441172038,0.9983249903,-3.739187717,0,0.001674999949,0.9799999595,-0.19669348,0.006541508716,-1849437056,35.83208466,0.2899999917,0.2899999917,-0.1414793283,0.8042671084,-1.519354463,0.05000000075,6.380919044,0.7793083191,-0.531057179,0.05000000075,0.03645833582,0.4699999988,-4.289442062,0.5090247393,-3.556009902e+11,1.519354463,0.217718482,0.6594371796,0.7274499536,4.43424511
ref,raw,4,4,0.001,2,none,0.1192270833,0.1200000048,0.1200000048,0.969999969,0.969999969,-7.319337845,1.869318724,-68.52236938,0,2.813752146,0.9999417067,-3.739187717,0,5.833333125e-05,1,-0.19669348,0.006160948891,-3314881280,68.52236938,0.2800000012,0.2800000012,-0.1116031185,0.1737143099,-1.824083686,0.001666666707,4.361167606,0.8890666962,-1.807950497,0.001666666707,0.001500000013,1,-7.496466637,2.375467062,-3.889592074e+11,1.824083686,0.03888431937,0.6594371796,0.7186252475,4.539378643
