arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,raw,0,0,0.001,1,none,0.87653125,1,1,0,0,-2.480767488,5.803841591,-28.93199348,1.039192319,57.39410618,0,0,-1.219720602,8.457621574,-26.59655571,0.923222661,67.23796388,5.270508766,1.013756871,0.7719231844,0.1067405269,0.05242787302,0.1865678728,0,1.200000048,0.07329151034,0.02560646087,0.1326272339,0,1.200000048
KKT1,raw,0,0,0.001,2,none,0.94370625,1,1,0,0,-1.6163975,7.73733902,-77.32233429,0.9634025097,60.5227499,0,0,-12.87059784,16.30311966,-42.59151077,0.6154073477,73.17613963,7.109489918,1.381266475,0.9985266328,0.0796995759,0.02920499444,0.1594014764,0,1.200000048,0.03782680631,0.02021053433,0.07375489175,0,1.200000048
KKT1,raw,0,0,0.001,3,none,0.9449541667,1,1,0,0,-3.465640545,8.652457237,-105.0016708,0.8131218553,63.99529297,0,0,-17.41513062,17.7465744,-57.7567215,0.5628182888,74.86605776,8.40617466,1.598465562,1.052329302,0.07189527154,0.02350398153,0.1132809296,0,1.200000048,0.03503558785,0.01955075562,0.06865585595,0,1.200000048
KKT1,raw,0,0,0.001,4,none,0.9431666667,1,1,0,0,-6.818258762,9.168519974,-76.78546906,0.7727919817,69.82195818,0,0,-17.79389191,19.98684692,-51.31518936,0.5690898895,75.95499281,9.336616516,1.77951324,1.059903741,0.06771289557,0.03019671328,0.09765447676,0,1.200000048,0.03087480552,0.01968168467,0.04610748217,0,1.200000048
KKT1,raw,0,0,0.001,5,none,0.9413354167,1,1,0,0,-4.956046581,9.648995399,-173.3060913,0.8264974356,58.05602431,0,0,-25.56454277,24.7481842,-91.18114471,0.5572339892,74.2464057,10.39346027,1.916746378,1.007671237,0.06313215941,0.01493618451,0.09111183882,0,1.200000048,0.02504866384,0.01457763556,0.03919188678,0,1.200000048
KKT1,raw,0,0,0.001,6,none,0.9451395833,1,1,0,0,-9.473543167,10.38157749,-94.43473053,0.7603107095,68.8915085,0,0,-22.66105461,24.65111923,-70.29084778,0.5625686049,76.1098204,11.3010006,2.030081511,1.083525419,0.05890320241,0.02537991665,0.0791310519,0,1.200000048,0.0250872802,0.01398078911,0.03792781383,0,1.200000048
KKT1,raw,0,0,0.001,7,none,0.9439208333,1,1,0,0,-4.81448698,10.24772167,-165.5256348,0.8362870216,62.65416819,0,0,-28.13266754,26.91341019,-75.4139328,0.5569232106,76.05885706,11.91161537,2.098259211,0.9603247046,0.06056113914,0.01542840246,0.08077089489,0,1.200000048,0.02296293341,0.01306515466,0.03414956108,0,1.200000048
KKT1,raw,0,0,0.001,8,none,0.9505291667,1,1,0,0,-6.468602657,11.19860554,-155.0194855,0.7660347223,63.66037581,0,0,-27.57559395,30.26341057,-80.83013916,0.5926536322,77.65041324,12.57092571,2.216828823,1.082686067,0.05479818583,0.01626404747,0.07331525534,0,1.200000048,0.02059226669,0.01276335958,0.03607014194,0,1.200000048
KKT1,raw,0,0,0.001,9,none,0.9457541667,1,1,0,0,-10.18247795,11.62107086,-192.0752716,0.7429717183,60.52346684,0,0,-33.08725357,31.75842094,-86.8194809,0.5536663532,74.74155348,13.17538643,2.283965111,1.10189414,0.05334119126,0.01290825568,0.07431097329,0,1.200000048,0.01951709017,0.01247564796,0.03187612072,0,1.200000048
KKT1,raw,0,0,0.001,10,none,0.9508166667,1,1,0,0,-9.397057533,10.95383835,-148.1620026,0.6415841579,65.67283927,0,0,-26.10505676,27.72933578,-72.26153564,0.5596835613,77.80647062,13.52983284,2.29902339,1.098415494,0.05591112748,0.01693616994,0.0827273652,0,1.200000048,0.02218499593,0.01375711989,0.03331120312,0,1.200000048
