arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SL,raw,0,0,0.001,1,none,0.8814895833,1,1,0,0,-7.329776287,8.776296616,-42.65933609,0.2751652002,62.16828972,0,0,-1.44312048,8.348712921,-10.17738914,0.4465390742,67.02806233,7.103577614,1.540683985,2.132936001
SL,raw,0,0,0.001,2,none,0.85835,1,1,0,0,-16.7687664,11.86749077,-55.72889328,0.1527068466,64.20284645,0,0,-9.651533127,10.41366577,-22.06031036,0.2362380475,74.48483686,10.61122894,2.262140512,3.061903954
SL,raw,0,0,0.001,3,none,0.8087625,0.9983333349,0.9983333349,0,0,-25.08528519,13.22192192,-65.2719574,0.1165533587,64.06715365,0,0,-15.48300457,9.918607712,-27.56820297,0.1481928229,70.51382916,13.68250751,2.943964481,3.83100462
SL,raw,0,0,0.001,4,none,0.75943125,0.9975000024,0.9975000024,0,0,-28.22371101,13.03243732,-47.26062775,0.1088525951,62.9090766,0,0,-15.94376373,8.417340279,-28.27015114,0.1293916106,66.17467602,15.58939552,3.28527689,4.406468391
SL,raw,0,0,0.001,5,none,0.7505041667,0.9933333397,0.9933333397,0,0,-27.15047836,13.36401272,-52.82853699,0.1088741943,63.61144631,0,0,-15.46144867,8.917858124,-29.04213333,0.1299710721,67.3903314,17.04828835,3.424965143,4.516833305
SL,raw,0,0,0.001,6,none,0.7337083333,0.8400000334,0.8400000334,0,0,-30.10099983,13.09565353,-56.1088028,0.1051475629,56.75409244,0,0,-20.65844345,8.870163918,-34.64439774,0.1123200729,53.9555356,18.28029251,3.588363647,4.583551407
SL,raw,0,0,0.001,7,none,0.7376541667,0.9966666698,0.9966666698,0,0,-29.72418022,12.72618198,-48.03006363,0.1066675857,60.32063771,0,0,-16.88853264,8.34187603,-31.34907341,0.1235674322,63.6121173,19.31028366,3.725242376,4.559250832
SL,raw,0,0,0.001,8,none,0.729075,0.9958333373,0.9958333373,0,0,-27.31305313,12.47863483,-53.16576767,0.1099955812,65.47647574,0,0,-16.66052818,8.606933594,-29.70552063,0.1257537603,66.31299679,20.267416,3.688292265,4.555865288
SL,raw,0,0,0.001,9,none,0.7509458333,0.8908333778,0.8908333778,0,0,-30.22144699,12.99717522,-50.67922211,0.1071350351,60.68970498,0,0,-18.62346649,8.94347477,-37.45291519,0.1228246838,62.21240442,21.44146538,3.83815074,4.801916122
SL,raw,0,0,0.001,10,none,0.7292916667,0.9975000024,0.9975000024,0,0,-29.12221336,13.0865984,-51.24336624,0.1066690758,62.16556191,0,0,-17.80763435,8.701907158,-33.80583572,0.1221747398,66.40319231,22.36538696,3.88721633,4.777276039
SL,raw,0,0,0.001,11,none,0.7255208333,0.8933333755,0.8933333755,0,0,-31.59060669,13.57736397,-64.70240021,0.1050628722,59.52169908,0,0,-21.31182861,8.926958084,-41.23980713,0.1124465242,58.74550133,23.29854012,3.976151943,4.6370821
SL,raw,0,0,0.001,12,none,0.73029375,0.9958333373,0.9958333373,0,0,-29.82214355,13.21096039,-50.86583328,0.1092726141,64.02847141,0,0,-19.61020851,9.371637344,-35.61830521,0.1198690832,65.40312218,24.05169868,4.054311275,4.674519062
SL,raw,0,0,0.001,13,none,0.7351458333,0.9983333349,0.9983333349,0,0,-29.48094177,13.01723671,-47.18738174,0.1092556641,65.98098285,0,0,-18.10257721,9.787101746,-32.56093216,0.1312562376,67.3592047,24.80400276,4.083889008,4.550933361
SL,raw,0,0,0.001,14,none,0.7304291667,0.9958333373,0.9958333373,0,0,-30.08005524,13.497015,-55.59873962,0.106000863,63.74597637,0,0,-20.5668087,9.616732597,-35.9618454,0.1245387644,66.50923859,25.61554146,4.090582848,4.542606831
SL,raw,0,0,0.001,15,none,0.7293083333,0.8025000095,0.8025000095,0,0,-32.37133026,13.87708473,-53.22928238,0.1066627949,59.74804675,0,0,-22.60286522,9.567487717,-40.09434509,0.110638313,58.38807823,26.35873795,4.18874073,4.592927933
SL,raw,0,0,0.001,16,none,0.7306270833,0.9983333349,0.9983333349,0,0,-28.70685959,13.51165199,-49.04636002,0.1102346927,66.10571962,0,0,-19.96102905,10.1966095,-33.78459167,0.1258786172,67.09294918,27.05054474,4.217577457,4.495384693
SL,raw,0,0,0.001,17,none,0.7500229167,0.9983333349,0.9983333349,0,0,-31.13333702,14.30234718,-49.96568298,0.1102957726,66.13771451,0,0,-22.19286156,10.90223503,-40.48610306,0.1225352734,66.57196141,27.88300705,4.318280697,4.482456684
SL,raw,0,0,0.001,18,none,0.7440395833,0.9366666675,0.9366666675,0,0,-33.56771088,14.40310001,-60.0266037,0.1053440124,62.95988219,0,0,-25.06556702,10.56325912,-41.3241272,0.1119190902,59.06028295,28.53322792,4.361334801,4.539845467
SL,raw,0,0,0.001,19,none,0.7335854167,0.9991666675,0.9991666675,0,0,-31.10368156,14.19943333,-54.18529892,0.1070572585,65.17005523,0,0,-22.06245422,10.48491669,-40.94858932,0.1164955422,62.68695844,29.26984024,4.414021969,4.46559
SL,raw,0,0,0.001,20,none,0.7364291667,0.9941666722,0.9941666722,0,0,-30.44382286,14.2700119,-58.34321594,0.1087770388,66.32621066,0,0,-21.32777405,11.07811737,-37.24059296,0.1282019466,69.94355998,29.8262291,4.45140028,4.487955093
SL,raw,0,0,0.001,21,none,0.7254770833,0.9983333349,0.9983333349,0,0,-31.50834656,14.62609482,-65.50888062,0.1071146131,64.41563807,0,0,-23.44405746,11.21290302,-40.20241547,0.1205644533,65.57155583,30.43805313,4.487104893,4.546086788
SL,raw,0,0,0.001,22,none,0.7178145833,0.9975000024,0.9975000024,0,0,-30.6198864,14.42770576,-53.60322571,0.1096003354,66.00164633,0,0,-20.91311836,10.92517185,-39.57386017,0.1243192852,68.41919402,31.00952339,4.479885101,4.535439968
SL,raw,0,0,0.001,23,none,0.7429354167,0.9991666675,0.9991666675,0,0,-35.09275436,14.82554436,-50.80902481,0.1052925661,61.8224537,0,0,-21.40692711,10.77130985,-41.85943985,0.1186001003,64.95348304,31.69444656,4.567421436,4.566642761
SL,raw,0,0,0.001,24,none,0.7182416667,0.9966666698,0.9966666698,0,0,-33.12469482,14.30255318,-59.98139954,0.1069040224,64.28938812,0,0,-21.79317665,10.55566692,-41.32925797,0.1237830669,66.91288129,32.25248337,4.61653471,4.56441164
SL,raw,0,0,0.001,25,none,0.7316145833,1,1,0,0,-32.7968483,14.6896801,-56.26264954,0.106896922,63.55869844,0,0,-21.8979454,10.88739014,-39.74295044,0.1219808385,67.20983203,32.83582306,4.628676414,4.544613361
SL,raw,0,0,0.001,26,none,0.73204375,0.8416666985,0.8416666985,0,0,-34.05116272,15.09457207,-59.22166061,0.1065975279,62.55502394,0,0,-26.79356194,11.40551662,-59.69766235,0.1132144183,59.70616388,33.43962097,4.660608292,4.474693775
SL,raw,0,0,0.001,27,none,0.7376104167,0.8708333373,0.8708333373,0,0,-35.57779312,15.46269226,-59.35907745,0.1076162457,63.40028437,0,0,-25.88124466,12.0461607,-51.75037384,0.1161326915,62.81060235,33.99825668,4.725551605,4.377054691
SL,raw,0,0,0.001,28,none,0.7472541667,0.9933333397,0.9933333397,0,0,-33.48381424,15.32034016,-61.33442688,0.1081552505,65.12592046,0,0,-23.70804024,11.66021347,-41.11336899,0.1201759726,67.21877567,34.61191177,4.750009537,4.431727886
SL,raw,0,0,0.001,29,none,0.71826875,0.9916666746,0.9916666746,0,0,-33.62242889,15.32428455,-61.83200073,0.1083288714,66.81680305,0,0,-23.52932358,11.43322849,-42.49561691,0.1212299392,67.84450175,35.07941055,4.808834076,4.438105583
SL,raw,0,0,0.001,30,none,0.7216604167,0.9975000024,0.9975000024,0,0,-34.76033401,15.28067112,-53.61179352,0.1069446877,63.88469792,0,0,-23.73832321,11.46147728,-42.01526642,0.1172515154,65.86033355,35.7181015,4.818027973,4.528165817
SL,raw,0,0,0.001,31,none,0.7405208333,0.9966666698,0.9966666698,0,0,-35.94583893,15.3173914,-61.72097778,0.1062958315,63.03577733,0,0,-24.61528778,11.86915493,-44.22245407,0.1183581725,66.42710114,36.22093201,4.837526321,4.427158833
SL,raw,0,0,0.001,32,none,0.7270041667,0.9750000238,0.9750000238,0,0,-34.27606201,15.45328426,-58.51899719,0.1086596474,65.75756305,0,0,-25.80043411,12.3513937,-43.48674774,0.1184875369,67.41218555,36.72558594,4.914226532,4.389026165
