arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit,switch_step,pin_step,pf_disp_l1,pf_disp_l2,pf_disp_l3,pf_P_same,pf_mv_same,pf_mv_restored
LR,std,0,0,0.001,1,none,0.9846354167,1,1,0,0,-0.8124013543,12.19732857,-5.920972824,0.5207501054,71.63810389,0,0,-1.955489516,7.814180374,-7.157939434,0.4487501085,72.92861421,2.589282751,0.8314031363,1.012355685,1600,1700,1200,1,1199,2200,2200,0,0,0,1,1,1
LR,std,0,0,0.001,2,none,0.9814458333,1,1,0,0,-1.222546697,17.71780586,-8.347955704,0.511750102,72.12443688,0,0,-10.4440012,12.56186962,-21.99472618,0.2702499926,78.78105905,3.782688618,1.019071698,1.153857231,1900,2300,1200,1,1200,2800,2800,0,0,0,1,1,1
LR,std,0,0,0.001,3,none,0.9826020833,1,1,0,0,-2.058074951,20.19580269,-9.969258308,0.5110000968,74.56317088,0,0,-16.36169052,15.74838257,-29.54822922,0.2162500024,81.20993473,4.661055088,1.143331528,1.171804428,1400,2200,1200,1,1200,2700,2700,0,0,0,1,1,1
LR,std,0,0,0.001,4,none,0.98273125,1,1,0,0,-2.443630695,21.98739052,-9.654370308,0.4990001023,75.40072986,0,0,-19.04655647,16.61894417,-36.63362122,0.1952499747,79.52205338,5.1322999,1.197874188,1.129579067,1500,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,5,none,0.9830854167,1,1,0,0,-3.125715494,23.3259697,-11.86657524,0.4990001023,75.8416908,0,0,-21.76160622,18.37069893,-35.11551666,0.1922499686,79.20225522,5.650594711,1.25090909,1.087882042,1600,1800,1200,1,1198,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,6,none,0.9816770833,1,1,0,0,-3.490175962,25.2501564,-10.41810703,0.4922500849,76.29811393,0,0,-25.88409424,20.70473289,-43.01242828,0.1704999655,79.39176372,6.206186295,1.33368516,1.05614686,1500,2100,1200,1,1200,2600,2600,0,0,0,1,1,1
LR,std,0,0,0.001,7,none,0.9828645833,1,1,0,0,-3.189752579,26.94955826,-12.26213455,0.5035000443,75.9848754,0,0,-26.50371552,21.93790817,-52.46237946,0.1839999557,78.92264236,6.527466297,1.359864831,0.9848026037,1700,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,8,none,0.9827395833,1,1,0,0,-4.223957062,27.17109489,-13.37357903,0.4892500937,76.61200798,0,0,-27.41847801,22.55993843,-52.95974731,0.1719999611,78.50913831,6.86044836,1.389069319,0.939599812,1500,1800,1200,1,1199,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,9,none,0.98339375,1,1,0,0,-4.308178425,27.54260063,-14.50206947,0.4967500865,77.301499,0,0,-29.27651787,23.56833267,-53.09307098,0.1817499548,78.62557324,7.097829342,1.409713268,0.901509285,1400,1500,1200,1,1197,2000,2000,0,0,0,1,1,1
LR,std,0,0,0.001,10,none,0.9824041667,1,1,0,0,-3.549064636,27.42916107,-14.3035841,0.4937501252,77.31676179,0,0,-31.6314106,24.09794426,-49.51706314,0.1727499515,80.4193231,7.392279148,1.442249298,0.8790085316,1500,1700,1200,1,1199,2200,2200,0,0,0,1,1,1
