effect,t,seed,diff
state_at_W_end,10,0,100.0
state_at_W_end,10,1,0.0
state_at_W_end,10,2,-500.0
state_at_W_end,10,3,-1000.0
state_at_W_end,10,4,-200.0
state_at_W_end,10,5,-200.0
state_at_W_end,10,6,-100.0
state_at_W_end,10,7,100.0
state_at_W_end,10,8,0.0
state_at_W_end,10,9,-100.0
state_at_W_end,20,0,200.0
state_at_W_end,20,1,200.0
state_at_W_end,20,2,0.0
state_at_W_end,20,3,0.0
state_at_W_end,20,4,-300.0
state_at_W_end,20,5,-200.0
state_at_W_end,20,6,0.0
state_at_W_end,20,7,-200.0
state_at_W_end,20,8,-400.0
state_at_W_end,20,9,-100.0
state_at_W_end,30,0,-200.0
state_at_W_end,30,1,-100.0
state_at_W_end,30,2,-500.0
state_at_W_end,30,3,-600.0
state_at_W_end,30,4,-100.0
state_at_W_end,30,5,-300.0
state_at_W_end,30,6,0.0
state_at_W_end,30,7,-200.0
state_at_W_end,30,8,900.0
state_at_W_end,30,9,100.0
state_at_W_end,40,0,100.0
state_at_W_end,40,1,-300.0
state_at_W_end,40,2,-700.0
state_at_W_end,40,3,1100.0
state_at_W_end,40,4,-200.0
state_at_W_end,40,5,400.0
state_at_W_end,40,6,600.0
state_at_W_end,40,7,-400.0
state_at_W_end,40,8,200.0
state_at_W_end,40,9,400.0
state_at_W_end,48,0,-100.0
state_at_W_end,48,1,-300.0
state_at_W_end,48,2,200.0
state_at_W_end,48,3,-100.0
state_at_W_end,48,4,-200.0
state_at_W_end,48,5,200.0
state_at_W_end,48,6,100.0
state_at_W_end,48,7,-300.0
state_at_W_end,48,8,-400.0
state_at_W_end,48,9,200.0
state_at_W_sw,10,0,200.0
state_at_W_sw,10,1,-200.0
state_at_W_sw,10,2,-200.0
state_at_W_sw,10,3,-300.0
state_at_W_sw,10,4,-300.0
state_at_W_sw,10,5,-300.0
state_at_W_sw,10,6,-400.0
state_at_W_sw,10,7,0.0
state_at_W_sw,10,8,-300.0
state_at_W_sw,10,9,-200.0
state_at_W_sw,20,0,-200.0
state_at_W_sw,20,1,-300.0
state_at_W_sw,20,2,0.0
state_at_W_sw,20,3,100.0
state_at_W_sw,20,4,100.0
state_at_W_sw,20,5,-500.0
state_at_W_sw,20,6,0.0
state_at_W_sw,20,7,100.0
state_at_W_sw,20,8,200.0
state_at_W_sw,20,9,-300.0
state_at_W_sw,30,0,-900.0
state_at_W_sw,30,1,400.0
state_at_W_sw,30,2,-900.0
state_at_W_sw,30,3,0.0
state_at_W_sw,30,4,-300.0
state_at_W_sw,30,5,100.0
state_at_W_sw,30,6,0.0
state_at_W_sw,30,7,-200.0
state_at_W_sw,30,8,300.0
state_at_W_sw,30,9,-100.0
state_at_W_sw,40,0,-300.0
state_at_W_sw,40,1,-200.0
state_at_W_sw,40,2,-400.0
state_at_W_sw,40,3,200.0
state_at_W_sw,40,4,-200.0
state_at_W_sw,40,5,-100.0
state_at_W_sw,40,6,200.0
state_at_W_sw,40,7,-500.0
state_at_W_sw,40,8,-100.0
state_at_W_sw,40,9,-500.0
state_at_W_sw,48,0,-200.0
state_at_W_sw,48,1,300.0
state_at_W_sw,48,2,100.0
state_at_W_sw,48,3,-200.0
state_at_W_sw,48,4,-200.0
state_at_W_sw,48,5,400.0
state_at_W_sw,48,6,0.0
state_at_W_sw,48,7,200.0
state_at_W_sw,48,8,-100.0
state_at_W_sw,48,9,300.0
weights_at_S_sw,10,0,700.0
weights_at_S_sw,10,1,400.0
weights_at_S_sw,10,2,500.0
weights_at_S_sw,10,3,1200.0
weights_at_S_sw,10,4,400.0
weights_at_S_sw,10,5,400.0
weights_at_S_sw,10,6,200.0
weights_at_S_sw,10,7,400.0
weights_at_S_sw,10,8,200.0
weights_at_S_sw,10,9,200.0
weights_at_S_sw,20,0,500.0
weights_at_S_sw,20,1,400.0
weights_at_S_sw,20,2,600.0
weights_at_S_sw,20,3,300.0
weights_at_S_sw,20,4,800.0
weights_at_S_sw,20,5,300.0
weights_at_S_sw,20,6,400.0
weights_at_S_sw,20,7,800.0
weights_at_S_sw,20,8,900.0
weights_at_S_sw,20,9,600.0
weights_at_S_sw,30,0,0.0
weights_at_S_sw,30,1,500.0
weights_at_S_sw,30,2,200.0
weights_at_S_sw,30,3,800.0
weights_at_S_sw,30,4,800.0
weights_at_S_sw,30,5,700.0
weights_at_S_sw,30,6,600.0
weights_at_S_sw,30,7,1500.0
weights_at_S_sw,30,8,400.0
weights_at_S_sw,30,9,1000.0
weights_at_S_sw,40,0,400.0
weights_at_S_sw,40,1,500.0
weights_at_S_sw,40,2,1000.0
weights_at_S_sw,40,3,500.0
weights_at_S_sw,40,4,600.0
weights_at_S_sw,40,5,-200.0
weights_at_S_sw,40,6,700.0
weights_at_S_sw,40,7,700.0
weights_at_S_sw,40,8,500.0
weights_at_S_sw,40,9,700.0
weights_at_S_sw,48,0,800.0
weights_at_S_sw,48,1,900.0
weights_at_S_sw,48,2,300.0
weights_at_S_sw,48,3,600.0
weights_at_S_sw,48,4,700.0
weights_at_S_sw,48,5,700.0
weights_at_S_sw,48,6,700.0
weights_at_S_sw,48,7,800.0
weights_at_S_sw,48,8,1000.0
weights_at_S_sw,48,9,700.0
weights_at_S_end,10,0,600.0
weights_at_S_end,10,1,600.0
weights_at_S_end,10,2,200.0
weights_at_S_end,10,3,500.0
weights_at_S_end,10,4,500.0
weights_at_S_end,10,5,500.0
weights_at_S_end,10,6,500.0
weights_at_S_end,10,7,500.0
weights_at_S_end,10,8,500.0
weights_at_S_end,10,9,300.0
weights_at_S_end,20,0,900.0
weights_at_S_end,20,1,900.0
weights_at_S_end,20,2,600.0
weights_at_S_end,20,3,200.0
weights_at_S_end,20,4,400.0
weights_at_S_end,20,5,600.0
weights_at_S_end,20,6,400.0
weights_at_S_end,20,7,500.0
weights_at_S_end,20,8,300.0
weights_at_S_end,20,9,800.0
weights_at_S_end,30,0,700.0
