act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,l2,0.001,3,0,W1,2,78400,33.57720459,5.794584074,5.794584074,1,1,0,0.03357720459,0,0,1.491127425e-17,0.03357720459
R,l2,0.001,3,0,b1,1,100,0.04716931331,0.2171849749,0.2171849749,1,1,0,4.716931331e-05,0,0,0,4.716931331e-05
R,l2,0.001,3,0,W2,2,10000,33.29890077,5.770519974,5.770519974,1,1,0,0.03329890077,0,0,0,0.03329890077
R,l2,0.001,3,0,b2,1,100,0.342991083,0.5856544058,0.5856544058,1,1,0,0.000342991083,0,0,0,0.000342991083
R,l2,0.001,3,0,W3,2,1000,3.34721826,1.829540451,1.829540451,1,1,0,0.00334721826,0,0,0,0.00334721826
R,l2,0.001,3,0,b3,1,10,0.03283215297,0.1811964486,0.1811964486,1,1,0,3.283215297e-05,0,0,0,3.283215297e-05
R,l2,0.001,3,1,W1,2,78400,117.1409807,10.8231687,5.794584074,1.867807691,0.03350014148,12.10438811,0.1171409807,0.1465162116,0.02528666334,0.1212295482,0.1171409807
R,l2,0.001,3,1,b1,1,100,0.4148890902,0.6441188479,0.2171849749,2.965761551,0.2022770564,0.6367606623,0.0004148890902,0.000405464141,0.0001822725319,0.0002231916091,0.0004148890902
R,l2,0.001,3,1,W2,2,10000,78.52322149,8.861332941,5.770519974,1.535621223,0.1872836416,9.626464148,0.07852322149,0.092668812,0.009553124799,0.0831156872,0.07852322149
R,l2,0.001,3,1,b2,1,100,0.2580222413,0.5079588973,0.5856544058,0.867335569,0.3181659839,0.6416478527,0.0002580222413,0.0004117119669,6.036592043e-06,0.0004056753748,0.0002580222413
R,l2,0.001,3,1,W3,2,1000,74.70526639,8.643220834,1.829540451,4.724257849,0.6457982448,7.591331346,0.07470526639,0.0576283116,0.04642624037,0.01120207124,0.07470526639
R,l2,0.001,3,1,b3,1,10,0.005388436976,0.07340597371,0.1811964486,0.4051181703,0.4227275712,0.1642415117,5.388436976e-06,2.697527417e-05,1.161878647e-05,1.53564877e-05,5.388436976e-06
R,l2,0.001,3,2,W1,2,78400,158.4889602,12.58923986,5.794584074,2.172587315,0.006292078381,13.82563409,0.1584889602,0.191148158,0.0461673472,0.1449808107,0.1584889602
R,l2,0.001,3,2,b1,1,100,0.4647815189,0.6817488679,0.2171849749,3.139024089,0.1990856755,0.6730492909,0.0004647815189,0.000452995348,0.0002158196107,0.0002371757372,0.0004647815189
R,l2,0.001,3,2,W2,2,10000,91.0983974,9.544548046,5.770519974,1.654018717,0.1054853544,10.61968283,0.0910983974,0.1127776634,0.01424328789,0.09853437546,0.0910983974
R,l2,0.001,3,2,b2,1,100,0.3497498841,0.591396554,0.5856544058,1.00980467,0.4205807525,0.6335624021,0.0003497498841,0.0004014013174,3.297226656e-08,0.0004013683451,0.0003497498841
R,l2,0.001,3,2,W3,2,1000,81.95140611,9.052701592,1.829540451,4.948074031,0.5840300913,8.121137863,0.08195140611,0.06595288019,0.05217405687,0.01377882332,0.08195140611
R,l2,0.001,3,2,b3,1,10,0.007371865978,0.08585957127,0.1811964486,0.4738479808,-0.1978044581,0.2153106701,7.371865978e-06,4.635868464e-05,9.089120171e-06,3.726956447e-05,7.371865978e-06
R,l2,0.001,3,3,W1,2,78400,132.2422994,11.49966519,5.794584074,1.984554032,0.0008067097553,12.87291702,0.1322422994,0.1657119926,0.03254795052,0.133164042,0.1322422994
R,l2,0.001,3,3,b1,1,100,0.4360378911,0.6603316523,0.2171849749,3.040411302,0.006198237926,0.6938511186,0.0004360378911,0.0004814293748,0.0001963789777,0.0002850503971,0.0004360378911
R,l2,0.001,3,3,W2,2,10000,80.5992657,8.977709379,5.770519974,1.555788633,0.06312359175,10.36136084,0.0805992657,0.1073577984,0.01028606388,0.09707173452,0.0805992657
R,l2,0.001,3,3,b2,1,100,0.9923926995,0.9961890882,0.5856544058,1.700984537,0.300664747,0.9922472517,0.0009923926995,0.0009845546086,0.0001685387255,0.0008160158831,0.0009923926995
R,l2,0.001,3,3,W3,2,1000,77.85770487,8.823701314,1.829540451,4.822905834,0.5088245064,8.048396798,0.07785770487,0.06477669102,0.04891828618,0.01585840484,0.07785770487
R,l2,0.001,3,3,b3,1,10,0.03779845261,0.1944182414,0.1811964486,1.072969382,0.1643619074,0.2430027934,3.779845261e-05,5.905035758e-05,1.748158073e-07,5.887554178e-05,3.779845261e-05
R,l2,0.001,3,4,W1,2,78400,138.0310924,11.74866343,5.794584074,2.027524889,0.001945927193,13.08981837,0.1380310924,0.1713433449,0.03545106099,0.1358922839,0.1380310924
R,l2,0.001,3,4,b1,1,100,0.2341086459,0.4838477507,0.2171849749,2.227814106,0.008136120195,0.5287419026,0.0002341086459,0.0002795679995,7.1109036e-05,0.0002084589635,0.0002341086459
R,l2,0.001,3,4,W2,2,10000,84.28632065,9.180758174,5.770519974,1.590975894,0.04112939532,10.64083342,0.08428632065,0.1132273359,0.01162972458,0.1015976113,0.08428632065
R,l2,0.001,3,4,b2,1,100,0.7759197912,0.8808630945,0.5856544058,1.504066367,0.2683005475,0.9176537341,0.0007759197912,0.0008420883757,8.714816989e-05,0.0007549402058,0.0007759197912
R,l2,0.001,3,4,W3,2,1000,80.6582764,8.98099529,1.829540451,4.908880417,0.4637616307,8.292482897,0.0806582764,0.06876527261,0.05114330632,0.01762196629,0.0806582764
R,l2,0.001,3,4,b3,1,10,0.01959890404,0.1399960858,0.1811964486,0.772620473,0.1068984668,0.2168126249,1.959890404e-05,4.700771433e-05,1.697469891e-06,4.531024444e-05,1.959890404e-05
R,l2,0.001,3,5,W1,2,78400,158.4521616,12.58777826,5.794584074,2.172335081,0.005528117469,13.82833736,0.1584521616,0.191222914,0.04614748729,0.1450754267,0.1584521616
R,l2,0.001,3,5,b1,1,100,0.272485938,0.5220018563,0.2171849749,2.403489728,-0.09915209756,0.5849249424,0.000272485938,0.0003421371883,9.291333118e-05,0.0002492238571,0.000272485938
R,l2,0.001,3,5,W2,2,10000,90.41407808,9.508631767,5.770519974,1.64779462,0.03405288069,10.95335715,0.09041407808,0.1199760328,0.01397347978,0.106002553,0.09041407808
R,l2,0.001,3,5,b2,1,100,0.9700836083,0.9849282249,0.5856544058,1.681756707,0.2254184059,1.026167431,0.0009700836083,0.001053019596,0.0001594195827,0.000893600013,0.0009700836083
R,l2,0.001,3,5,W3,2,1000,83.35304183,9.129788707,1.829540451,4.990208718,0.4272853454,8.510352185,0.08335304183,0.07242609431,0.0532936246,0.01913246971,0.08335304183
R,l2,0.001,3,5,b3,1,10,0.01436430167,0.1198511647,0.1811964486,0.6614432325,0.06153169585,0.2110069561,1.436430167e-05,4.452393552e-05,3.763243857e-06,4.076069167e-05,1.436430167e-05
R,l2,0.001,3,6,W1,2,78400,158.5963053,12.5935025,5.794584074,2.173322942,0.00370272561,13.8431609,0.1585963053,0.1916331037,0.04622529183,0.1454078119,0.1585963053
R,l2,0.001,3,6,b1,1,100,0.335471527,0.5791990391,0.2171849749,2.666846726,-0.2305083266,0.6638024252,0.000335471527,0.0004406336597,0.0001310541827,0.000309579477,0.000335471527
R,l2,0.001,3,6,W2,2,10000,88.97117619,9.432453349,5.770519974,1.634593311,0.02996848039,10.90906497,0.08897117619,0.1190076986,0.01340975605,0.1055979425,0.08897117619
R,l2,0.001,3,6,b2,1,100,1.106879563,1.052083439,0.5856544058,1.796423674,0.1698392452,1.113811144,0.001106879563,0.001240575264,0.0002175560434,0.001023019221,0.001106879563
R,l2,0.001,3,6,W3,2,1000,82.43800981,9.079537974,1.829540451,4.962742404,0.4112492233,8.492490341,0.08243800981,0.07212239219,0.05256246408,0.0195599281,0.08243800981
R,l2,0.001,3,6,b3,1,10,0.01331618031,0.1153957552,0.1811964486,0.636854398,0.1230371208,0.2024922045,1.331618031e-05,4.100309289e-05,4.329731252e-06,3.667336164e-05,1.331618031e-05
R,l2,0.001,3,7,W1,2,78400,146.2529123,12.09350703,5.794584074,2.087036253,0.003479797985,13.39187852,0.1462529123,0.1793424104,0.03967643044,0.13966598,0.1462529123
R,l2,0.001,3,7,b1,1,100,0.3560755734,0.5967206829,0.2171849749,2.747522858,0.00902733038,0.6331706128,0.0003560755734,0.0004009050249,0.0001440473537,0.0002568576713,0.0003560755734
R,l2,0.001,3,7,W2,2,10000,83.76177428,9.152145884,5.770519974,1.586017538,0.01908112619,10.72591375,0.08376177428,0.1150452257,0.0114353938,0.1036098319,0.08376177428
R,l2,0.001,3,7,b2,1,100,0.9555388087,0.9775166539,0.5856544058,1.669101512,0.163883299,1.053986621,0.0009555388087,0.001110887797,0.0001535560215,0.0009573317751,0.0009555388087
R,l2,0.001,3,7,W3,2,1000,79.35140175,8.907940376,1.829540451,4.868949672,0.391783989,8.362324441,0.07935140175,0.06992847005,0.05010374551,0.01982472455,0.07935140175
R,l2,0.001,3,7,b3,1,10,0.01878817872,0.1370699774,0.1811964486,0.7564716557,0.4861679781,0.1657432327,1.878817872e-05,2.747081917e-05,1.947145453e-06,2.552367372e-05,1.878817872e-05
R,l2,0.001,3,8,W1,2,78400,129.4941843,11.37955115,5.794584074,1.963825359,-0.004814777765,12.7947786,0.1294941843,0.1637063595,0.03119185721,0.1325145023,0.1294941843
R,l2,0.001,3,8,b1,1,100,0.421421484,0.6491698422,0.2171849749,2.989018198,0.06611107326,0.6707822339,0.000421421484,0.0004499488053,0.0001866109256,0.0002633378798,0.000421421484
R,l2,0.001,3,8,W2,2,10000,80.02104081,8.94544805,5.770519974,1.550197918,0.01988725305,10.54830726,0.08002104081,0.1112667861,0.01008016829,0.1011866178,0.08002104081
R,l2,0.001,3,8,b2,1,100,0.7282476228,0.8533742572,0.5856544058,1.457129407,0.197847106,0.9346002918,0.0007282476228,0.0008734777055,7.167391884e-05,0.0008018037867,0.0007282476228
R,l2,0.001,3,8,W3,2,1000,77.28746002,8.791328683,1.829540451,4.805211429,0.3601696343,8.309553274,0.07728746002,0.06904867562,0.0484664954,0.02058218022,0.07728746002
R,l2,0.001,3,8,b3,1,10,0.01190615876,0.1091153461,0.1811964486,0.6021936246,-0.1453575413,0.2246911896,1.190615876e-05,5.048613068e-05,5.195685329e-06,4.529044535e-05,1.190615876e-05
R,l2,0.001,3,9,W1,2,78400,122.5279039,11.06923231,5.794584074,1.910272104,-0.0004020095237,12.49626663,0.1225279039,0.1561566796,0.02782191401,0.1283347656,0.1225279039
R,l2,0.001,3,9,b1,1,100,0.358527169,0.5987713829,0.2171849749,2.75696504,0.05682883094,0.6252327315,0.000358527169,0.0003909159685,0.0001456081868,0.0002453077817,0.000358527169
R,l2,0.001,3,9,W2,2,10000,81.24353332,9.013519474,5.770519974,1.561994329,0.007024584807,10.6682566,0.08124353332,0.1138116989,0.01051704576,0.1032946532,0.08124353332
