act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,l2,0.001,0.001,5,1,0.949425,1,1,0.2800000012,0.2800000012,-0.0003863878082,0.7392359376,-0.5677694678,0.4008333385,48.67653119,0.1199999973,0.1199999973,0.6232206225,0.3788131475,-0.0002925322915,0.9574999809,16.40050359,1.29630053,0.9245420694,2.675004482,0.2741558805,0.2741558805,0.3021159364,0.0827568081
R,l2,0.001,0.001,5,2,0.9478354167,1,1,0.3199999928,0.3199999928,-0.214087218,0.8105348945,-1.055754185,0.2583333254,41.91734262,0.1199999973,0.1199999973,0.6001226306,0.3565826416,-0.02589445189,0.9683333039,14.40960676,1.299973845,0.9675252438,2.807085514,0.3103362431,0.3103362431,0.3518248239,0.1020378762
R,l2,0.001,0.001,5,3,0.948225,1,1,0.4099999964,0.4099999964,-0.2664984763,0.7850067616,-1.226087451,0.2683333457,40.5241307,0.1000000015,0.1000000015,0.5708171725,0.3510591686,-0.04520685226,0.9558333158,15.03207367,1.303477407,0.9383036494,2.826834202,0.3053020043,0.3053020043,0.3536438787,0.09935499044
R,l2,0.001,0.001,5,4,0.9529791667,1,1,0.2899999917,0.2899999917,-0.1968998015,0.7371106148,-0.8756324053,0.2708333433,40.03621129,0.07999999821,0.07999999821,0.5241884589,0.3202930689,-0.06553231925,0.9641666412,12.78147454,1.157068133,0.8707253337,2.767970562,0.293202835,0.293202835,0.3466810414,0.09335249851
R,l2,0.001,0.001,5,5,0.9483875,1,1,0.3100000024,0.3100000024,-0.1601442695,0.7633345127,-1.170098424,0.2649999857,50.29123746,0.05000000075,0.05000000075,0.3754722774,0.3176562488,-4.120583253e-05,0.9175000191,15.64822137,1.164671779,0.9108502865,2.763315201,0.2803845928,0.2803845928,0.3368061492,0.08701774141
R,l2,0.001,0.001,5,6,0.95270625,1,1,0.2599999905,0.2599999905,-0.1335082203,0.7342781425,-0.7899155021,0.287499994,50.31749637,0.05000000075,0.05000000075,0.3735327125,0.2974491119,-2.744542826e-06,0.9108333588,15.60347227,1.172003269,0.9044299126,2.793050528,0.2824555241,0.2824555241,0.3406905987,0.0883980883
R,l2,0.001,0.001,5,7,0.9430145833,1,1,0.3400000036,0.3400000036,-0.05849207565,0.7008629441,-0.8759115338,0.2191666663,45.4783621,0.009999999776,0.009999999776,0.3865315616,0.3056646287,-1.438671404e-07,0.9191666842,15.15180631,1.009622455,0.9046458006,2.836569548,0.2876110177,0.2876110177,0.3469983666,0.09166753199
R,l2,0.001,0.001,5,8,0.94598125,1,1,0.3300000131,0.3300000131,-0.1302077025,0.7306039333,-0.9066798687,0.2216666639,41.12643262,0.0700000003,0.0700000003,0.4452208579,0.3138150275,-1.749830517e-06,0.9516666532,13.31791627,1.088268399,0.8341706395,2.792909861,0.2879379765,0.2879379765,0.3493442447,0.09076114197
R,l2,0.001,0.001,5,9,0.9427854167,1,1,0.2899999917,0.2899999917,-0.1904102117,0.734596014,-1.825235009,0.2741666734,50.16561983,0.05000000075,0.05000000075,0.302672714,0.2945843041,-0.0003574850271,0.8999999762,15.93070256,1.203062057,0.843593359,2.791839361,0.293794559,0.293794559,0.354525091,0.09374299734
R,l2,0.001,0.001,5,10,0.9419729167,1,1,0.349999994,0.349999994,-0.2076439112,0.8541325331,-3.563660383,0.2358333319,42.91467886,0.1700000018,0.1700000018,0.427423507,0.3381801248,-0.1174215153,0.9141666889,15.99216398,1.400073171,0.8920730948,2.829397917,0.3250994658,0.3250994658,0.3874541929,0.109735381
