act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,l2init,0.001,0,0,W1,2,78400,33.19778038,5.761751502,5.761751502,1,1,0,0.03319778038,0,0,1.474277606e-17,0
R,l2init,0.001,0,0,b1,1,100,0.0445198491,0.2109972727,0.2109972727,1,1,0,4.45198491e-05,0,0,0,0
R,l2init,0.001,0,0,W2,2,10000,33.40909083,5.78005976,5.78005976,1,1,0,0.03340909083,0,0,0,0
R,l2init,0.001,0,0,b2,1,100,0.3121393494,0.5586943256,0.5586943256,1,1,0,0.0003121393494,0,0,0,0
R,l2init,0.001,0,0,W3,2,1000,3.260951522,1.805810489,1.805810489,1,1,0,0.003260951522,0,0,0,0
R,l2init,0.001,0,0,b3,1,10,0.04022925306,0.2005723138,0.2005723138,1,1,0,4.022925306e-05,0,0,0,0
R,l2init,0.001,0,1,W1,2,78400,187.9388429,13.70907885,5.761751502,2.379324906,0.4514773541,12.23984317,0.1879388429,0.1498137608,0.06316001196,0.08665374883,0.1498137608
R,l2init,0.001,0,1,b1,1,100,0.3133306714,0.5597594764,0.2109972727,2.652922804,0.1942255721,0.5585440362,0.0003133306714,0.0003119714404,0.0001216350747,0.0001903363657,0.0003119714404
R,l2init,0.001,0,1,W2,2,10000,123.8597036,11.12922745,5.78005976,1.925451969,0.6971265063,8.220696119,0.1238597036,0.06757984469,0.02861359495,0.03896624974,0.06757984469
R,l2init,0.001,0,1,b2,1,100,0.8756789641,0.9357771979,0.5586943256,1.674935927,0.6799139253,0.6905664902,0.0008756789641,0.0004768820773,0.0001421914926,0.0003346905847,0.0004768820773
R,l2init,0.001,0,1,W3,2,1000,81.72198751,9.040021433,1.805810489,5.006074274,0.7956401191,7.681535036,0.08172198751,0.05900598051,0.05233380798,0.006672172531,0.05900598051
R,l2init,0.001,0,1,b3,1,10,0.03943086506,0.1985720652,0.2005723138,0.9900272944,0.9311212834,0.07409866469,3.943086506e-05,5.490612109e-06,4.000994633e-09,5.486611115e-06,5.490612109e-06
R,l2init,0.001,0,2,W1,2,78400,153.7456021,12.39941943,5.761751502,2.152022596,0.4644725985,10.98077104,0.1537456021,0.1205773327,0.04405863546,0.07651869727,0.1205773327
R,l2init,0.001,0,2,b1,1,100,0.3219217834,0.5673815148,0.2109972727,2.689046676,0.2167576364,0.5608412777,0.0003219217834,0.0003145429388,0.000127009728,0.0001875332108,0.0003145429388
R,l2init,0.001,0,2,W2,2,10000,122.8182541,11.08233974,5.78005976,1.917339993,0.6843800514,8.279447186,0.1228182541,0.06854924571,0.02811417297,0.04043507274,0.06854924571
R,l2init,0.001,0,2,b2,1,100,0.6906605747,0.8310599104,0.5586943256,1.487503761,0.7448514913,0.5577797344,0.0006906605747,0.0003111182321,7.418301181e-05,0.0002369352203,0.0003111182321
R,l2init,0.001,0,2,W3,2,1000,88.05602944,9.383817423,1.805810489,5.19645748,0.7740162102,8.067524941,0.08805602944,0.06508495868,0.0574261891,0.007658769583,0.06508495868
R,l2init,0.001,0,2,b3,1,10,0.03068074753,0.1751592062,0.2005723138,0.8732970314,0.9155027914,0.08113539701,3.068074753e-05,6.582952648e-06,6.458260364e-07,5.937126612e-06,6.582952648e-06
R,l2init,0.001,0,3,W1,2,78400,149.8560959,12.24157245,5.761751502,2.124626937,0.4767749908,10.76091224,0.1498560959,0.1157972323,0.04198807946,0.07380915286,0.1157972323
R,l2init,0.001,0,3,b1,1,100,0.3086093183,0.5555261634,0.2109972727,2.63285945,0.1257593088,0.5689002874,0.0003086093183,0.000323647537,0.0001187001565,0.0002049473805,0.000323647537
R,l2init,0.001,0,3,W2,2,10000,116.9021762,10.81213097,5.78005976,1.870591555,0.6894210381,8.008798787,0.1169021762,0.06414085801,0.02532174068,0.03881911733,0.06414085801
R,l2init,0.001,0,3,b2,1,100,0.7403292174,0.8604238592,0.5586943256,1.540061926,0.6785219084,0.6325493685,0.0007403292174,0.0004001187036,9.104071146e-05,0.0003090779922,0.0004001187036
R,l2init,0.001,0,3,W3,2,1000,83.24801812,9.124035189,1.805810489,5.0525984,0.7585826032,7.84294162,0.08324801812,0.06151173326,0.05355641275,0.007955320504,0.06151173326
R,l2init,0.001,0,3,b3,1,10,0.04167190762,0.2041369825,0.2005723138,1.017772486,0.9146042885,0.08369963941,4.167190762e-05,7.005629637e-06,1.27068629e-08,6.992922774e-06,7.005629637e-06
R,l2init,0.001,0,4,W1,2,78400,155.634271,12.47534653,5.761751502,2.165200378,0.4638971141,11.05180278,0.155634271,0.1221423446,0.04507235819,0.07706998642,0.1221423446
R,l2init,0.001,0,4,b1,1,100,0.3952423266,0.6286830096,0.2109972727,2.979578842,0.3542691895,0.5880257443,0.0003952423266,0.000345774276,0.0001744613748,0.0001713129012,0.000345774276
R,l2init,0.001,0,4,W2,2,10000,126.8503182,11.26278466,5.78005976,1.948558514,0.6729701763,8.522867652,0.1268503182,0.07263927302,0.03006027228,0.04257900074,0.07263927302
R,l2init,0.001,0,4,b2,1,100,0.5857694643,0.7653557763,0.5586943256,1.369900751,0.7572337817,0.5003224867,0.0005857694643,0.0002503225907,4.270895522e-05,0.0002076136355,0.0002503225907
R,l2init,0.001,0,4,W3,2,1000,90.17186752,9.495886874,1.805810489,5.258517952,0.7724644144,8.181731574,0.09017186752,0.06694073155,0.05913727481,0.007803456741,0.06694073155
R,l2init,0.001,0,4,b3,1,10,0.03729691629,0.1931240956,0.2005723138,0.9628651728,0.8528840677,0.1070170512,3.729691629e-05,1.145264924e-05,5.547595463e-08,1.139717329e-05,1.145264924e-05
R,l2init,0.001,0,5,W1,2,78400,167.1180549,12.92741486,5.761751502,2.243660605,0.4474477467,11.56113945,0.1671180549,0.1336599454,0.05134673134,0.08231321407,0.1336599454
R,l2init,0.001,0,5,b1,1,100,0.3268877643,0.5717409941,0.2109972727,2.709707982,0.4562115573,0.5112110423,0.0003268877643,0.0002613367297,0.0001301360325,0.0001312006973,0.0002613367297
R,l2init,0.001,0,5,W2,2,10000,118.4336886,10.88272432,5.78005976,1.88280481,0.6647739085,8.258965013,0.1184336886,0.06821050309,0.02603718559,0.0421733175,0.06821050309
R,l2init,0.001,0,5,b2,1,100,1.371661286,1.171179442,0.5586943256,2.096279466,0.4799548157,1.02747346,0.001371661286,0.00105570171,0.0003751380182,0.000680563692,0.00105570171
R,l2init,0.001,0,5,W3,2,1000,84.63228583,9.199580742,1.805810489,5.094433108,0.7515638114,7.932353371,0.08463228583,0.06292223,0.05466783856,0.008254391442,0.06292223
R,l2init,0.001,0,5,b3,1,10,0.03342875745,0.1828353288,0.2005723138,0.9115681289,0.8834081811,0.09415860131,3.342875745e-05,8.865842201e-06,3.14600637e-07,8.551241564e-06,8.865842201e-06
R,l2init,0.001,0,6,W1,2,78400,147.422668,12.14177367,5.761751502,2.107306028,0.4712278556,10.70925965,0.147422668,0.1146882422,0.04070468291,0.07398355931,0.1146882422
R,l2init,0.001,0,6,b1,1,100,0.2966637368,0.544668465,0.2109972727,2.581400499,0.291413398,0.5236440157,0.0002966637368,0.0002742030552,0.0001113364646,0.0001628665907,0.0002742030552
R,l2init,0.001,0,6,W2,2,10000,119.8583245,10.94798267,5.78005976,1.894095065,0.6894315573,8.124836343,0.1198583245,0.0660129656,0.02670742718,0.03930553842,0.0660129656
R,l2init,0.001,0,6,b2,1,100,0.5633988169,0.7505989721,0.5586943256,1.343487732,0.7546442192,0.4925544944,0.0005633988169,0.0002426099299,3.682739336e-05,0.0002057825366,0.0002426099299
R,l2init,0.001,0,6,W3,2,1000,85.84917468,9.265482971,1.805810489,5.130927651,0.7546707694,7.991011626,0.08584917468,0.06385626681,0.05564671353,0.008209553283,0.06385626681
R,l2init,0.001,0,6,b3,1,10,0.05071369292,0.2251970091,0.2005723138,1.122772156,0.9467751006,0.07358349333,5.071369292e-05,5.41453049e-06,6.063756202e-07,4.80815487e-06,5.41453049e-06
R,l2init,0.001,0,7,W1,2,78400,184.4579911,13.58153125,5.761751502,2.357187956,0.425438887,12.29112223,0.1844579911,0.1510716858,0.06114895528,0.08992273049,0.1510716858
R,l2init,0.001,0,7,b1,1,100,0.4379916884,0.6618094049,0.2109972727,3.136578006,0.4154096532,0.605389087,0.0004379916884,0.0003664959466,0.0002032315785,0.0001632643681,0.0003664959466
R,l2init,0.001,0,7,W2,2,10000,128.4273402,11.33257871,5.78005976,1.960633485,0.676244211,8.558294576,0.1284273402,0.07324440604,0.03083046669,0.04241393935,0.07324440604
R,l2init,0.001,0,7,b2,1,100,0.5927137351,0.7698790393,0.5586943256,1.377996883,0.7349301612,0.52213638,0.0005927137351,0.0002726263993,4.45989833e-05,0.000228027416,0.0002726263993
R,l2init,0.001,0,7,W3,2,1000,86.51718615,9.301461506,1.805810489,5.150851411,0.7531056448,8.029868836,0.08651718615,0.06447879352,0.05618478417,0.008294009352,0.06447879352
R,l2init,0.001,0,7,b3,1,10,0.04079314785,0.2019731365,0.2005723138,1.006984128,0.9481505039,0.06482924667,4.079314785e-05,4.202831224e-06,1.962304113e-09,4.20086892e-06,4.202831224e-06
R,l2init,0.001,0,8,W1,2,78400,179.9235605,13.41355883,5.761751502,2.328034943,0.4375703256,12.06174021,0.1799235605,0.1454855769,0.05855015538,0.08693542153,0.1454855769
R,l2init,0.001,0,8,b1,1,100,0.4203720999,0.6483610876,0.2109972727,3.072841081,0.3014597934,0.6183939599,0.0004203720999,0.0003824110897,0.0001912871065,0.0001911239831,0.0003824110897
R,l2init,0.001,0,8,W2,2,10000,127.6258299,11.29716026,5.78005976,1.954505789,0.6662976629,8.603415764,0.1276258299,0.0740187628,0.03043839792,0.04358036488,0.0740187628
