act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,none,0,0.001,1,1,0.96944375,1,1,0.2199999988,0.2199999988,-0.6443682313,1.43461597,-3.266945601,0.285833329,63.38600719,0.02999999933,0.02999999933,1.345891714,1.330865979,-1.441497922,0.8558333516,39.42977437,3.477592945,2.112273932,3.687035561,0,1.555550224,1.410464222,0.9825384622
R,none,0,0.001,1,2,0.80474375,0.9116666913,0.9116666913,0.4199999869,0.4199999869,-4.505211353,2.594473839,-8.941137314,0.005833333358,49.66608259,0,0,-0.01960981637,1.644003868,-1.514607906,0.4333333373,60.4682507,4.175060749,3.179058075,9.705982208,0,4.240742772,4.047388236,3.279996973
R,none,0,0.001,1,3,0.1584208333,0.1816666722,0.1816666722,0.6899999976,0.6899999976,-7.768521309,3.01073122,-11.72982788,0,28.04719728,0,0,-0.8566951752,0.4267369509,-1.822252154,0.01916666701,27.16119546,4.218905449,3.30606246,10.34680176,0,4.643125585,4.452722908,3.646408017
R,none,0,0.001,1,4,0.1215229167,0.1316666603,0.1316666603,0.8700000048,0.8700000048,-8.727183342,3.275690556,-14.40987968,0,11.91931454,0.03999999911,0.03999999911,-0.8584338427,0.187835142,-1.912901044,0.004999999888,9.019418481,4.211186886,3.256214857,10.88170815,0,4.803075779,4.613074325,3.797212766
R,none,0,0.001,1,5,0.1104625,0.1183333322,0.1183333322,0.9499999881,0.9499999881,-8.955475807,3.275690556,-15.06472015,0,4.787174894,0.3000000119,0.3000000119,-0.9956264496,0.0730939582,-1.943225265,0.0008333333535,3.219147431,4.211186886,3.285354614,10.81462955,0,4.836762846,4.648688679,3.826256144
R,none,0,0.001,1,6,0.1160020833,0.1199999973,0.1199999973,0.9900000095,0.9900000095,-8.955475807,3.275690556,-16.51640129,0,1,0.5400000215,0.5400000215,-0.9953892231,0.03530217707,-1.942433834,0,1.403868664,4.211186886,3.285000324,10.76455593,0,4.820620659,4.633698275,3.811029302
R,none,0,0.001,1,7,0.1108291667,0.1150000021,0.1150000021,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.7200000286,0.7200000286,-0.9956550002,0,-1.940950274,0,1.000006493,4.211186886,3.280959606,10.72948456,0,4.80538318,4.619688806,3.796597336
R,none,0,0.001,1,8,0.1045958333,0.113333337,0.113333337,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.7400000095,0.7400000095,-0.9956550002,0,-1.940950274,0,1.000005644,4.211186886,3.280959606,10.6914978,0,4.794727458,4.609809539,3.786480281
R,none,0,0.001,1,9,0.10295,0.1116666645,0.1116666645,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.7799999714,0.7799999714,-0.9956550002,0,-1.940950274,0,1.000005938,4.211186886,3.280959606,10.65476322,0,4.780780066,4.597061251,3.773231339
R,none,0,0.001,1,10,0.1108895833,0.1141666695,0.1141666695,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.8399999738,0.8399999738,-0.9956550002,0,-1.940950274,0,1.000004138,4.211186886,3.280959606,10.62477398,0,4.77167763,4.588678238,3.76459359
