act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,none,0,8,0,W1,2,78400,33.57062347,5.794016178,5.794016178,1,1,0,0.03357062347,0,0,-1.490835165e-17,0
R,none,0,8,0,b1,1,100,0.04189745296,0.2046886733,0.2046886733,1,1,0,4.189745296e-05,0,0,0,0
R,none,0,8,0,W2,2,10000,33.57408639,5.794315006,5.794315006,1,1,0,0.03357408639,0,0,0,0
R,none,0,8,0,b2,1,100,0.3438184968,0.5863603814,0.5863603814,1,1,0,0.0003438184968,0,0,-1.526860846e-19,0
R,none,0,8,0,W3,2,1000,3.352380277,1.830950648,1.830950648,1,1,0,0.003352380277,0,0,7.443779541e-19,0
R,none,0,8,0,b3,1,10,0.03608145601,0.1899511938,0.1899511938,1,1,0,3.608145601e-05,0,0,0,0
R,none,0,8,1,W1,2,78400,964.1417274,31.05063168,5.794016178,5.359086119,0.2198773937,30.3083653,0.9641417274,0.9185970072,0.6378966264,0.2807003808,0
R,none,0,8,1,b1,1,100,0.4744070665,0.6887721441,0.2046886733,3.364974393,0.3845158364,0.6386575519,0.0004744070665,0.0004078834685,0.0002343368067,0.0001735466618,0
R,none,0,8,1,W2,2,10000,436.6291586,20.8956732,5.794315006,3.606237007,0.4550296725,18.9741086,0.4366291586,0.3600167971,0.2280510194,0.1319657777,0
R,none,0,8,1,b2,1,100,1.228331223,1.108301052,0.5863603814,1.890136318,0.6105271588,0.8824005252,0.001228331223,0.0007786306869,0.0002724220641,0.0005062086227,0
R,none,0,8,1,W3,2,1000,127.3268261,11.28391892,1.830950648,6.162874421,0.6601718665,10.16860416,0.1273268261,0.1034005105,0.08935860908,0.01404190146,0
R,none,0,8,1,b3,1,10,0.06362724818,0.2522444215,0.1899511938,1.327943334,0.9304392294,0.1026953441,6.362724818e-05,1.05463337e-05,3.880446222e-06,6.665887473e-06,0
R,none,0,8,2,W1,2,78400,2250.298693,47.43731329,5.794016178,8.187293897,0.1457384848,46.94418095,2.250298693,2.203756125,1.734164195,0.4695919299,0
R,none,0,8,2,b1,1,100,0.7704298954,0.8777413602,0.2046886733,4.288177485,0.3037655105,0.8385559424,0.0007704298954,0.0007031760685,0.0004529999194,0.0002501761491,0
R,none,0,8,2,W2,2,10000,1099.543714,33.15936842,5.794315006,5.722741754,0.3244418396,31.75600728,1.099543714,1.008443999,0.7488461483,0.2595978503,0
R,none,0,8,2,b2,1,100,63.90608558,7.994128194,0.5863603814,13.6334726,0.2721480631,7.854842367,0.06390608558,0.06169854862,0.05487502397,0.006823524648,0
R,none,0,8,2,W3,2,1000,971.1254407,31.16288563,1.830950648,17.02005767,0.5754090061,30.14655512,0.9711254407,0.9088147856,0.8603624097,0.0484523759,0
R,none,0,8,2,b3,1,10,0.4599744394,0.6782141546,0.1899511938,3.570465345,0.7277166392,0.555478115,0.0004599744394,0.0003085559363,0.0002384007189,7.01552174e-05,0
R,none,0,8,3,W1,2,78400,2455.281744,49.55079964,5.794016178,8.552064425,0.1401901642,49.07500075,2.455281744,2.408355699,1.914656099,0.4936996001,0
R,none,0,8,3,b1,1,100,1.535103232,1.23899283,0.2046886733,6.053060044,0.2243047388,1.209640369,0.001535103232,0.001463229823,0.001069785088,0.000393444735,0
R,none,0,8,3,W2,2,10000,1214.052784,34.84326024,5.794315006,6.013352779,0.3069069386,33.5216684,1.214052784,1.123702253,0.8438412193,0.2798610332,0
R,none,0,8,3,b2,1,100,132.9470845,11.53026819,0.5863603814,19.66413242,0.2212577642,11.41486325,0.1329470845,0.1302991031,0.119769118,0.01052998501,0
R,none,0,8,3,W3,2,1000,1535.502645,39.18549024,1.830950648,21.40171843,0.5100714931,38.28398012,1.535502645,1.465663134,1.395361628,0.07030150599,0
R,none,0,8,3,b3,1,10,0.3331274357,0.5771719291,0.1899511938,3.038527517,0.687092223,0.4674942474,0.0003331274357,0.0002185508713,0.0001499398979,6.861097344e-05,0
R,none,0,8,4,W1,2,78400,2517.88226,50.17850397,5.794016178,8.66040108,0.1381639442,49.71030756,2.51788226,2.471114678,1.969982756,0.5011319213,0
R,none,0,8,4,b1,1,100,2.104661918,1.450745297,0.2046886733,7.087569988,0.1878818267,1.426525825,0.002104661918,0.002034975929,0.001552657111,0.0004823188188,0
R,none,0,8,4,W2,2,10000,1250.136774,35.35727328,5.794315006,6.102062668,0.2984681283,34.07955143,1.250136774,1.161415826,0.873968502,0.2874473235,0
R,none,0,8,4,b2,1,100,151.1004238,12.29229123,0.5863603814,20.96371383,0.2070689002,12.18438575,0.1511004238,0.1484592561,0.1370288171,0.01143043892,0
R,none,0,8,4,W3,2,1000,1840.222024,42.89780908,1.830950648,23.4292547,0.4774332219,42.05443606,1.840222024,1.768575592,1.686486861,0.08208873106,0
R,none,0,8,4,b3,1,10,0.3618968639,0.6015786432,0.1899511938,3.167016912,0.6392798624,0.5018730485,0.0003618968639,0.0002518765568,0.0001694371571,8.24393997e-05,0
R,none,0,8,5,W1,2,78400,2528.234632,50.28155359,5.794016178,8.678186607,0.1373946737,49.81716861,2.528234632,2.481750288,1.979140985,0.5026093027,0
R,none,0,8,5,b1,1,100,2.734187248,1.653537798,0.2046886733,8.078306295,0.1716560599,1.630916038,0.002734187248,0.002659887124,0.002099163785,0.0005607233387,0
R,none,0,8,5,W2,2,10000,1261.219956,35.51365872,5.794315006,6.129052128,0.2975860619,34.23917514,1.261219956,1.172321114,0.8832393908,0.2890817233,0
R,none,0,8,5,b2,1,100,163.1048734,12.77125183,0.5863603814,21.78055039,0.1950520868,12.66993981,0.1631048734,0.1605273749,0.1484715797,0.0120557952,0
R,none,0,8,5,W3,2,1000,1928.823878,43.91837746,1.830950648,23.98665278,0.4559440192,43.11437312,1.928823878,1.85884917,1.771351495,0.08749767436,0
R,none,0,8,5,b3,1,10,0.3522432655,0.5935008555,0.1899511938,3.124491317,0.6313753935,0.4959506037,0.0003522432655,0.0002459670013,0.0001628523295,8.311467178e-05,0
R,none,0,8,6,W1,2,78400,2528.921752,50.28838585,5.794016178,8.679365799,0.1372157796,49.82500155,2.528921752,2.48253078,1.979748933,0.5027818467,0
R,none,0,8,6,b1,1,100,3.193071521,1.786916764,0.2046886733,8.729924989,0.1719315908,1.76329153,0.003193071521,0.003109197019,0.00250344573,0.0006057512883,0
R,none,0,8,6,W2,2,10000,1262.716559,35.53472328,5.794315006,6.132687513,0.2977347015,34.25906981,1.262716559,1.173683864,0.8844918845,0.2891919796,0
R,none,0,8,6,b2,1,100,169.4642509,13.01784356,0.5863603814,22.20109676,0.1818104636,12.92410528,0.1694642509,0.1670324972,0.154541774,0.01249072318,0
R,none,0,8,6,W3,2,1000,1957.40841,44.24260853,1.830950648,24.16373624,0.449880193,43.4496809,1.95740841,1.887874771,1.798748724,0.08912604623,0
