act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,shell,0.001,7,0,W1,2,78400,33.47877482,5.786084585,5.786084585,1,1,0,0.03347877482,0,0,0,0
R,shell,0.001,7,0,b1,1,100,0.042066287,0.2051006753,0.2051006753,1,1,0,4.2066287e-05,0,0,0,0
R,shell,0.001,7,0,W2,2,10000,33.18333611,5.760497905,5.760497905,1,1,0,0.03318333611,0,0,1.473636151e-17,0
R,shell,0.001,7,0,b2,1,100,0.3182958504,0.5641771445,0.5641771445,1,1,0,0.0003182958504,0,0,-1.413517527e-19,0
R,shell,0.001,7,0,W3,2,1000,3.234331459,1.798424716,1.798424716,1,1,0,0.003234331459,0,0,0,0
R,shell,0.001,7,0,b3,1,10,0.04071128958,0.2017703883,0.2017703883,1,1,0,4.071128958e-05,0,0,-1.807944442e-20,0
R,shell,0.001,7,1,W1,2,78400,195.0124851,13.96468708,5.786084585,2.413495149,0.04391310452,14.87934228,0.1950124851,0.2213948267,0.0668895387,0.154505288,0.0668895387
R,shell,0.001,7,1,b1,1,100,0.297942753,0.5458413259,0.2051006753,2.661333636,0.1489144447,0.5537746597,0.000297942753,0.0003066663737,0.000116104191,0.0001905621828,0.000116104191
R,shell,0.001,7,1,W2,2,10000,119.0754344,10.9121691,5.760497905,1.894310054,0.2265820538,11.12533545,0.1190754344,0.1237730889,0.02653971606,0.09723337287,0.02653971606
R,shell,0.001,7,1,b2,1,100,0.7579300575,0.8705917858,0.5641771445,1.543117785,0.1423995399,0.9676475169,0.0007579300575,0.000936341717,9.388993241e-05,0.0008424517846,9.388993241e-05
R,shell,0.001,7,1,W3,2,1000,61.41519224,7.83678456,1.798424716,4.357582773,0.7286469873,6.641582355,0.06141519224,0.04411061617,0.0364617896,0.007648826567,0.0364617896
R,shell,0.001,7,1,b3,1,10,0.04077781872,0.2019351845,0.2017703883,1.000816751,0.7204803451,0.1509232487,4.077781872e-05,2.2777827e-05,2.715778471e-11,2.277779984e-05,2.715778471e-11
R,shell,0.001,7,2,W1,2,78400,161.896099,12.72383979,5.786084585,2.199041443,0.006511695322,13.94331654,0.161896099,0.194416076,0.04813244731,0.1462836287,0.04813244731
R,shell,0.001,7,2,b1,1,100,0.3049998177,0.5522678858,0.2051006753,2.692667321,0.007109018927,0.5877547279,0.0003049998177,0.0003454556202,0.0001205250721,0.0002249305481,0.0001205250721
R,shell,0.001,7,2,W2,2,10000,116.7066278,10.80308418,5.760497905,1.875373337,0.1248352147,11.59106067,0.1167066278,0.1343526875,0.02542767633,0.1089250112,0.02542767633
R,shell,0.001,7,2,b2,1,100,1.378612895,1.174143473,0.5641771445,2.081161005,0.08411365032,1.259154792,0.001378612895,0.001585470791,0.0003720589218,0.001213411869,0.0003720589218
R,shell,0.001,7,2,W3,2,1000,67.55842587,8.219393279,1.798424716,4.570329359,0.6526566721,7.176187543,0.06755842587,0.05149766766,0.04122883728,0.01026883037,0.04122883728
R,shell,0.001,7,2,b3,1,10,0.09243213133,0.3040265306,0.2017703883,1.506794596,0.148252525,0.3390497725,9.243213133e-05,0.0001149547482,1.045631865e-05,0.0001044984296,1.045631865e-05
R,shell,0.001,7,3,W1,2,78400,154.6977872,12.43775652,5.786084585,2.149598115,0.0004636700269,13.71531353,0.1546977872,0.1881098251,0.0442447395,0.1438650856,0.0442447395
R,shell,0.001,7,3,b1,1,100,0.2893546092,0.5379169166,0.2051006753,2.622696956,0.002994775251,0.5751174544,0.0002893546092,0.0003307600863,0.0001107666505,0.0002199934358,0.0001107666505
R,shell,0.001,7,3,W2,2,10000,114.5322643,10.70197478,5.760497905,1.85782114,0.0584278455,11.85375884,0.1145322643,0.1405115986,0.02441819375,0.1160934048,0.02441819375
R,shell,0.001,7,3,b2,1,100,0.9476309582,0.9734633831,0.5641771445,1.725456964,0.03205551783,1.109376697,0.0009476309582,0.001230716656,0.0001675152251,0.001063201431,0.0001675152251
R,shell,0.001,7,3,W3,2,1000,66.54256699,8.157362747,1.798424716,4.535837767,0.5218705093,7.380026918,0.06654256699,0.05446479731,0.04043609289,0.01402870442,0.04043609289
R,shell,0.001,7,3,b3,1,10,0.06303455068,0.2510668251,0.2017703883,1.244319483,0.2876667682,0.2731312502,6.303455068e-05,7.460067983e-05,2.430138688e-06,7.217054114e-05,2.430138688e-06
R,shell,0.001,7,4,W1,2,78400,148.435041,12.18339201,5.786084585,2.105636694,0.004034770252,13.4664383,0.148435041,0.1813449605,0.04092554235,0.1404194182,0.04092554235
R,shell,0.001,7,4,b1,1,100,0.3479792361,0.5898976488,0.2051006753,2.876137039,-0.07450225813,0.638806185,0.0003479792361,0.000408073342,0.0001480687108,0.0002600046311,0.0001480687108
R,shell,0.001,7,4,W2,2,10000,117.6824544,10.84815442,5.760497905,1.883197356,0.05204555917,12.01503459,0.1176824544,0.1443610563,0.02588424886,0.1184768074,0.02588424886
R,shell,0.001,7,4,b2,1,100,0.7647441185,0.8744964943,0.5641771445,1.550038854,0.009739898338,1.036064285,0.0007647441185,0.001073429203,9.629809886e-05,0.0009771311045,9.629809886e-05
R,shell,0.001,7,4,W3,2,1000,68.8555147,8.297922312,1.798424716,4.613994814,0.4582635623,7.642796546,0.0688555147,0.05841233904,0.04224346901,0.01616887004,0.04224346901
R,shell,0.001,7,4,b3,1,10,0.06534153657,0.2556199064,0.2017703883,1.266885139,-0.02635239834,0.3298047249,6.534153657e-05,0.0001087711566,2.899770607e-06,0.000105871386,2.899770607e-06
R,shell,0.001,7,5,W1,2,78400,193.0286507,13.89347511,5.786084585,2.401187696,0.002156852792,15.03863863,0.1930286507,0.2261606518,0.06572978115,0.1604308706,0.06572978115
R,shell,0.001,7,5,b1,1,100,0.2940763323,0.5422880529,0.2051006753,2.644009105,0.01261779831,0.5773524264,0.0002940763323,0.0003333358242,0.0001136953276,0.0002196404966,0.0001136953276
R,shell,0.001,7,5,W2,2,10000,126.0246644,11.22607075,5.760497905,1.948802158,0.02408456761,12.49371885,0.1260246644,0.1560930106,0.02987248651,0.1262205241,0.02987248651
R,shell,0.001,7,5,b2,1,100,1.323282808,1.150340301,0.5641771445,2.038970051,0.0144362807,1.273907567,0.001323282808,0.00162284049,0.0003435872459,0.001279253244,0.0003435872459
R,shell,0.001,7,5,W3,2,1000,68.8510074,8.297650716,1.798424716,4.613843795,0.3914751588,7.771847017,0.0688510074,0.06040160605,0.0422399386,0.01816166745,0.0422399386
R,shell,0.001,7,5,b3,1,10,0.1151194772,0.3392926129,0.2017703883,1.681577836,-0.2105939405,0.4297266027,0.0001151194772,0.0001846649531,1.891236226e-05,0.0001657525908,1.891236226e-05
R,shell,0.001,7,6,W1,2,78400,148.8819969,12.20172106,5.786084585,2.108804475,-0.0009499890849,13.50906772,0.1488819969,0.1824949105,0.04116039143,0.1413345191,0.04116039143
R,shell,0.001,7,6,b1,1,100,0.2834911936,0.5324389107,0.2051006753,2.595988092,-0.03195058635,0.5766590998,0.0002834911936,0.0003325357174,0.0001071503204,0.0002253853971,0.0001071503204
R,shell,0.001,7,6,W2,2,10000,117.3591222,10.83324154,5.760497905,1.880608537,0.01699920102,12.18280726,0.1173591222,0.1484207926,0.02573272796,0.1226880647,0.02573272796
R,shell,0.001,7,6,b2,1,100,1.13610284,1.06588125,0.5641771445,1.889266981,-0.003455387134,1.207706279,0.00113610284,0.001458554456,0.0002517070098,0.001206847446,0.0002517070098
R,shell,0.001,7,6,W3,2,1000,69.00236716,8.306766348,1.798424716,4.618912471,0.3068013734,7.941664156,0.06900236716,0.06307002956,0.0423585108,0.02071151876,0.0423585108
R,shell,0.001,7,6,b3,1,10,0.07044240405,0.2654098793,0.2017703883,1.315405504,-0.2438683891,0.3705035797,7.044240405e-05,0.0001372729026,4.049984823e-06,0.0001332229177,4.049984823e-06
R,shell,0.001,7,7,W1,2,78400,162.2349306,12.73714766,5.786084585,2.201341421,-0.001862473363,13.99957954,0.1622349306,0.1959882273,0.04831727792,0.1476709494,0.04831727792
R,shell,0.001,7,7,b1,1,100,0.3701158273,0.608371455,0.2051006753,2.966208932,0.1443880035,0.6133101956,0.0003701158273,0.000376149396,0.0001626273218,0.0002135220742,0.0001626273218
R,shell,0.001,7,7,W2,2,10000,115.3266832,10.73902618,5.760497905,1.864253117,0.004042856584,12.16592865,0.1153266832,0.1480098198,0.02478574376,0.1232240761,0.02478574376
R,shell,0.001,7,7,b2,1,100,1.081570633,1.039985881,0.5641771445,1.843367622,-0.02157734364,1.193811921,0.001081570633,0.001425186903,0.0002263939537,0.001198792949,0.0002263939537
R,shell,0.001,7,7,W3,2,1000,67.37189734,8.208038581,1.798424716,4.564015668,0.2803417615,7.89491462,0.06737189734,0.06232967685,0.04108314989,0.02124652696,0.04108314989
R,shell,0.001,7,7,b3,1,10,0.07082661696,0.2661327055,0.2017703883,1.318987924,-0.2950658025,0.3784529245,7.082661696e-05,0.000143226616,4.142507884e-06,0.0001390841081,4.142507884e-06
R,shell,0.001,7,8,W1,2,78400,165.3562153,12.85909077,5.786084585,2.222416658,0.004423398236,14.07752659,0.1653562153,0.198176755,0.05002741645,0.1481493386,0.05002741645
R,shell,0.001,7,8,b1,1,100,0.3584708665,0.598724366,0.2051006753,2.919173061,-0.03633002976,0.6398903965,0.0003584708665,0.0004094597195,0.0001549396099,0.0002545201096,0.0001549396099
R,shell,0.001,7,8,W2,2,10000,112.5230385,10.60768771,5.760497905,1.84145327,0.01236374391,12.00813839,0.1125230385,0.1441953875,0.02349524896,0.1207001385,0.02349524896
R,shell,0.001,7,8,b2,1,100,1.092739895,1.045341999,0.5641771445,1.852861303,-0.01282878977,1.194222554,0.001092739895,0.00142616751,0.0002315196172,0.001194647892,0.0002315196172
R,shell,0.001,7,8,W3,2,1000,64.06161384,8.003849939,1.798424716,4.45047817,0.2397290009,7.771388077,0.06406161384,0.06039447265,0.03850730219,0.02188717045,0.03850730219
