act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,shell,0.001,0.001,9,1,0.95901875,1,1,0.1599999964,0.1599999964,-0.04189279675,0.8269684911,-0.7106916308,0.410833329,56.18823061,0.02999999933,0.02999999933,0.7721439004,0.4438386559,-0.0001097042114,0.9775000215,16.67338631,1.338801265,1.072243929,2.43904233,0.09603320275,0.315028712,0.3327427642,0.09603320275
R,shell,0.001,0.001,9,2,0.95633125,1,1,0.2899999917,0.2899999917,-0.1111799106,0.8015091419,-1.097792983,0.260833323,44.33183993,0.02999999933,0.02999999933,0.645016551,0.3981447518,-5.354021141e-06,0.9666666389,15.44722111,1.228504658,1.091809511,2.566776276,0.101936815,0.3238939684,0.3616901885,0.101936815
R,shell,0.001,0.001,9,3,0.9446458333,1,1,0.3700000048,0.3700000048,-0.4785897434,0.8526156545,-1.932498574,0.2008333355,45.68412326,0.0700000003,0.0700000003,0.5579606295,0.4596542716,-0.1738532782,0.9083333611,20.24568533,1.307836771,1.127631187,2.578967094,0.1328893387,0.3809516208,0.4299445465,0.1328893387
R,shell,0.001,0.001,9,4,0.9490375,1,1,0.3100000024,0.3100000024,-0.2095297724,0.7868834138,-2.005595446,0.2683333457,46.85335082,0.07999999821,0.07999999821,0.4799809754,0.3550642431,-0.003320036689,0.9325000048,17.04968929,1.267787576,1.005001903,2.606433392,0.108071948,0.3350514355,0.3859787119,0.108071948
R,shell,0.001,0.001,9,5,0.9457666667,1,1,0.3199999928,0.3199999928,-0.1522459239,0.8377223611,-2.937964678,0.2541666627,48.74393001,0.03999999911,0.03999999911,0.4087218046,0.3932493329,-0.0002781248477,0.8916666508,20.58803562,1.366463184,1.040538907,2.583266735,0.1150042813,0.3482818267,0.4054818857,0.1150042813
R,shell,0.001,0.001,9,6,0.94349375,1,1,0.3300000131,0.3300000131,-0.2594167888,0.805449903,-1.136187911,0.2316666692,49.43753532,0.009999999776,0.009999999776,0.4290855527,0.3612472713,-1.459456689e-05,0.9049999714,17.83533502,1.295074463,1.019371152,2.618759632,0.1103241464,0.339413375,0.4006141593,0.1103241464
R,shell,0.001,0.001,9,7,0.9375833333,1,1,0.3600000143,0.3600000143,-0.2072882056,0.8548764586,-1.204420447,0.2066666633,47.15362944,0.1700000018,0.1700000018,0.5039976835,0.3828921914,-0.003224449465,0.8924999833,16.90342211,1.283663392,1.040799737,2.585055351,0.1160417961,0.3502534697,0.4126779169,0.1160417961
R,shell,0.001,0.001,9,8,0.9371395833,1,1,0.3400000036,0.3400000036,-0.3545198143,0.9075684547,-1.495363474,0.2516666651,42.71655667,0.2899999917,0.2899999917,0.521032095,0.3901578784,-0.09496175498,0.9083333611,15.82575171,1.476629972,0.9160883427,2.569043159,0.1262273683,0.3692896938,0.4333463423,0.1262273683
R,shell,0.001,0.001,9,9,0.93068125,1,1,0.3400000036,0.3400000036,-0.07687167078,0.8651818037,-0.7610385418,0.265833348,48.06984196,0.1000000015,0.1000000015,0.3772157431,0.3446188867,-0.03866188601,0.8974999785,17.90227574,1.328328609,0.8308733702,2.54339242,0.1079084331,0.3356126195,0.401591343,0.1079084331
R,shell,0.001,0.001,9,10,0.93959375,1,1,0.3199999928,0.3199999928,-0.1486038268,0.7751069665,-0.9642406106,0.2599999905,49.59169916,0.07999999821,0.07999999821,0.3661825657,0.2834396958,-0.0002838900837,0.8933333158,15.6780521,1.234297276,0.7935088873,2.651735306,0.1100919765,0.3381486073,0.4065888538,0.1100919765
R,shell,0.001,0.001,9,11,0.9408208333,1,1,0.3700000048,0.3700000048,-0.23720406,0.817083776,-1.655691266,0.1991666704,45.19467497,0.200000003,0.200000003,0.4465745091,0.3843609393,-0.1262340993,0.8849999905,17.56630148,1.382185459,0.9678073525,2.644793749,0.1277918394,0.3711040347,0.4386102144,0.1277918394
R,shell,0.001,0.001,9,12,0.94159375,1,1,0.3000000119,0.3000000119,-0.265006572,0.838049531,-1.00871861,0.2358333319,51.71938202,0.1099999994,0.1099999994,0.464158982,0.3946311772,-0.007886772044,0.9049999714,17.50935596,1.308439493,0.9990449548,2.562668324,0.1180700315,0.3540794083,0.4247478857,0.1180700315
R,shell,0.001,0.001,9,13,0.9417020833,0.9716666937,0.9716666937,0.3400000036,0.3400000036,-0.5917189717,0.9651999474,-3.010401726,0.1666666716,48.65349287,0.1700000018,0.1700000018,0.3815514445,0.4025020301,-0.2104135305,0.8216666579,21.61251576,1.501159668,1.080890775,2.595729113,0.1420267301,0.3971034685,0.4662125709,0.1420267301
R,shell,0.001,0.001,9,14,0.9463416667,1,1,0.2399999946,0.2399999946,-0.2850318551,0.8381974101,-1.043532014,0.2366666645,45.63184528,0.1299999952,0.1299999952,0.5509017706,0.3832511604,-3.026781769e-06,0.9449999928,15.22518126,1.272994995,1.048482537,2.573452711,0.1126368127,0.3436840862,0.4151106653,0.1126368127
R,shell,0.001,0.001,9,15,0.9447729167,1,1,0.349999994,0.349999994,-0.2117248774,0.8726423383,-1.12993753,0.2175000012,48.48289198,0.05000000075,0.05000000075,0.403963089,0.3745728433,-0.005863150116,0.8824999928,19.64794321,1.353015304,0.976978004,2.558989286,0.1144629153,0.3474676236,0.4193223601,0.1144629153
R,shell,0.001,0.001,9,16,0.9451104167,1,1,0.349999994,0.349999994,-0.4265192449,0.8426086903,-1.357195735,0.1875,45.38933711,0.1400000006,0.1400000006,0.468295753,0.3799113333,-0.05782495439,0.9125000238,15.4100443,1.2272681,0.9693291783,2.594712734,0.1242821498,0.3650666349,0.4351777108,0.1242821498
