act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2,0.001,0.001,6,1,0.9506145833,1,1,0,0,-0.3170100451,0.7886208892,-1.861317515,0.7256773114,69.21203204,0,0,0.3936889768,0.433255136,-0.1490317732,1.430516839,40.43822056,1.272353053,0.6970255971,1.957960486,0.7766734958,0.4499759078,3,0.05999999866,1.200000048,1.403847694,0.7789100409,3,0.07999999821,1.200000048,0.2307888806,0.2307888806,0.2593468478,0.05857944946
SNA,l2,0.001,0.001,6,2,0.9576125,1,1,0,0,-0.5651795864,0.8562813401,-2.229445934,0.6283480525,68.2021138,0,0,0.2110657096,0.3012862504,-1.748688817,1.348227978,30.26313701,1.220071077,0.5741517544,1.981592894,0.7142335773,0.4166815877,3,0.1400000006,1.200000048,1.989992857,0.7568021417,3,0.3600000143,1.200000048,0.2196723172,0.2196723172,0.2687946438,0.05488036581
SNA,l2,0.001,0.001,6,3,0.9589895833,1,1,0,0,-0.4863086045,0.8880653977,-3.616724014,0.6982394457,67.55436901,0,0,0.1055438295,0.2876448929,-3.600679159,1.233365536,33.46393225,1.149359465,0.4148750007,2.009511948,0.6890451908,0.4177051783,3,0.05000000075,1.200000048,2.129239082,0.3062205315,3,0.4099999964,1.200000048,0.2125714196,0.2125714196,0.2676426589,0.05079956269
SNA,l2,0.001,0.001,6,4,0.95836875,1,1,0,0,-0.6556949615,1.082195163,-5.678934097,0.6707945466,65.42961401,0,0,-0.07867516577,0.7145754099,-4.422613144,0.8776229024,44.98029683,1.335962176,0.7654708028,2.091686487,0.5684998631,0.331281364,3,0.01999999955,1.200000048,0.8656020164,0.1713374406,3,0.1800000072,1.200000048,0.2869084378,0.2869084378,0.3457951813,0.08476508358
SNA,l2,0.001,0.001,6,5,0.9605708333,1,1,0,0,-0.5917012095,1.123007417,-4.08618021,0.7896147966,62.84235053,0,0,-0.1341339946,1.332723737,-4.272648335,0.8343594074,50.45594119,1.211822629,0.8212794065,2.112311602,0.5422482491,0.3233888149,3,0.03999999911,1.200000048,0.459074229,0.1810755432,3,0.1800000072,1.200000048,0.2750743933,0.2750743933,0.3374588269,0.07676939275
SNA,l2,0.001,0.001,6,6,0.96229375,0.9975000024,0.9975000024,0,0,-0.5639612079,1.126934528,-7.693223476,0.7355589867,61.96988,0,0,-0.09562896192,0.959348619,-6.582057476,0.7649223804,47.08866936,1.319651008,0.7655314207,2.145077229,0.5442918539,0.285310477,3,0.02999999933,1.200000048,0.6319480538,0.1603801697,3,0.2399999946,1.200000048,0.2865669681,0.2865669681,0.3530978893,0.08349616768
SNA,l2,0.001,0.001,6,7,0.9617041667,0.9250000119,0.9250000119,0,0,-0.6845989823,1.254459858,-5.409956455,0.7641338706,63.34473036,0,0,-0.6157175303,1.58995378,-6.013530254,0.7773345709,53.89027324,1.351556182,0.9384168386,2.171719313,0.4868760705,0.2920705676,3,0.02999999933,1.200000048,0.3877975047,0.1525687575,3,0.1099999994,1.200000048,0.3203137064,0.3203137064,0.3865908219,0.09947852292
SNA,l2,0.001,0.001,6,8,0.9631125,0.8575000167,0.8575000167,0,0,-0.5953505635,1.196704626,-9.279824257,0.7930338979,60.40057492,0,0,-1.122560501,1.785542607,-7.203872204,0.6371483803,54.18426259,1.330655932,0.9763154984,2.20432353,0.5143492818,0.2514073849,3,0.03999999911,1.200000048,0.3330061734,0.1473555565,3,0.09000000358,1.200000048,0.3254125301,0.3254125301,0.3929768447,0.1018280967
SNA,l2,0.001,0.001,6,9,0.9635895833,1,1,0,0,-0.2541979849,1.21748209,-6.988343239,0.8857927322,58.76887828,0,0,-0.8482064605,1.934613347,-5.643176079,0.7239950299,57.37911984,1.282392979,0.9807621837,2.202035666,0.4999085665,0.2811866403,3,0.0700000003,1.200000048,0.3194804788,0.1459465325,3,0.0700000003,1.200000048,0.3182155861,0.3182155861,0.386774809,0.09783608732
SNA,l2,0.001,0.001,6,10,0.96313125,0.9966666698,0.9966666698,0,0,-0.4386861026,1.199585915,-10.94696712,0.8086309433,61.35436663,0,0,-1.471707106,2.025241613,-6.242093086,0.6245007515,58.83238468,1.373603344,0.9983397722,2.277858019,0.5144417882,0.2014569491,3,0.01999999955,1.200000048,0.3041361272,0.1633211076,3,0.05000000075,1.200000048,0.3384982433,0.3384982433,0.4076014273,0.1093913488
SNA,l2,0.001,0.001,6,11,0.9637270833,1,1,0,0,-0.7729052305,1.154781818,-8.365927696,0.7592409849,62.08383172,0,0,-0.7083851695,1.608773232,-7.921127319,0.7541854978,58.1672617,1.337339401,0.9466374516,2.205223799,0.5220533609,0.2444515675,2.624241352,0,1.200000048,0.3825520575,0.154326126,3,0.05000000075,1.200000048,0.3242557354,0.3242557354,0.392619199,0.1016538315
SNA,l2,0.001,0.001,6,12,0.96314375,1,1,0,0,-0.5137510896,1.146735907,-10.10678673,0.7916069031,61.15436633,0,0,-1.016569853,1.746687651,-5.941249847,0.641090095,57.18862984,1.260483146,0.9268358946,2.228194475,0.5309407711,0.2133971602,3,0.01999999955,1.200000048,0.3516710997,0.1591738611,3,0.03999999911,1.200000048,0.3041158255,0.3041158255,0.3735467335,0.09107786028
