act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
SNA,l2init,0.001,0,0,W1,2,78400,33.19778038,5.761751502,5.761751502,1,1,0,0.03319778038,0,0,1.474277606e-17,0
SNA,l2init,0.001,0,0,b1,1,100,0.0445198491,0.2109972727,0.2109972727,1,1,0,4.45198491e-05,0,0,0,0
SNA,l2init,0.001,0,0,W2,2,10000,33.40909083,5.78005976,5.78005976,1,1,0,0.03340909083,0,0,0,0
SNA,l2init,0.001,0,0,b2,1,100,0.3121393494,0.5586943256,0.5586943256,1,1,0,0.0003121393494,0,0,0,0
SNA,l2init,0.001,0,0,W3,2,1000,3.260951522,1.805810489,1.805810489,1,1,0,0.003260951522,0,0,0,0
SNA,l2init,0.001,0,0,b3,1,10,0.04022925306,0.2005723138,0.2005723138,1,1,0,4.022925306e-05,0,0,0,0
SNA,l2init,0.001,0,1,W1,2,78400,182.1325038,13.49564759,5.761751502,2.342282131,0.4667400277,11.94756092,0.1821325038,0.142744212,0.05981314863,0.08293106337,0.142744212
SNA,l2init,0.001,0,1,b1,1,100,0.2734546609,0.5229289252,0.2109972727,2.478368173,0.2303533549,0.5168575322,0.0002734546609,0.0002671417086,9.730135585e-05,0.0001698403527,0.0002671417086
SNA,l2init,0.001,0,1,W2,2,10000,89.91458629,9.482330214,5.78005976,1.640524598,0.7379192249,6.514236788,0.08991458629,0.04243528092,0.01370680652,0.02872847441,0.04243528092
SNA,l2init,0.001,0,1,b2,1,100,0.585274512,0.7650323601,0.5586943256,1.369321873,0.6945381231,0.5510861549,0.000585274512,0.0003036959501,4.25753845e-05,0.0002611205656,0.0003036959501
SNA,l2init,0.001,0,1,W3,2,1000,43.56911539,6.600690524,1.805810489,3.65525096,0.8220707003,5.218483051,0.04356911539,0.02723256535,0.02299087455,0.004241690803,0.02723256535
SNA,l2init,0.001,0,1,b3,1,10,0.04604740632,0.214586594,0.2005723138,1.069871459,0.8282583742,0.1223926621,4.604740632e-05,1.497996374e-05,1.964000495e-07,1.478356369e-05,1.497996374e-05
SNA,l2init,0.001,0,2,W1,2,78400,213.8185236,14.62253479,5.761751502,2.537862798,0.419136033,13.28121602,0.2138185236,0.176390699,0.07851348044,0.09787721855,0.176390699
SNA,l2init,0.001,0,2,b1,1,100,0.3972650057,0.6302896205,0.2109972727,2.98719321,0.4194141168,0.5746560701,0.0003972650057,0.0003302295989,0.0001758060729,0.000154423526,0.0003302295989
SNA,l2init,0.001,0,2,W2,2,10000,122.7213792,11.07796819,5.78005976,1.916583677,0.6888695036,8.240875275,0.1227213792,0.06791202529,0.0280678337,0.03984419159,0.06791202529
SNA,l2init,0.001,0,2,b2,1,100,0.5763740292,0.7591930118,0.5586943256,1.358870096,0.7765965703,0.4792868695,0.0005763740292,0.0002297159033,4.01997232e-05,0.0001895161801,0.0002297159033
SNA,l2init,0.001,0,2,W3,2,1000,51.75005193,7.193750894,1.805810489,3.983668795,0.7659944904,5.925337352,0.05175005193,0.03510962274,0.02902990181,0.006079720929,0.03510962274
SNA,l2init,0.001,0,2,b3,1,10,0.03169335474,0.1780262754,0.2005723138,0.8875914729,0.8772492319,0.09630411235,3.169335474e-05,9.274482056e-06,5.083238466e-07,8.76615821e-06,9.274482056e-06
SNA,l2init,0.001,0,3,W1,2,78400,218.265948,14.77382645,5.761751502,2.564120727,0.4177631284,13.42911499,0.218265948,0.1803411293,0.08121749489,0.0991236344,0.1803411293
SNA,l2init,0.001,0,3,b1,1,100,0.3866787429,0.6218349805,0.2109972727,2.947123309,0.4590770399,0.5574331715,0.0003866787429,0.0003107317407,0.0001687876221,0.0001419441186,0.0003107317407
SNA,l2init,0.001,0,3,W2,2,10000,142.9534629,11.95631477,5.78005976,2.068545183,0.6658445683,9.183239955,0.1429534629,0.08433189607,0.03814612597,0.0461857701,0.08433189607
SNA,l2init,0.001,0,3,b2,1,100,0.4681272294,0.6841982384,0.5586943256,1.224637887,0.7799776619,0.4289075497,0.0004681272294,0.0001839616862,1.575123213e-05,0.0001682104541,0.0001839616862
SNA,l2init,0.001,0,3,W3,2,1000,56.11200383,7.490794606,1.805810489,4.148162086,0.7334394363,6.287332516,0.05611200383,0.03953055016,0.03231904441,0.00721150575,0.03953055016
SNA,l2init,0.001,0,3,b3,1,10,0.01991389651,0.1411166061,0.2005723138,0.7035697171,0.6901389746,0.1451745373,1.991389651e-05,2.107564628e-05,3.534981181e-06,1.75406651e-05,2.107564628e-05
SNA,l2init,0.001,0,4,W1,2,78400,200.2134988,14.14968193,5.761751502,2.455795243,0.4354996417,12.74367934,0.2002134988,0.1624013631,0.07035737688,0.09204398624,0.1624013631
SNA,l2init,0.001,0,4,b1,1,100,0.3716029868,0.609592476,0.2109972727,2.88910121,0.3489518985,0.5712764738,0.0003716029868,0.0003263568095,0.0001588781361,0.0001674786734,0.0003263568095
SNA,l2init,0.001,0,4,W2,2,10000,137.4814113,11.72524675,5.78005976,2.028568429,0.6815836029,8.860309232,0.1374814113,0.0785050797,0.03534524834,0.04315983136,0.0785050797
SNA,l2init,0.001,0,4,b2,1,100,0.4912572711,0.7008974755,0.5586943256,1.254527643,0.843290386,0.3780909543,0.0004912572711,0.0001429527698,2.022173584e-05,0.0001227310339,0.0001429527698
SNA,l2init,0.001,0,4,W3,2,1000,55.95624676,7.480390816,1.805810489,4.142400801,0.7225774369,6.300460552,0.05595624676,0.03969580317,0.03220086188,0.007494941288,0.03969580317
SNA,l2init,0.001,0,4,b3,1,10,0.06860448982,0.261924588,0.2005723138,1.305886057,0.8825066998,0.1269215524,6.860448982e-05,1.610908047e-05,3.764101555e-06,1.234497891e-05,1.610908047e-05
SNA,l2init,0.001,0,5,W1,2,78400,204.7821257,14.31021054,5.761751502,2.483656321,0.4302359798,12.92410066,0.2047821257,0.1670323778,0.07307615189,0.0939562259,0.1670323778
SNA,l2init,0.001,0,5,b1,1,100,0.3128860377,0.5593621704,0.2109972727,2.651039813,0.3840772146,0.516473921,0.0003128860377,0.0002667453111,0.0001213581019,0.0001453872091,0.0002667453111
