act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2init,0.001,0.001,0,1,0.95284375,0.9916666746,0.9916666746,0,0,-0.3308876157,0.7755843997,-1.103210211,0.7313858271,73.78087544,0,0,0.2526097894,0.6701595187,-0.3665373027,1.187839508,63.4805099,1.397009492,0.9448291659,2.086804867,0.8149242997,0.4390892982,2.83509326,0,1.200000048,0.9282998443,0.5545586944,1.647051334,0,1.200000048,0.2129978759,0.316520982,0.2129978759,0.09665090284
SNA,l2init,0.001,0.001,0,2,0.960725,0.9991666675,0.9991666675,0,0,-0.7135097384,1.086504698,-6.035279751,0.6901465654,67.74695238,0,0,-0.7684184909,1.466663837,-5.122507095,0.7585211396,66.36968418,1.441838622,1.112216592,2.273040295,0.572917819,0.3123829961,1.725930214,0,1.200000048,0.4235331118,0.2062427253,1.451025605,0,1.200000048,0.279981567,0.3892952871,0.279981567,0.1358277301
SNA,l2init,0.001,0.001,0,3,0.9636520833,1,1,0,0,-0.449877739,1.177909613,-12.78955746,0.7906545401,59.625052,0,0,-1.562150836,2.306517124,-10.02729225,0.693371892,67.09923462,1.470990062,1.185434818,2.342511654,0.5195186734,0.1659201533,1.922374725,0,1.200000048,0.2677264214,0.1308640242,0.7991562486,0,1.200000048,0.3047193446,0.4182061347,0.3047193446,0.1518707391
SNA,l2init,0.001,0.001,0,4,0.96551875,1,1,0,0,-0.2713928819,1.112452149,-8.980102539,0.8714842796,63.57131374,0,0,-1.360436797,2.027287722,-5.837128162,0.7291385531,69.71831003,1.377237558,1.140373468,2.345047951,0.5509842038,0.226205498,2.385355949,0,1.200000048,0.3042437732,0.1671368778,0.7874516249,0,1.200000048,0.2810876647,0.3945826216,0.2810876647,0.1380863511
SNA,l2init,0.001,0.001,0,5,0.9663916667,1,1,0,0,-0.3747492433,1.173664212,-10.03766918,0.8496209979,62.47092783,0,0,-1.57686162,2.303677797,-5.760493755,0.6886648536,68.3461531,1.456191421,1.185228348,2.394706488,0.5122212768,0.2073875517,2.080836058,0,1.200000048,0.2681559622,0.1629714966,0.6592388153,0,1.200000048,0.2951768673,0.4101854728,0.2951768673,0.1469490721
SNA,l2init,0.001,0.001,0,6,0.9661979167,0.9966666698,0.9966666698,0,0,-0.3262700438,1.206253052,-11.71035767,0.8604384065,61.51676902,0,0,-1.873740673,2.41520834,-5.461922169,0.6597482562,68.32867171,1.38964963,1.191968322,2.393784761,0.510398984,0.1823405623,2.172713518,0,1.200000048,0.2573674023,0.1457837373,0.6308655739,0,1.200000048,0.3057468752,0.4191062126,0.3057468752,0.1522827595
SNA,l2init,0.001,0.001,0,7,0.9659791667,1,1,0,0,-0.06571640074,1.126003265,-12.78542328,0.9900571704,58.75044549,0,0,-2.16065979,2.573128939,-6.889413357,0.636508584,66.48772008,1.3832618,1.188723683,2.399476051,0.5406656265,0.1686687768,2.177086115,0,1.200000048,0.2391405106,0.1205211878,0.6861701012,0,1.200000048,0.284307658,0.3976141621,0.284307658,0.1395964208
SNA,l2init,0.001,0.001,0,8,0.9651645833,0.9991666675,0.9991666675,0,0,-0.3124369085,1.122519851,-11.95068932,0.7825576067,61.19696955,0,0,-1.809975982,2.274136066,-6.556531429,0.6544443369,67.2538849,1.449554086,1.190633059,2.393064737,0.5537028313,0.1806026995,2.060363531,0,1.200000048,0.2767589092,0.152620852,0.6309648752,0,1.200000048,0.3060571176,0.418600765,0.3060571176,0.1520411886
SNA,l2init,0.001,0.001,0,9,0.9659291667,1,1,0,0,-0.006240035873,1.138824582,-12.92900753,1.039423466,58.34199444,0,0,-2.190733194,2.743579865,-8.180788994,0.6543049812,65.27498343,1.343507409,1.207854509,2.391535997,0.539537251,0.1659589112,2.270207644,0,1.200000048,0.2261815369,0.1339353174,0.9066741467,0,1.200000048,0.2836741376,0.3961616057,0.2836741376,0.1385710793
SNA,l2init,0.001,0.001,0,10,0.9662041667,1,1,0,0,-0.05037819222,1.106149793,-11.01934433,0.9780563116,58.74370226,0,0,-1.700419307,2.397739172,-6.608601093,0.6837391853,66.55456054,1.345119119,1.181885242,2.366111755,0.5563115478,0.1916894913,2.666748762,0,1.200000048,0.2571184635,0.1421598643,0.8501133323,0,1.200000048,0.2749509116,0.3857473072,0.2749509116,0.1327931576
