act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,none,0,0.001,3,1,0.9719625,1,1,0,0,-0.2605684698,1.23250711,-2.882256746,0.8774371147,78.45367316,0,0,0.7884865403,2.046410561,-1.058228254,1.21266377,62.19189465,3.303554296,1.458586216,2.093481541,0.5002791286,0.2955214679,0.8303329349,0,1.200000048,0.3019931912,0.1645518541,0.4320542216,0,1.200000048,0,1.358144445,1.218875971,0.8501063085
SNA,none,0,0.001,3,2,0.9785958333,1,1,0,0,-2.396685362,2.404136419,-24.19676399,0.6046606302,67.54124942,0,0,-3.595099211,4.818844795,-14.67488098,0.6613510251,73.38063574,4.876857281,1.978287935,2.663071632,0.2559781969,0.08400201797,0.477157712,0,1.200000048,0.1270766258,0.07133054733,0.2579455674,0,1.200000048,0,2.877699253,2.717055742,2.117500271
SNA,none,0,0.001,3,3,0.9802270833,1,1,0,0,-2.751440048,2.826332808,-31.37586975,0.581995368,66.07098893,0,0,-5.871275902,5.727665424,-15.14289856,0.5635707378,74.96472854,6.102168083,2.250528336,2.797810793,0.2169405371,0.06976269186,0.3447835743,0,1.200000048,0.1077846512,0.06415197998,0.1699775308,0,1.200000048,0,4.394282097,4.229994603,3.453554894
SNA,none,0,0.001,3,4,0.98068125,1,1,0,0,-2.894540071,2.942438126,-38.26084137,0.5882595778,64.25433495,0,0,-6.758268356,6.540671349,-15.65533543,0.5576886535,76.37820908,6.854453564,2.445694208,2.775462151,0.2105137408,0.05697215721,0.3011772931,0,1.200000048,0.09466041625,0.0668015331,0.1403409094,0,1.200000048,0,5.577619576,5.418080267,4.518341821
SNA,none,0,0.001,3,5,0.9817291667,1,1,0,0,-3.319503307,3.358924866,-38.24248123,0.596822083,66.10512091,0,0,-8.705864906,8.222892761,-22.84765625,0.5676729083,74.91644367,7.72569418,2.621849298,2.948808908,0.1845695525,0.05858906358,0.2631150186,0,1.200000048,0.0751972869,0.05000000075,0.1097885743,0.01999999955,1.200000048,0,6.898313561,6.741922382,5.719008721
SNA,none,0,0.001,3,6,0.9828104167,1,1,0,0,-3.606680155,3.395091772,-27.37975883,0.5787553191,72.61326801,0,0,-8.169353485,7.716790676,-14.61377907,0.5470615029,78.27119019,8.307246208,2.77061677,2.922422647,0.1814400852,0.08018016815,0.2773820758,0,1.200000048,0.07896328717,0.0612793006,0.119659476,0,1.200000048,0,7.832853837,7.680784015,6.57742213
SNA,none,0,0.001,3,7,0.9856270833,1,1,0,0,-4.070953369,3.571128845,-19.6649704,0.5866662264,75.95848962,0,0,-8.983333588,8.62755394,-21.8268795,0.5630523562,77.81554138,8.832818985,2.914702892,2.950327635,0.172508508,0.1031431332,0.2395888418,0,1.200000048,0.07176642865,0.05000000075,0.1148787737,0.02999999933,1.200000048,0,8.855681797,8.703384311,7.519904155
SNA,none,0,0.001,3,8,0.9836270833,1,1,0,0,-3.717871428,3.439457655,-15.49073887,0.5660820603,78.98090074,0,0,-8.810907364,8.199671745,-17.0423336,0.5530917048,79.3995387,9.196147919,3.006038904,2.998779774,0.1797833741,0.1112886891,0.2510328591,0,1.200000048,0.07507719845,0.05313450843,0.1086611897,0,1.200000048,0,9.596568897,9.445147704,8.205579496
SNA,none,0,0.001,3,9,0.9864916667,1,1,0,0,-3.958158016,3.861967564,-10.43013096,0.5810150504,81.10362539,0,0,-11.50770473,9.922064781,-19.23905563,0.548048377,78.5586856,9.840568542,3.233562231,3.068383217,0.1600986421,0.08212748915,0.2303843647,0,1.200000048,0.06154334918,0.05000000075,0.08688289672,0.03999999911,1.200000048,0,10.96400457,10.81127521,9.471566727
SNA,none,0,0.001,3,10,0.9857604167,1,1,0,0,-4.234675884,3.862380028,-9.295476913,0.5587131381,80.90300448,0,0,-12.33994484,10.16352367,-23.24395752,0.5492257476,77.29897909,10.22008801,3.322689056,3.011246681,0.1603494883,0.08494661748,0.223888889,0,1.200000048,0.06129467487,0.05000000075,0.08516976237,0.0700000003,1.200000048,0,11.70341577,11.55299473,10.16191574
