task,N,N2,D2,erode,cos,arm,kind,param,seed,S2,D2_track,rho,G1,G5,G25,G125,G625,A1,A2,A3,A4,A5,A10,A20,A50,A100,A200,A400,X,X_hat,X_short_frac,X_long_frac,kap1,kap2,graw,gcorr,sigma,zbar,acc
1,0.9643586623348835,0.9329525497685642,0.6022161541673373,-0.0008592560469302852,-0.001152324893927151,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.2538743157999863,1.5775760946122477,0.7379231523429145,-0.09329960749923112,-0.05560379771289819,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.4527136856276845,2.11910435673232,0.7023012053274621,-0.16077294320739036,-0.07685455999698325,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.5901884375272772,2.5381217653305033,0.6363726156628532,-0.21735520706466943,-0.09419153323943004,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.7133191376497947,2.945838611745604,0.608966646834243,-0.2012498004191415,-0.08295296361911618,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.8260694975765352,3.348272510410618,0.5847299087470772,-0.18229601008206395,-0.07193085827290788,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.926519968440684,3.7270143714294566,0.5831917443857014,-0.20444988336686268,-0.07495512038241701,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.031343196698115,4.142718811591797,0.6076429894603378,-0.1919385492979981,-0.06493675465120814,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.115545061599666,4.492882106166717,0.5651815006962657,-0.2150182061213451,-0.07095289845832882,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.1931166287665844,4.825571984756578,0.5783023398949425,-0.24561246130508174,-0.07811449432353287,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.2765609602135894,5.197558742898005,0.5932510235731953,-0.22126426543176714,-0.06607591656276504,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.3590697307851443,5.579779587298004,0.5891698803371967,-0.2069490359371974,-0.060404697899833056,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.439376327244308,5.965695050817999,0.5826559692387954,-0.19674050571880186,-0.055648796596820184,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.5195677198351847,6.3644043416851295,0.6471102172997852,-0.24840092643265327,-0.0634840718821558,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.591692487270276,6.732304130444638,0.6191720119324747,-0.25127222317296793,-0.06304383375521577,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.6621612043563143,7.1023528952782975,0.6444764616552695,-0.2744276968216096,-0.06791076686298401,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.7365349164746053,7.503918753117741,0.6189136087534166,-0.21734775091397313,-0.05267971007771113,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.813952125199515,7.932668049377508,0.619971940505717,-0.19122264424594967,-0.044224150179560585,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.8840609708087506,8.333119560988598,0.6302572015768511,-0.2298056899657615,-0.052134587498542356,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.95080463779188,8.723441746178002,0.6037269810498888,-0.21340479586048333,-0.04808296222767581,SN15,snake,1.5,0,0.021651779343940292,0.6037269810498888,27.88348114303384,1.0,4.299419350373765,12.120343893868368,19.445052405310864,27.88348114303384,0.9050774450516289,0.8149141281061818,0.7299161981154612,0.6501328192344449,0.576073513635879,0.2871524469611848,0.07561744526622946,0.013080534473042875,0.017881247588844625,0.018574364182512296,0.022806702717080185,0.5820752017059485,0.4985357972968082,0.5733827275672846,0.42661727243271536,0.11428388845637938,0.05115380837296914,0.13341608383043524,-0.013369533822058171,1.4608342485931354,-0.5058248001426487,0.8966000080108643
21,3.0146106250253326,9.105357312892094,0.6187915282081428,-0.23687596149405266,-0.052920882311493764,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3.0897060836981165,9.56542376659831,0.7075354752298659,-0.24746902152364875,-0.049270851137238815,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3.1540821177119405,9.96782431774958,0.6738556810935938,-0.27145512994232435,-0.05347688528323769,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.220295643021747,10.388179402123578,0.713708917987525,-0.2933538336135267,-0.056074699224917576,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.2870542130129574,10.82284454819324,0.6780048957535725,-0.2433397496839101,-0.04642755621266862,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3.3519680516636665,11.253819171667178,0.6782342168640417,-0.24725959339010267,-0.04684743156602155,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3.4140285916416384,11.673159018129832,0.6919232180365921,-0.2725833715739406,-0.049457759142761876,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3.479005572982611,12.120449160731136,0.7133583386829543,-0.26606819608164817,-0.045767240985297414,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3.5355043186099406,12.516435362701422,0.6489382571249852,-0.25295205515469865,-0.04606482176306574,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.591529996394253,12.916257967728734,0.6939683552212557,-0.2941457501939444,-0.050914778271422774,SN15,snake,1.5,0,0.02401629627450176,0.6939683552212557,28.895727604678406,1.0,4.3470573902549425,12.725181489015988,20.56707774019349,28.895727604678406,0.9063271918306219,0.8179503042056628,0.734853811635222,0.657193292918942,0.5826306850445406,0.3063660288065539,0.0870024602432515,0.021354012548122803,0.03159172700433851,0.012155566721381683,0.015327430239765658,0.6699520589467539,0.5745456753260331,0.6080398388121416,0.39196016118785826,0.11718504474472284,0.05660550846113689,0.12050671569491313,0.007140677279310008,1.7246401567089187,-0.34540655622502475,0.8889999985694885
31,3.654124270535892,13.368872076207138,0.7249412101170756,-0.2723271016386735,-0.0457244587744496,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3.712533105687549,13.7982572995884,0.6884626421780404,-0.2590774187967766,-0.043798114299482674,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3.768105338183464,14.214148718321935,0.6826979148239495,-0.2668064960904149,-0.044069604334881295,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3.827389040973035,14.663822683516837,0.6999482473057932,-0.250274282110892,-0.04053455701547493,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.886143450366903,15.117220408924508,0.700825445542703,-0.24742772013503092,-0.039549372974428953,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.9367459058846306,15.512264168753223,0.6904787786250864,-0.2954350187963731,-0.046146643754049116,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3.991581291461372,15.94691950098586,0.6863989471409684,-0.2517436149083313,-0.039585932248841604,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4.045176945214084,16.378124977578214,0.7497877073990658,-0.31858223080671044,-0.04712133216462822,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4.09778964449821,16.808222549632795,0.687930128096726,-0.2578325560421461,-0.03996970104187489,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4.149826952140165,17.238330882975056,0.7004229069378347,-0.2703145735955708,-0.03945824795006849,SN15,snake,1.5,0,0.024801828784742602,0.7004229069378348,28.240776638564476,1.0,4.373117492734075,12.873009248311448,20.87105964820341,28.240776638564476,0.9079019682548949,0.8203267230712225,0.7377926816504108,0.6607168395132932,0.5891547993503434,0.30524730154820184,0.06988188394428833,0.01230565314027864,0.025482523661947778,0.0010248382074525546,0.005276735433753856,0.6756210781530922,0.5802540645684562,0.6193806791260436,0.38061932087395645,0.11834654786634159,0.05824931357970771,0.11628759911768337,0.007083126720136504,1.8317775765448447,-0.5744765225993576,0.8903999924659729
41,4.202431227252375,17.676670720704408,0.6966595317813028,-0.258319694051953,-0.03872132351501254,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4.250987552901962,18.08687728233867,0.6595254865491578,-0.24931892491489854,-0.036626752588196115,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4.308944508955487,18.58175978299135,0.7626696118610284,-0.26778711120834214,-0.03652809251295611,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4.358137011781609,19.007266627800774,0.7017330745986443,-0.2762262297892253,-0.038730240761827496,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4.405431626964525,19.421172689481367,0.7302296245008654,-0.3163235628202715,-0.04325446210777689,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4.457191885984069,19.880703579164965,0.7887067886526589,-0.32917589896906063,-0.04253076708938718,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4.506852375514976,20.32639902283811,0.6888472885451083,-0.2431518448719658,-0.03364863128707772,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4.551984005363917,20.73537175364493,0.7266533010825655,-0.3176805702757422,-0.04166892422728826,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4.597461862893816,21.151336300390504,0.6973942138946828,-0.28142966714910833,-0.03815224814067932,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.644966326898405,21.59057963729765,0.700567408524086,-0.26132407161694227,-0.03508322805810007,SN15,snake,1.5,0,0.02376905148993846,0.700567408524086,29.473932050702114,1.0,4.3048497685322245,12.549069576429337,21.00060584671927,29.473932050702114,0.9060386897155328,0.8165357353543531,0.7320937876228387,0.6532951591224203,0.5798621573268535,0.30141447119552833,0.09336993867258649,0.021507037953062427,0.008979351051717082,0.020454000716538974,0.027150245644331203,0.6767983570341476,0.5773068242105286,0.6148055961424046,0.38519440385759546,0.11905345945793033,0.05584770596828146,0.11635700264961467,0.008773677744470113,2.0260568776454058,-0.46784623892676863,0.8772000074386597
51,4.693315846441387,22.0417602567834,0.7502412058436518,-0.2990605863579024,-0.03780911647165026,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4.739108288573124,22.473528995054092,0.7019165527456872,-0.2701478144749939,-0.03482979806398237,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4.7859259261318305,22.91927083442955,0.7563004078431189,-0.31055856846766394,-0.03803540524541513,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4.827976986393727,23.323504750398588,0.6716634840952483,-0.26742956812620583,-0.034735282299275326,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4.8696949794624995,23.7287694013265,0.7559662196165157,-0.3507015686886041,-0.04257895868789374,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4.913742753799543,24.158889573162643,0.7452911210791412,-0.31517094924299854,-0.03780091206907021,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4.95388434573525,24.554894885538022,0.7284228915252027,-0.33241757914981984,-0.04042022575783893,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4.999036713309523,25.004289724493848,0.6807597974061591,-0.23136495845033717,-0.029122541428242985,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5.036250598846674,25.37868379742892,0.6829258130131904,-0.30853174007811446,-0.03796946017610973,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5.077880366683064,25.799798914744397,0.7001840463912893,-0.27906892907581743,-0.03389925164607725,SN15,snake,1.5,0,0.023879751867897862,0.7001840463912893,29.32124463707531,1.0,4.350242393421088,12.747798746961573,21.06284569044476,29.32124463707531,0.9052062968102373,0.8152585775466786,0.7305894226534341,0.6516138837684263,0.5759038882918401,0.3006038106772878,0.1014870834978881,0.016342711866851815,0.014406907565368618,0.012848070874415505,0.03253512709383343,0.6763042945233915,0.5903638894281708,0.6012331438946934,0.3987668561053066,0.11701463669045127,0.05577260905613418,0.11409361866537247,0.003068192565259258,2.1473059869385733,-0.6133692751797709,0.8860999941825867
61,5.118862749399387,26.21704485819113,0.717446880908104,-0.30020093746136917,-0.03509598238509939,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5.158494244370838,26.623565106735665,0.6854416836264003,-0.2789214350818666,-0.033766181922318866,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5.200392683963935,27.057899585167153,0.6616081182627827,-0.2272736398312962,-0.02880688350032913,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5.23734625958938,27.443747157843855,0.6820564844966066,-0.2962089118199019,-0.03428488839374667,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5.272323188920878,27.812378889844958,0.700769753954331,-0.3321380219532276,-0.03983298120346852,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5.307813415354667,28.18865192215755,0.7063123935936924,-0.3300393612810976,-0.0390014172793934,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5.346806977310653,28.604416363538068,0.7631575017241236,-0.3473930603436134,-0.03815256465569356,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5.385664822416736,29.02155334718572,0.7003936620138208,-0.28325667836616736,-0.03114624614270259,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5.420766281759597,29.401084379514355,0.6888719993693064,-0.30934096704066916,-0.03577909666501203,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5.458393126775634,29.810988151849713,0.7326547457738033,-0.3227509734384416,-0.03520220437250381,SN15,snake,1.5,0,0.0246297302862183,0.7326547457738033,29.74676284554217,1.0,4.337909501280821,12.39536446354718,20.424113654537752,29.74676284554217,0.9064387776426498,0.8184635412710813,0.7352854794846457,0.6579811935154912,0.5850101180930871,0.3019516391042617,0.0893382415209532,0.032073129703032756,0.010964389691885023,0.032062857432434914,0.02828605392851619,0.708025015487585,0.6136724698523652,0.5729260955964874,0.4270739044035125,0.11771508241860827,0.058552248096956465,0.10881209707733555,0.006098796333690092,2.1461783959241334,-0.41845347545499223,0.8885999917984009
71,5.496477542902037,30.228908044805763,0.6973572236812029,-0.2794373307251607,-0.030927040721959106,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5.536237202463473,30.668499832127196,0.7285683016338149,-0.2889765143123812,-0.0317618186202929,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5.572229314774607,31.070292941283448,0.7018254559095846,-0.30003234675333124,-0.03279465625016319,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,5.605300048342729,31.439987491207702,0.7071077497682836,-0.33741319984402485,-0.03694955961434301,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,5.642940690545223,31.863619353504536,0.7461405666153641,-0.32250870431853057,-0.0340401143208231,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,5.682505970140818,32.31047003602393,0.7183300409225307,-0.2714793584031485,-0.029316353148861413,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,5.720073525470991,32.73852765826202,0.6855757743855109,-0.25751815214741036,-0.02824426797829804,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,5.753659629592432,33.12374924340938,0.7010727195222739,-0.3158511343749215,-0.033896908144637666,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5.788162707430038,33.52150580236676,0.7226314442426874,-0.3248748852852956,-0.03412297819776156,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
