arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3
SW3,4,0.001,1,none,0.96884375,1,1,0,0,0.03219399229,0.5641880631,-1.374802232,0.5081253648,0.6032114029,8.88731953,0,0,-2.093576908,2.232862473,-3.992463112,0.1611821502,0.3170873225,13.87877259,0,0,-2.286982298,6.05427742,-13.05147266,0.3468835354,80.17713606,0,0,2.464167833,4.258153915,-0.7908169031,0.7232543826,55.95542413,0.9702315927,2.303430796,3.016304493,1.194187045,1.650263667
SW3,4,0.001,2,none,0.9088770833,0.9983333349,0.9983333349,0,0,-0.3728664815,1.31498158,-3.254989862,0.2816945016,0.3924611807,6.229568827,0,0,-24.61194801,12.47388077,-41.12890244,0.01009138674,0.01669828221,10.08051831,0,0,-3.195299625,7.117665768,-6.246514797,0.2900207937,85.8920026,0,0,-0.6501870155,6.689450741,-6.667613506,0.4875516891,68.78293803,1.652356267,4.121586323,4.650989056,2.426399469,3.277907133
SW3,4,0.001,3,none,0.5475770833,0.7383333445,0.7383333445,0,0,-1.950158715,1.736027241,-5.359375954,0.07656933367,0.1453203857,5.58007214,0,0,-43.80202103,20.68190384,-96.5508194,0.007953952998,0.0152147552,11.89599853,0,0,-2.750007391,7.093132973,-12.36212921,0.1627681702,77.34925984,0,0,-9.684141159,12.12409592,-23.36679649,0.09527506679,72.60543566,2.463221073,5.708447933,6.164953232,3.091954231,5.501395226
SW3,4,0.001,4,none,0.1787104167,0.1925000101,0.1925000101,0,0,-1.67565012,2.374853849,-9.262289047,0.1411527544,0.2362926304,4.143723384,0,0,-98.0455246,44.96842575,-156.9892426,0.0004196822701,0.001173616969,4.14689834,0,0,-5.489498138,4.874288559,-31.23415375,0.04397268966,25.07452043,0,0,-37.64884567,18.61196136,-82.12780762,0.004943889566,46.08093043,2.767476797,6.259377003,6.438077927,3.355173349,6.362093449
SW3,4,0.001,5,none,0.13876875,0.1391666681,0.1391666681,0,0,-3.038029909,2.882045746,-9.22733593,0.06683515012,0.1255443543,2.928388232,0,0,-161.3050232,65.98900604,-259.436615,3.239352736e-06,2.012626828e-05,1.372831627,0,0,-12.34817696,7.453705788,-60.45978165,0.01307167578,5.933905617,0.6399999857,0,-90.00968933,36.33626938,-171.7966919,-7.286234163e-15,11.0839936,2.788173914,6.281501293,6.742433071,3.40730691,6.420198917
SW3,4,0.001,6,none,0.1301020833,0.1616666764,0.1616666764,0,0,-2.93505168,2.577465534,-15.72745609,0.09066108614,0.167863965,3.846041995,0,0,-92.25413513,39.60666275,-147.6734619,8.146343475e-07,1.058125235e-05,2.172501864,0,0,-3.333362341,2.202656746,-19.14287186,0.002687711269,4.61993772,0,0,-23.54614449,9.610620499,-49.94997787,-1.835478258e-07,9.406552713,2.789894819,6.524694443,6.808832645,3.769155979,12.09753227
SW3,4,0.001,7,none,0.1428458333,0.1616666764,0.1616666764,0,0,-2.750406265,1.885051966,-16.51250458,0.04617518559,0.09304390103,4.745746374,0,0,-81.00106049,32.45468521,-122.5391159,-3.542152882e-08,-2.438640923e-13,1.24786885,0,0,-5.411880016,4.050925255,-30.80110168,0.004224298522,2.648106934,0,0,-32.37483215,16.29616737,-94.83435059,-4.493686845e-07,9.814743325,2.61774087,6.903166294,6.922971725,4.415871143,19.82925415
SW3,4,0.001,8,none,0.1361354167,0.151666671,0.151666671,0,0,-2.362582684,1.781196594,-22.51572037,0.03671039641,0.0721277371,4.780356889,0,0,-64.74389648,25.13006401,-106.8469849,-6.073226189e-08,-9.432592104e-14,1.288687263,0,0,-5.402486324,3.316062212,-26.71968269,0.001600229414,1.89489214,0,0,-26.12205887,13.40347576,-66.49067688,-2.470118261e-07,11.92295917,3.032214403,7.102051258,7.431519508,4.949175358,29.69001389
SW3,4,0.001,9,none,0.1472270833,0.1758333445,0.1758333445,0,0,-2.826241732,2.162479401,-22.82275772,0.1157539412,0.2075097561,5.379850453,0,0,-46.7277832,18.83235359,-92.51066589,-4.328126693e-07,-1.688662556e-12,1.508140536,0,0,-6.75511837,3.911957026,-24.48363876,0.00153325859,2.656970004,0,0,-29.30854225,16.45898438,-63.90707016,-0.00015647072,21.0155211,3.253689766,7.144515038,8.269989014,5.683505535,38.76986313
SW3,4,0.001,10,none,0.1479166667,0.1775000095,0.1775000095,0,0,-2.794543743,2.154478788,-25.34526443,0.06075740233,0.112022005,5.483913507,0,0,-44.3182869,17.79933167,-85.79685974,-4.040213497e-08,-2.668045025e-14,1.570594624,0,0,-7.111525059,4.132317066,-25.73967743,0.00117496727,3.05949386,0,0,-34.75615692,18.80348396,-68.89038086,-2.713273352e-05,16.70161241,3.471743107,7.16566515,8.580529213,6.360868931,47.72253418
