arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,alpha_W_med_f2
SWA3u,4,0.001,1,none,0.94830625,1,1,0,0,-0.5169944167,0.4194166362,-1.173331976,0.04042364657,0.0728032589,2.865289221,0,0,-18.92041779,10.32393742,-226.9718475,0.02544464543,0.05898136273,12.69563262,0,0,-5.746106148,12.39574909,-16.73997879,0.2863026559,84.55688665,0,0,-1.281288147,11.45858765,-21.4272213,0.4536077976,66.4692815,0.8471413255,4.093483925,4.488926888,1.706027269,1.934689641,5.391498566,1.046102524,11.22438431,0,3,0.2527434826,0.02793033794,0.6570158005,0,3,0.2494989485,0.1625801474,0.3498630226,0,3,0.2704586983,0.1112515256,0.3686572015,0,3
SWA3u,4,0.001,2,none,0.7884541667,0.989166677,0.989166677,0,0,-0.7464188337,1.318758607,-2.156076193,0.1562362313,0.2225143015,2.215441983,0,0,-422.2577209,157.9505157,-2473.922119,-0.01561492309,-0.002046568552,7.599630493,0,0,-414.454895,210.1481781,-1348.484985,-0.01570834592,28.11747376,0,0,-348.4528809,142.1147919,-734.6951294,-0.01703030802,51.57238851,1.913201094,7.943537235,7.632695675,3.514552593,4.650819778,1.90426755,0.2680269182,7.658629417,0,3,0.01426169276,0.002876524348,0.06287384778,0,3,0.01486648433,0.003891970031,0.03537546843,0,3,0.02152844518,0.009028296918,0.04099036753,0,3
SWA3u,4,0.001,3,none,0.13931875,0.1333333403,0.1333333403,0,0,0.6845982075,2.157013655,-4.522019386,0.8567061424,0.9297483563,2.728350307,0,0,-229.309906,126.383934,-2255.653809,-0.01427080203,0.005010822788,2.655108925,0.01999999955,0,-1874.433228,442.6700439,-8279.838867,-4.529803482e-05,1.87027097,0.009999999776,0,-2846.305176,431.2197571,-34330.37109,-5.818916975e-07,7.054702813,2.213338137,8.194581985,8.7224617,4.655390739,5.314974308,1.362310886,0.3111872673,4.193918228,0,3,0.02137435228,0.003243546467,0.07354963571,0,3,0.006989337504,0.002293042839,0.01629220322,0,3,0.007231767755,0.0006147209788,0.01571731083,0,3
SWA3u,4,0.001,4,none,0.12720625,0.1475000083,0.1475000083,0,0,302.1353455,135.151001,-0.7951847315,1.018740892,1.015532374,1.073674181,0,0,49789.17969,26183.35547,-2625.752686,0.9746217132,1.011872649,1.348836575,0,0,-7718185,7138450,-74458888,0.04257180169,1.33906747,0,0,-3066685184,716299648,-5000826880,-1.275403429e-05,1.312025609,76.88247681,18.85334015,12.56937695,6.422207355,4.148599625,0.02242392488,0.02143321745,108.743248,0,3,8.483944839e-05,9.434523236e-06,0.005435336381,0,3,4.273981631e-07,1.374736947e-08,1.54527288e-06,0,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,6.909959793
SWA3u,4,0.001,5,none,0.1261145833,0.1233333349,0.1233333349,0,0,320.8576355,143.5107117,-1.0353266,1.018684506,1.015480399,1.06977651,0,0,97751.47656,44387.79297,-3272.835205,1.014094472,1.011790752,1.330372208,0,0,1352974,11346609,-93688104,0.5755465031,1.351960297,0.01999999955,0,-5346821120,1239092096,-9024818176,-2.93374967e-07,1.136168649,81.64548492,24.66943169,13.51141357,6.658611298,4.163579941,0.0211442709,0.02025899664,13.71800423,0,3,5.484996291e-05,8.327074283e-06,0.005060715135,0,3,2.762474196e-07,1.029405894e-08,1.222031187e-06,0,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,11.69130993
SWA3u,4,0.001,6,none,0.1162125,0.1191666722,0.1191666722,0,0,328.4373169,146.7556,-0.2491394132,1.018692017,1.015489459,1.068573501,0,0,123204.6172,54478.27734,-2675.620117,1.016847491,1.011937976,1.312636608,0,0,10668238,12488672,-119908864,0.9577199817,1.333307137,0.02999999933,0,-6612999168,1529900672,-1.025596416e+10,-4.826334532e-08,1.087944347,83.5771637,28.49791527,14.25924873,6.744436264,4.778817177,0.02064366825,0.01982581057,26.54223061,0,3,4.577626532e-05,7.892438589e-06,0.004077891354,0,3,2.472419851e-07,9.999999939e-09,8.499121122e-07,0.009999999776,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,14.78316402
SWA3u,4,0.001,7,none,0.1252708333,0.1266666651,0.1266666651,0,0,333.5976257,149.0527954,-1.175064564,1.01881516,1.015606761,1.067660748,0,0,144800.1406,63287.16797,-3751.476318,1.016974568,1.012135029,1.299853546,0,0,10263039,19178466,-175864560,0.9888525605,1.343489,0.2099999934,0,-8409375232,1959325312,-1.332872909e+10,-2.311538516e-09,1.244075117,84.88272858,30.96681976,15.37277508,6.805664062,7.968333721,0.02025734819,0.01946498081,6.637936592,0,3,4.069895658e-05,7.619186363e-06,0.005707046483,0,3,1.59008323e-07,9.999999939e-09,8.09921346e-07,0.009999999776,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,18.96067047
SWA3u,4,0.001,8,none,0.118125,0.1216666698,0.1216666698,0,0,338.9852295,151.3316956,2.885703087,1.01861012,1.015436888,1.071343538,0,0,167072.4844,72321.57812,-5629.481934,1.016814709,1.012128234,1.299508834,0,0,23348176,22292160,-210809216,1.000504613,1.364164936,0.8299999833,0,-1.056516506e+10,2454407424,-1.457684378e+10,-6.586609036e-11,1.458622858,86.23188019,34.09250259,16.26902962,7.018867016,10.87169933,0.02002825961,0.01926263794,1.876976609,0,3,3.699151421e-05,7.333249869e-06,0.00400791131,0,3,1.371009262e-07,9.999999939e-09,8.985815612e-07,0.01999999955,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,23.66914368
SWA3u,4,0.001,9,none,0.1115833333,0.1150000021,0.1150000021,0,0,343.7670593,153.4642029,-1.007837892,1.018716693,1.015512466,1.069182799,0,0,177964.1406,76909.72656,-3774.74707,1.017007113,1.012185812,1.296542571,0,0,19925076,17945056,-192804416,0.9892626405,1.41957448,0.8100000024,0,-1.03865129e+10,2422154496,-1.686859674e+10,-6.69376013e-11,1.097785753,87.43956757,35.13632202,15.72843742,7.019630909,14.36729717,0.01969424076,0.01895090565,4.175615788,0,3,3.403751907e-05,7.109929356e-06,0.001938868663,0,3,1.720230216e-07,9.999999939e-09,6.243811299e-07,0.01999999955,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,23.42591667
SWA3u,4,0.001,10,none,0.1098041667,0.1166666672,0.1166666672,0,0,351.7565613,156.9861603,-1.625720263,1.018671751,1.015468955,1.066977904,0,0,206633.7656,88777.45312,-7071.509277,1.016969681,1.012021303,1.295746223,0,0,15567565,22554998,-259628672,0.9696787,1.449539078,0.7599999905,0,-1.021607731e+10,2358298880,-1.973241856e+10,-1.125233517e-10,1.176622255,89.4649353,38.87812042,16.75804901,6.942627907,14.54093647,0.01926512085,0.01855936833,5.105988503,0,3,2.960535494e-05,6.807437785e-06,0.00141400483,0,3,1.344744618e-07,9.999999939e-09,6.149998626e-07,0.01999999955,3,9.999999939e-09,9.999999939e-09,9.999999939e-09,1,22.87628555
