arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LR,7,0.001,1,none,0.9706833333,1,1,0,0,-0.635586977,1.399940133,-2.622723341,0.3924999833,77.0703105,0,0,0.883618176,1.336652994,-0.0009938447038,0.7832500339,47.41251325,3.446260214,2.053816557,3.575101852
LR,7,0.001,2,none,0.940525,1,1,0,0,-3.076595783,2.215865135,-6.535992622,0.1569999903,73.39215356,0,0,0.5926971436,1.602184296,-3.023293495,0.6805000305,52.59767037,5.696876049,2.883786678,6.242551327
LR,7,0.001,3,none,0.9239666667,1,1,0,0,-4.24843502,2.644213438,-7.234903336,0.1382499933,70.6168386,0,0,-0.4562608898,1.924926639,-4.787329674,0.4569999576,60.24360337,6.825668335,3.403101206,7.914134979
LR,7,0.001,4,none,0.8990375,1,1,0,0,-5.148032188,3.08783412,-9.531907082,0.1315000057,68.62108819,0,0,-2.708313465,2.479223967,-8.552214622,0.1929999739,64.1632557,8.525054932,3.789865494,9.46894455
LR,7,0.001,5,none,0.8934375,1,1,0,0,-5.808832645,3.356594563,-11.67451096,0.127000019,67.69300458,0,0,-4.516243458,3.083184719,-8.792015076,0.1487500072,62.59531996,10.60047722,4.271754265,10.07653809
LR,7,0.001,6,none,0.8836708333,1,1,0,0,-6.372104645,3.671574116,-10.82486916,0.1240000129,65.23023887,0,0,-5.74977684,3.605469227,-12.29445839,0.1382499933,58.91423728,12.59167957,4.632463932,11.02566338
LR,7,0.001,7,none,0.8702145833,1,1,0,0,-7.370315075,3.890314341,-12.79176331,0.1165000126,62.00432195,0,0,-8.026847839,3.892088175,-12.68574715,0.1172500104,54.04524545,14.51943779,4.816621304,11.47581577
LR,7,0.001,8,none,0.86181875,1,1,0,0,-7.380212307,3.952293158,-13.34426022,0.1105000079,62.86627714,0,0,-8.835786819,4.117223263,-14.96683598,0.1157500073,51.72718746,16.1939888,4.908255577,11.61308479
LR,7,0.001,9,none,0.8568708333,1,1,0,0,-7.6957407,4.167503834,-14.02627277,0.1127500013,64.88875742,0,0,-8.92595768,4.411518574,-14.95592594,0.1157500073,51.57147646,17.94258308,5.127481937,11.91541862
LR,7,0.001,10,none,0.84460625,1,1,0,0,-7.991668224,4.193223476,-13.34308434,0.1157500222,66.76757223,0,0,-8.542573929,4.475012779,-15.64933872,0.1217500046,56.40335341,19.79014206,5.385005951,12.35707378
LR,7,0.001,11,none,0.8384229167,1,1,0,0,-8.60539341,4.464067936,-12.87489319,0.1120000184,65.92201166,0,0,-10.06224823,4.701920509,-16.37177467,0.1105000153,48.19292501,20.85520935,5.460702896,12.38684845
LR,7,0.001,12,none,0.8417083333,1,1,0,0,-8.990501404,4.437174797,-14.8064518,0.1090000123,65.51368263,0,0,-9.841882706,4.624803543,-17.62513924,0.1112500131,48.75104993,22.34610367,5.5666852,12.39004898
LR,7,0.001,13,none,0.8260916667,1,1,0,0,-8.347637177,4.373461246,-13.7840271,0.1120000109,66.12069297,0,0,-9.088512421,4.556061745,-16.80232048,0.1165000051,52.27712391,23.80124092,5.51299572,12.18257618
LR,7,0.001,14,none,0.8223875,0.9233333468,0.9233333468,0,0,-8.115292549,4.464054585,-14.34167194,0.1135000065,67.84462918,0,0,-10.00874424,4.815065384,-15.83996773,0.1127500162,52.20213037,25.3628788,5.4676404,12.01815128
LR,7,0.001,15,none,0.83725,1,1,0,0,-8.630730629,4.665060997,-16.55896759,0.1150000021,68.4655941,0,0,-10.72197533,5.237225533,-18.50446129,0.1135000065,49.97816659,26.46372795,5.547598839,12.09211254
LR,7,0.001,16,none,0.81344375,1,1,0,0,-9.189860344,4.562736034,-14.6382637,0.1097500101,66.71086193,0,0,-12.05433559,5.021717072,-16.49216652,0.1075000092,41.78166569,28.29269791,5.593989849,11.93229485
LR,7,0.001,17,none,0.82599375,1,1,0,0,-8.910194397,4.82771349,-15.13606167,0.1127500162,69.26768321,0,0,-11.36925793,5.1068964,-18.31024742,0.1105000153,47.86395423,29.44571304,5.591013908,11.84180737
LR,7,0.001,18,none,0.8050354167,1,1,0,0,-9.139203072,4.790878773,-18.53175354,0.1097500101,67.87932836,0,0,-11.61254978,5.084458828,-17.53103828,0.1105000153,46.24941341,30.84986877,5.62437439,11.98573303
LR,7,0.001,19,none,0.81813125,1,1,0,0,-9.277907372,4.949403763,-14.18369102,0.1105000079,67.68484237,0,0,-12.29244804,5.382355213,-19.74875259,0.1075000092,41.99131767,32.21947479,5.64094305,11.6718483
LR,7,0.001,20,none,0.8145458333,1,1,0,0,-9.109931946,4.985215664,-16.35442162,0.1165000051,70.11212405,0,0,-11.53443241,5.56171751,-19.4870224,0.1097500101,48.79865228,33.72911835,5.644791603,11.66501236
LR,7,0.001,21,none,0.8018291667,1,1,0,0,-9.657273293,4.990043163,-17.51200485,0.1112499982,68.26295563,0,0,-10.98524475,5.33527422,-17.91129303,0.1112500131,50.19675579,34.73721695,5.560245037,11.56152058
