arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SN06,6,0.001,1,none,0.9678458333,1,1,0,0,-0.1707623005,1.043447137,-0.5485985875,0.9105493426,81.9821807,0,0,0.7040428519,1.713970304,-0.2025083601,1.076124787,62.19332222,3.446168423,1.384089589,2.162995338
SN06,6,0.001,2,none,0.9777583333,1,1,0,0,-1.11001718,1.36192584,-2.264210701,0.7591688037,82.34842063,0,0,-0.5393103957,1.954118013,-2.267748833,0.9448829889,72.69047045,4.298487186,1.63190186,2.981970549
SN06,6,0.001,3,none,0.9850791667,1,1,0,0,-1.113338947,1.401000857,-2.704844236,0.7888071537,82.72497651,0,0,-0.9158365726,2.237965107,-2.562686443,0.9421304464,76.13281651,4.661036015,1.713496566,3.166669607
SN06,6,0.001,4,none,0.9870166667,1,1,0,0,-0.8835511208,1.547849417,-4.248157978,0.8500115871,79.39699898,0,0,-0.418266207,2.815901518,-6.222948551,0.9673977494,67.22943553,5.125030041,1.8334198,3.366389751
SN06,6,0.001,5,none,0.9863479167,1,1,0,0,-1.22242105,1.654443741,-3.849680185,0.8716592193,79.02508328,0,0,-1.159999967,3.222036362,-7.337028027,0.9625628591,67.29886171,5.543383598,1.901448727,3.590383768
SN06,6,0.001,6,none,0.9849708333,1,1,0,0,-0.9304251075,1.752378941,-4.84671402,0.8812344074,78.55780591,0,0,-1.052656293,3.593096018,-5.539134026,0.9770133495,65.02230383,5.876307011,1.971459746,3.68631196
SN06,6,0.001,7,none,0.9826791667,1,1,0,0,-0.8389204741,1.868021846,-3.68839407,0.9065055251,76.87827546,0,0,0.3770062625,4.093840599,-9.69581604,0.983661592,59.45712947,6.193752766,2.054361343,3.827890396
SN06,6,0.001,8,none,0.9799916667,1,1,0,0,-0.9138521552,1.931168914,-3.726936817,0.9258343577,77.9496935,0,0,1.06358707,4.64296484,-8.85866642,0.9846790433,60.28886905,6.461625099,2.121850967,4.054222584
SN06,6,0.001,9,none,0.9763375,1,1,0,0,-0.8989667892,2.090419769,-4.481638908,0.9505849481,76.22807835,0,0,-0.6749892235,5.265703201,-11.60665035,0.985996902,59.71911709,6.800324917,2.187451363,4.062370777
SN06,6,0.001,10,none,0.9752520833,1,1,0,0,-0.8771964312,2.187960148,-6.943557739,0.9603684545,73.84311699,0,0,-0.6498064399,5.839556217,-25.44384956,0.9883579612,53.19098282,7.03199625,2.249216795,4.199620247
