arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNA,4,0.001,1,none,0.972325,1,1,0,0,-0.2951693535,1.159356475,-2.786814213,0.8651263714,79.99787549,0,0,0.7597082257,1.844983578,-0.8043031693,1.219455004,62.87064242,3.217756033,1.424546123,2.053662777,0.5259719491,0.2616275847,0.8219316006,0,1.200000048,0.335270524,0.1898681521,0.468888253,0,1.200000048
SNA,4,0.001,2,none,0.9774875,1,1,0,0,-2.111856461,2.25463295,-24.44848061,0.630764544,67.07865533,0,0,-2.321846485,4.366915226,-10.98440266,0.7168034315,73.8557396,4.926136494,1.931591988,2.587918043,0.2756612897,0.08642419428,0.480353564,0,1.200000048,0.1408779919,0.08803893626,0.2386581451,0,1.200000048
SNA,4,0.001,3,none,0.9805333333,1,1,0,0,-2.463962317,2.801218987,-45.48489761,0.6421864033,58.27064313,0,0,-5.960381031,6.469288349,-16.20677185,0.5922137499,75.26069737,5.993253708,2.227915287,2.795423508,0.2202593088,0.05000000075,0.3473211229,0.009999999776,1.200000048,0.09591709822,0.05758913979,0.1634942144,0,1.200000048
SNA,4,0.001,4,none,0.9794979167,1,1,0,0,-2.898478508,3.023251772,-47.76426315,0.5895929933,58.45322016,0,0,-6.947118282,6.718772411,-16.1500721,0.5611421466,75.88782197,7.115636826,2.454641581,2.837392569,0.2044745237,0.05000000075,0.3001557589,0.009999999776,1.200000048,0.09154725075,0.0627515763,0.1442028731,0,1.200000048
SNA,4,0.001,5,none,0.98346875,1,1,0,0,-3.120879412,3.443090916,-53.4778862,0.5901762247,57.29073671,0,0,-8.972675323,8.22550106,-20.77708054,0.5602881312,76.08024834,7.708065987,2.633363008,3.011016369,0.1800827533,0.05000000075,0.2579988539,0.009999999776,1.200000048,0.07546965778,0.05000000075,0.1288175583,0.009999999776,1.200000048
SNA,4,0.001,6,none,0.9812770833,1,1,0,0,-2.736683369,3.213444471,-56.74581528,0.6008395553,55.44183353,0,0,-8.390565872,7.247607708,-16.09172821,0.5447055697,77.52692909,8.293703079,2.711056948,2.881710291,0.1924810112,0.05000000075,0.278275162,0.009999999776,1.200000048,0.0850295499,0.06185432151,0.1276345253,0,1.200000048
SNA,4,0.001,7,none,0.9839541667,1,1,0,0,-3.065464258,3.383544922,-57.08976746,0.58476758,56.78258595,0,0,-8.665669441,7.827484608,-20.33972549,0.5537225008,79.31324581,8.79734993,2.870321274,2.938002348,0.1817170978,0.05000000075,0.2642813325,0.009999999776,1.200000048,0.07917060703,0.05423685536,0.1069897786,0,1.200000048
SNA,4,0.001,8,none,0.9826333333,1,1,0,0,-3.121904135,3.47601819,-59.38616562,0.594117105,56.01602975,0,0,-9.571107864,8.158471107,-17.73818588,0.5477733612,78.82956271,9.300997734,2.990925789,2.856461763,0.1777128577,0.05000000075,0.2657276094,0.009999999776,1.200000048,0.07521690428,0.05825482681,0.1031364948,0,1.200000048
SNA,4,0.001,9,none,0.98548125,1,1,0,0,-3.387603045,3.589395285,-59.10705566,0.5952990651,58.04453281,0,0,-11.43400764,9.29464817,-20.43374825,0.5647512078,78.228542,9.785463333,3.095176935,2.858667135,0.17227754,0.05000000075,0.2705479562,0.009999999776,1.200000048,0.06611825526,0.05000000075,0.08893112838,0.009999999776,1.200000048
SNA,4,0.001,10,none,0.9862875,1,1,0,0,-3.931804895,3.95451498,-56.18122482,0.5950574875,60.58733559,0,0,-9.960068703,10.1444006,-18.61785698,0.5693300366,80.83473682,10.30538082,3.263605833,2.974449635,0.1565952748,0.05000000075,0.2139959186,0.009999999776,1.200000048,0.06105530635,0.05000000075,0.08835169673,0.03999999911,1.200000048
SNA,4,0.001,11,none,0.98331875,1,1,0,0,-4.010007858,3.710785627,-57.37364578,0.5724400878,59.03113851,0,0,-11.03213501,9.518115044,-19.71065521,0.5449674726,79.67318356,10.55560303,3.276046991,2.814027309,0.1661217958,0.05000000075,0.2205734849,0.009999999776,1.200000048,0.06459212303,0.05000000075,0.0874722451,0.009999999776,1.200000048
SNA,4,0.001,12,none,0.9857416667,1,1,0,0,-4.093463421,3.909330845,-62.15151596,0.5644977093,58.15384756,0,0,-13.61560059,10.46602631,-24.47430229,0.55766958,77.18148504,10.93070984,3.390280485,2.818798542,0.1575469077,0.05000000075,0.2075527012,0.009999999776,1.200000048,0.05920667574,0.05000000075,0.08717963099,0.03999999911,1.200000048
SNA,4,0.001,13,none,0.985825,1,1,0,0,-4.448526382,4.086920261,-60.98364639,0.5735569,59.69436844,0,0,-12.36081791,10.77946186,-22.02046967,0.5608192682,79.2433301,11.28420925,3.494987249,2.783200979,0.151778385,0.05000000075,0.2333425134,0.009999999776,1.200000048,0.05737179145,0.05000000075,0.07493248582,0.1199999973,1.200000048
SNA,4,0.001,14,none,0.98456875,1,1,0,0,-3.985025167,3.977402449,-61.1622963,0.5618601441,59.01007324,0,0,-12.2365036,10.28573608,-20.51334381,0.548943758,79.62621097,11.52357006,3.503762722,2.680488586,0.1550852656,0.05000000075,0.2161630094,0.009999999776,1.200000048,0.06000556797,0.05000000075,0.07354234159,0.03999999911,1.200000048
SNA,4,0.001,15,none,0.9863916667,1,1,0,0,-4.209102154,4.31809473,-61.33533859,0.5746563077,60.37938148,0,0,-13.2470293,11.60686493,-24.71823883,0.5563806891,79.67433923,12.01101208,3.606012583,2.764248848,0.1439912021,0.05000000075,0.2247112989,0.009999999776,1.200000048,0.05354341492,0.05000000075,0.07939828932,0.2700000107,1.200000048
SNA,4,0.001,16,none,0.9854979167,1,1,0,0,-4.227936268,4.305513382,-64.16034698,0.5822765827,59.44981545,0,0,-13.86155605,11.43149471,-22.47535896,0.5491468906,80.44432923,12.24497318,3.626106739,2.710232496,0.1436851621,0.05000000075,0.2151506692,0.009999999776,1.200000048,0.05373399332,0.05000000075,0.07396057248,0.2099999934,1.200000048
SNA,4,0.001,17,none,0.9862625,1,1,0,0,-4.366709232,4.219033718,-59.74341202,0.5718375444,61.49317496,0,0,-13.04467773,11.49023628,-23.25698853,0.5690855384,80.60936045,12.50904083,3.722169638,2.631330013,0.146177426,0.05000000075,0.1960964203,0.009999999776,1.200000048,0.05393056199,0.05000000075,0.07235365361,0.2899999917,1.200000048
SNA,4,0.001,18,none,0.9845145833,1,1,0,0,-4.412712574,4.21070385,-58.94416809,0.5581892133,61.41438059,0,0,-12.72341347,11.47208309,-21.5351944,0.557900846,81.03783115,12.82647896,3.780851126,2.573129892,0.1471457332,0.05000000075,0.2021447271,0.009999999776,1.200000048,0.05387810618,0.05000000075,0.0730964914,0.2899999917,1.200000048
SNA,4,0.001,19,none,0.9863270833,1,1,0,0,-4.342991352,4.252677917,-62.18952942,0.5719938278,60.89209225,0,0,-12.95373344,12.08955097,-25.39618111,0.5749806762,80.28781382,12.980546,3.797921896,2.567296028,0.1441237777,0.05000000075,0.2019726485,0.009999999776,1.200000048,0.05120896921,0.05000000075,0.07167050242,0.400000006,1.200000048
SNA,4,0.001,20,none,0.9862291667,1,1,0,0,-4.287121296,4.33940649,-64.54106903,0.5776586533,60.33651127,0,0,-14.52912426,12.38125801,-25.98869324,0.5642850995,79.50856401,13.29034901,3.876436949,2.495256186,0.1428914666,0.05000000075,0.1936600804,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.06286067516,0.5,1.200000167
SNA,4,0.001,21,none,0.9857458333,1,1,0,0,-4.907539368,4.619207859,-62.68302155,0.5628111959,61.23850424,0,0,-13.78763199,12.85252285,-28.22309303,0.6079973578,80.70600364,13.55601883,4.009135246,2.576789379,0.134389624,0.05000000075,0.1952037811,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.06160722673,0.6499999762,1.236679196
SNA,4,0.001,22,none,0.985525,1,1,0,0,-4.767694473,4.639144897,-64.91701508,0.5729365945,61.36206508,0,0,-15.08460808,13.49948692,-22.87556076,0.6106056571,80.84003144,13.87583733,4.089744091,2.438237667,0.1333921999,0.05000000075,0.184885174,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05652434379,0.8399999738,1.303013206
SNA,4,0.001,23,none,0.9856645833,1,1,0,0,-5.127449036,4.760452271,-62.38049316,0.5570322275,62.39788494,0,0,-13.13116837,13.31689358,-23.42602348,0.6193900704,82.15368453,14.1003418,4.167217255,2.455711126,0.1296298653,0.05000000075,0.1764798164,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05726331845,0.8799999952,1.291972876
SNA,4,0.001,24,none,0.9845479167,1,1,0,0,-5.295750141,4.607280731,-64.46392059,0.5567197204,61.23762514,0,0,-15.74417019,13.18476391,-28.52200508,0.6092079282,80.05824516,14.18915558,4.173125744,2.31015873,0.1341541111,0.05000000075,0.1718729734,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05594612285,0.7799999714,1.280148506
SNA,4,0.001,25,none,0.9859125,1,1,0,0,-4.50011301,4.588523388,-60.48126221,0.5662048459,63.51640788,0,0,-13.52387524,13.34875202,-20.65499496,0.6092829108,82.40382904,14.45537186,4.214445114,2.311082125,0.1345620453,0.05000000075,0.1881447881,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.057077948,0.8500000238,1.297212243
SNA,4,0.001,26,none,0.9852916667,1,1,0,0,-4.988171101,4.600615978,-62.42087936,0.568181932,62.35988163,0,0,-15.13475418,13.60404682,-26.65320396,0.6174586415,80.30624772,14.5669136,4.211556435,2.252948999,0.134093374,0.05000000075,0.1836280078,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05739634112,0.8799999952,1.319956064
SNA,4,0.001,27,none,0.9851020833,1,1,0,0,-4.883224964,4.659600735,-57.11198425,0.573078692,65.2046464,0,0,-13.46223736,14.05881405,-21.54289627,0.6384929419,82.62077514,14.75834942,4.281439781,2.230657816,0.1314183027,0.05000000075,0.1699657291,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05372238532,0.9300000072,1.357293487
SNA,4,0.001,28,none,0.9860145833,1,1,0,0,-5.083871365,4.828187943,-58.83093262,0.5632514954,64.40034223,0,0,-14.25524044,13.92026043,-29.99838448,0.6531930566,81.97423435,14.92225838,4.309973717,2.225458622,0.1278942525,0.05000000075,0.1740620285,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05413868651,0.9499999881,1.355910063
SNA,4,0.001,29,none,0.98375,1,1,0,0,-4.884950161,4.592726231,-58.18065262,0.5588776469,64.82575916,0,0,-12.79190063,13.64866638,-23.13248634,0.6403564215,82.61315201,14.94279289,4.32473135,2.08693862,0.1348525435,0.05000000075,0.1846464276,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05719422922,0.8299999833,1.322154164
SNA,4,0.001,30,none,0.9855729167,1,1,0,0,-5.351415634,4.780190945,-58.13601685,0.5627660751,65.29815703,0,0,-12.73522663,14.58485126,-24.21099663,0.6858568192,82.68437733,15.25670719,4.401697636,2.136055708,0.1290378869,0.05000000075,0.1823287457,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05448499694,0.9800000191,1.411331296
SNA,4,0.001,31,none,0.9855875,1,1,0,0,-5.5403018,4.849760056,-59.67769623,0.5570896864,64.49005643,0,0,-13.90458298,14.62618065,-27.02355766,0.6834833622,82.38154905,15.388587,4.430445671,2.09075284,0.1274684072,0.05000000075,0.1610747427,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05064771697,0.9700000286,1.423706174
SNA,4,0.001,32,none,0.9851916667,1,1,0,0,-5.293828964,4.919812679,-60.98434067,0.559997201,64.46905125,0,0,-14.27069378,15.08904266,-25.42247391,0.6917716265,81.94098051,15.65831947,4.513058662,2.119050264,0.1255190223,0.05000000075,0.1764529049,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.458878398
