arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNAc3,1,0.001,1,none,0.9561354167,1,1,0,0,-0.1114302799,0.7026748657,-2.604235649,0.9657247663,55.4329941,0,0,-0.1115132049,1.136128068,-6.040052891,0.9886935353,38.49910658,2.872685432,1.446128488,3.067661762,3,2.249954939,3,0.9399999976,4.078985214,2.69802022,1.35802412,3,0.1700000018,6
SNAc3,1,0.001,2,none,0.9630458333,1,1,0,0,-0.1254541576,0.9828907847,-7.285232067,0.9822316766,47.77826467,0,0,-0.583000958,1.582577944,-11.46919441,0.9866886139,37.95359866,3.268937826,1.60774219,3.214066505,3,1.087696075,3,0.6100000143,5.720828533,1.952966094,0.5926368237,3,0.009999999776,6
SNAc3,1,0.001,3,none,0.9687416667,1,1,0,0,-0.4595863819,1.470970869,-14.67876339,0.9813562036,37.72182752,0,0,0.8502320051,3.225576401,-41.59350967,0.9884328246,24.29928501,4.010194778,1.735517621,2.894039392,2.097248316,0.4439007044,3,0.07999999821,6,0.9534837008,0.1842380315,1.734625816,0,6
SNAc3,1,0.001,4,none,0.9723895833,1,1,0,0,-0.6336107254,1.752453804,-11.01555443,0.9825162888,44.06854031,0,0,1.447133183,3.911133051,-20.93291092,0.9909117818,32.08004228,4.505050182,1.827240586,2.751098871,1.74126339,0.4544413686,3,0.009999999776,6,0.7779587507,0.1998298913,1.627493858,0,6
SNAc3,1,0.001,5,none,0.9727083333,1,1,0,0,-0.2346711457,2.1497159,-14.63685894,0.9904541969,44.45557995,0,0,0.4078630209,5.675976276,-35.55371094,0.982460618,31.36348229,5.107319355,2.04914403,2.673438311,1.434942722,0.4670230746,3,0.009999999776,6,0.5252403021,0.1591153294,1.424831033,0,6
SNAc3,1,0.001,6,none,0.9687666667,1,1,0,0,-0.03668810427,2.368620396,-9.178667068,0.9813916087,50.65880706,0,0,0.16449067,6.900091648,-36.65858078,0.9908705354,36.7599667,5.70019865,2.057392836,2.289695978,1.293773413,0.4355464876,2.546795368,0,6,0.4443215132,0.1054771543,1.21429193,0,6
SNAc3,1,0.001,7,none,0.97761875,1,1,0,0,0.02132495865,2.584840536,-11.31151581,0.9780237675,53.04684996,0,0,-0.2168969512,6.626086235,-30.3908329,0.9823516011,37.91085988,6.129016399,2.207019806,2.41742444,1.192005515,0.5029942989,1.948797226,0,6,0.4585572481,0.1340617985,0.9855667949,0,6
SNAc3,1,0.001,8,none,0.9739541667,0.7450000048,0.7450000048,0,0,-0.3683470786,2.840749025,-21.52483368,0.975718677,52.95896966,0,0,-0.116528295,8.321833611,-53.80052567,0.9905213714,34.68417213,6.62406826,2.29663229,2.370151043,1.087731361,0.387735039,1.675114632,0,6,0.3679041862,0.08105671406,0.848819375,0,6
SNAc3,1,0.001,9,none,0.9600708333,1,1,0,0,0.001120467205,3.097210646,-23.59097672,0.9831472635,52.08097741,0,0,0.09470503032,9.013925552,-49.33007431,0.9871496558,31.06706297,7.170544147,2.326974869,2.036614656,0.9943361878,0.3601169884,1.588228703,0,6,0.3405782282,0.05000000075,0.8116015792,0.009999999776,6
SNAc3,1,0.001,10,none,0.9754479167,1,1,0,0,-0.2042404115,3.372724056,-20.06924438,0.9872400165,52.33598165,0,0,0.2536210418,10.82893658,-71.20355988,0.9863198996,34.27793115,7.538928986,2.413853168,2.073210239,0.9066456556,0.2861638665,1.617068768,0,6,0.2766240537,0.06175206229,0.7045994401,0,6
