arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SW1,8,0.001,1,none,0.9667229167,1,1,0,0,-0.4067845643,1.614546657,-3.380375147,0.4072482884,77.29664542,0,0,1.166186094,1.768265367,-0.09048391134,0.7589489222,48.14948313,4.009052753,2.028815746,2.891100645
SW1,8,0.001,2,none,0.9724375,1,1,0,0,-3.860101223,2.658559322,-8.580637932,0.02597670071,78.35787466,0,0,0.6121758819,1.27922821,0.2923068404,0.6937640905,48.26505647,5.788358212,3.51002264,4.42566967
SW1,8,0.001,3,none,0.9643145833,1,1,0,0,-5.889056683,3.360367298,-10.69567394,-0.005899942946,54.98295413,0,0,1.342822313,1.26468277,0.2969687879,0.8952593207,34.19873219,7.357748032,5.459866047,6.400104046
SW1,8,0.001,4,none,0.94910625,1,1,0,0,-6.97385025,3.789315701,-11.64523411,-0.006476075854,19.27624271,0,0,-0.2854374051,2.039515495,-30.67369461,0.5104873776,33.37829067,9.394246101,6.77687788,8.2653265
SW1,8,0.001,5,none,0.9336583333,1,1,0,0,-8.617118835,4.277265549,-14.70094204,-0.008253339678,32.8921997,0,0,0.4247034788,1.551006556,-12.08453465,0.6865915656,44.94597317,10.86585236,8.195297241,10.15949631
SW1,8,0.001,6,none,0.9256166667,1,1,0,0,-10.70612335,4.942107201,-18.56911659,-0.006045409478,20.48989885,0,0,-0.06924434751,1.790088415,-15.85433292,0.5190545321,45.27956417,12.31921196,9.502733231,10.96618462
SW1,8,0.001,7,none,0.91185,1,1,0,0,-11.71712017,5.562285423,-23.23590088,-0.005941589829,14.01352613,0,0,-0.9448549151,2.054849386,-19.62365913,0.4019424319,39.89536705,13.90829945,10.95433807,11.6993494
SW1,8,0.001,8,none,0.9064458333,1,1,0,0,-11.89842892,5.643131733,-23.88381386,-0.005411358085,12.0217678,0,0,-3.21791029,2.734498739,-29.41802788,0.1524707228,39.6648205,15.60485744,12.19892406,12.78854275
SW1,8,0.001,9,none,0.9068520833,1,1,0,0,-12.88005733,6.081766129,-22.95647049,-0.004457312636,13.24874212,0,0,-2.793782711,3.453360081,-32.72485733,0.1789651513,46.50155458,17.02357483,13.31519604,13.82889557
SW1,8,0.001,10,none,0.8839083333,1,1,0,0,-13.22679424,6.32290411,-22.97634125,-0.004184754565,9.643411239,0,0,-7.295464039,5.428164005,-46.27423859,0.07178764045,41.09103997,18.46108818,14.53337288,15.31660938
